,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",1.6500,1.6800,1.2700,1.3900,1.3900,"14,873,900"
1,"Jan 01, 2022",1.7600,2.0400,1.4500,1.6500,1.6500,"28,403,900"
2,"Dec 01, 2021",1.7800,1.9200,1.6900,1.7600,1.7600,"28,779,500"
3,"Nov 01, 2021",2.2500,2.3700,1.6900,1.7400,1.7400,"23,067,600"
4,"Oct 01, 2021",2.1700,2.5200,1.8900,2.2700,2.2700,"72,960,100"
5,"Sep 01, 2021",2.4800,2.5650,2.1000,2.1700,2.1700,"38,978,300"
6,"Aug 01, 2021",2.2800,2.5900,2.0650,2.4300,2.4300,"29,419,800"
7,"Jul 01, 2021",3.5400,3.6600,2.2550,2.2700,2.2700,"50,732,300"
8,"Jun 01, 2021",3.5100,3.8600,3.3500,3.5000,3.5000,"55,110,200"
9,"May 01, 2021",4.0000,4.0600,3.3400,3.4600,3.4600,"60,659,900"
10,"Apr 01, 2021",9.9200,10.8500,3.7800,3.9000,3.9000,"75,084,500"
11,"Mar 01, 2021",13.0000,13.4600,9.1000,9.8600,9.8600,"19,508,000"
12,"Feb 01, 2021",12.3700,14.6000,11.8400,12.8300,12.8300,"12,526,300"
13,"Jan 01, 2021",10.8300,14.7900,10.5500,12.3300,12.3300,"19,429,300"
14,"Dec 01, 2020",13.9200,14.7000,10.8000,10.8400,10.8400,"25,352,900"
15,"Nov 01, 2020",11.1200,14.5750,10.8200,13.5900,13.5900,"18,594,700"
16,"Oct 01, 2020",10.6200,12.5800,9.8300,10.9100,10.9100,"17,038,000"
17,"Sep 01, 2020",12.1800,13.3100,10.1000,10.3000,10.3000,"27,548,900"
18,"Aug 01, 2020",16.8000,19.2500,11.5000,12.2000,12.2000,"36,250,500"
19,"Jul 01, 2020",21.0400,21.9200,16.5300,16.7700,16.7700,"20,518,200"
20,"Jun 01, 2020",20.4500,26.9800,18.6600,20.8800,20.8800,"29,953,800"
21,"May 01, 2020",11.5400,23.7900,11.1500,20.6300,20.6300,"33,970,100"
22,"Apr 01, 2020",9.3000,14.4200,8.2700,11.8500,11.8500,"22,254,600"
