,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",10.06,10.09,10.05,10.08,10.08,"374,100"
1,"Jan 01, 2022",10.06,10.09,10.04,10.04,10.04,"250,300"
2,"Dec 01, 2021",9.98,10.11,9.98,10.05,10.05,"172,600"
3,"Nov 01, 2021",9.96,10.04,9.96,9.98,9.98,"18,800"
4,"Oct 01, 2021",9.88,10.25,9.88,9.96,9.96,"63,000"
5,"Sep 01, 2021",9.92,10.06,9.88,9.88,9.88,"5,900"
6,"Aug 01, 2021",9.86,9.92,9.85,9.92,9.92,"17,300"
7,"Jul 01, 2021",10.00,10.00,9.84,9.86,9.86,"632,900"
8,"Jun 01, 2021",9.88,9.99,9.87,9.94,9.94,"769,900"
9,"May 01, 2021",9.85,10.00,9.84,9.87,9.87,"592,900"
