,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",23.99,24.35,22.52,23.71,23.71,"1,548,000"
1,"Jan 01, 2022",26.14,27.28,22.60,23.99,23.99,"1,688,900"
2,"Dec 01, 2021",25.83,26.83,24.70,26.21,26.21,"1,731,200"
3,"Nov 01, 2021",25.65,29.54,25.23,25.36,25.36,"2,163,500"
4,"Oct 01, 2021",25.02,26.76,23.79,25.64,25.64,"2,365,600"
5,"Sep 01, 2021",26.83,27.20,24.76,24.87,24.87,"2,343,400"
6,"Aug 01, 2021",26.16,27.13,24.78,26.87,26.87,"3,265,800"
7,"Jul 01, 2021",25.18,26.68,24.07,26.10,26.10,"1,397,300"
8,"Jun 01, 2021",26.09,27.19,24.60,25.06,25.06,"1,860,300"
9,"May 01, 2021",22.68,26.56,22.05,26.06,26.06,"1,696,600"
10,"Apr 01, 2021",23.38,23.95,21.83,22.52,22.52,"1,081,700"
11,"Mar 01, 2021",24.03,25.15,22.23,23.34,23.34,"2,363,100"
12,"Feb 01, 2021",23.26,26.98,22.62,23.63,23.63,"2,924,000"
13,"Jan 01, 2021",24.60,25.50,22.83,23.02,23.02,"1,560,000"
14,"Dec 01, 2020",24.15,25.97,23.15,24.20,24.20,"1,836,200"
15,"Nov 01, 2020",21.34,26.00,21.29,23.78,23.78,"2,840,600"
16,"Oct 01, 2020",21.52,24.22,21.10,21.15,21.15,"3,030,500"
17,"Sep 01, 2020",24.05,24.72,20.88,21.74,21.74,"2,268,200"
18,"Aug 01, 2020",28.16,28.22,23.24,24.15,24.15,"3,368,800"
19,"Jul 01, 2020",27.32,29.45,26.20,27.85,27.85,"1,976,000"
20,"Jun 01, 2020",26.90,28.95,24.63,27.29,27.29,"3,466,800"
21,"May 01, 2020",23.42,27.57,21.13,26.70,26.70,"3,526,200"
22,"Apr 01, 2020",19.40,24.42,17.53,23.99,23.99,"2,007,500"
23,"Mar 01, 2020",26.64,27.51,13.94,20.39,20.39,"3,644,300"
24,"Feb 01, 2020",29.72,34.02,26.25,26.49,26.49,"1,519,700"
25,"Jan 01, 2020",29.21,30.91,28.04,29.33,29.33,"1,998,900"
26,"Dec 01, 2019",25.49,29.81,24.57,29.02,29.02,"2,589,000"
27,"Nov 01, 2019",27.64,28.82,23.61,25.03,25.03,"3,412,300"
28,"Oct 01, 2019",26.77,28.17,23.52,27.44,27.44,"3,863,000"
29,"Sep 01, 2019",28.27,29.37,25.06,26.05,26.05,"5,889,500"
30,"Aug 01, 2019",28.52,28.87,22.87,28.20,28.20,"3,188,200"
31,"Jul 01, 2019",25.45,28.61,24.56,28.29,28.29,"14,285,400"
