,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",8.63,8.90,7.10,8.18,8.18,"3,965,200"
1,"Jan 01, 2022",10.83,11.37,7.04,8.20,8.20,"4,819,100"
2,"Dec 01, 2021",13.11,13.29,10.20,10.88,10.88,"5,893,200"
3,"Nov 01, 2021",18.50,19.36,12.44,12.80,12.80,"4,863,300"
4,"Oct 01, 2021",14.55,18.47,13.80,18.38,18.38,"4,407,900"
5,"Sep 01, 2021",14.77,14.91,12.59,14.58,14.58,"6,668,400"
6,"Aug 01, 2021",14.29,15.37,11.25,14.90,14.90,"7,011,800"
7,"Jul 01, 2021",17.42,18.14,13.13,14.05,14.05,"4,734,000"
8,"Jun 01, 2021",15.10,19.43,12.73,17.39,17.39,"16,174,200"
9,"May 01, 2021",16.71,17.01,12.79,14.97,14.97,"5,479,800"
10,"Apr 01, 2021",19.30,20.00,14.85,16.47,16.47,"7,614,200"
11,"Mar 01, 2021",24.52,27.18,16.85,18.96,18.96,"9,782,900"
12,"Feb 01, 2021",24.93,28.68,21.18,23.79,23.79,"8,686,700"
13,"Jan 01, 2021",23.46,31.78,22.77,24.72,24.72,"10,230,400"
14,"Dec 01, 2020",19.99,26.44,17.56,23.42,23.42,"9,618,500"
15,"Nov 01, 2020",14.12,20.26,12.90,19.88,19.88,"6,935,900"
16,"Oct 01, 2020",14.37,18.50,13.62,13.91,13.91,"11,088,400"
17,"Sep 01, 2020",12.55,16.47,11.23,14.48,14.48,"7,026,000"
18,"Aug 01, 2020",9.35,13.40,9.35,12.56,12.56,"5,349,600"
19,"Jul 01, 2020",8.16,9.96,7.51,9.30,9.30,"4,372,900"
20,"Jun 01, 2020",7.38,8.88,6.90,8.13,8.13,"5,415,900"
21,"May 01, 2020",5.63,7.97,5.18,7.25,7.25,"4,106,700"
22,"Apr 01, 2020",5.24,6.23,5.09,5.75,5.75,"3,658,200"
23,"Mar 01, 2020",6.95,7.58,4.40,5.48,5.48,"6,212,100"
24,"Feb 01, 2020",6.35,8.60,6.12,6.85,6.85,"5,786,700"
25,"Jan 01, 2020",7.94,8.38,6.12,6.28,6.28,"4,921,800"
26,"Dec 01, 2019",8.40,8.40,7.33,7.85,7.85,"4,832,600"
27,"Nov 01, 2019",7.91,9.34,7.31,8.35,8.35,"4,981,500"
28,"Oct 01, 2019",7.88,9.82,7.24,7.83,7.83,"3,193,300"
29,"Sep 01, 2019",7.63,9.99,7.32,7.84,7.84,"3,994,600"
30,"Aug 01, 2019",8.91,9.09,7.26,7.67,7.67,"3,851,700"
31,"Jul 01, 2019",9.42,10.46,8.49,8.89,8.89,"4,611,500"
32,"Jun 01, 2019",9.70,10.20,8.08,9.28,9.28,"9,164,300"
33,"May 01, 2019",11.03,11.86,9.68,9.73,9.73,"4,761,800"
34,"Apr 01, 2019",12.89,13.47,10.99,11.04,11.04,"5,638,000"
35,"Mar 01, 2019",14.95,16.33,11.40,12.86,12.86,"11,213,400"
36,"Feb 01, 2019",13.08,16.44,11.79,14.83,14.83,"9,376,200"
37,"Jan 01, 2019",11.02,13.18,10.62,13.07,13.07,"4,778,600"
38,"Dec 01, 2018",10.25,12.50,8.68,11.15,11.15,"6,464,700"
39,"Nov 01, 2018",6.30,10.00,6.10,10.00,10.00,"5,959,200"
40,"Oct 01, 2018",7.00,7.28,5.78,5.99,5.99,"1,750,100"
41,"Sep 01, 2018",6.20,7.35,5.52,6.95,6.95,"2,240,800"
42,"Aug 01, 2018",5.22,6.69,5.22,6.10,6.10,"2,878,900"
43,"Jul 01, 2018",6.98,7.50,4.84,5.18,5.18,"5,681,000"
44,"Jun 01, 2018",7.00,8.03,5.31,7.00,7.00,"3,453,700"
45,"May 01, 2018",5.89,7.15,5.78,6.96,6.96,"2,191,300"
46,"Apr 01, 2018",5.82,6.60,5.50,5.90,5.90,"2,708,400"
47,"Mar 01, 2018",4.74,6.51,4.61,5.82,5.82,"3,746,900"
48,"Feb 01, 2018",5.18,5.59,4.25,4.73,4.73,"3,433,800"
49,"Jan 01, 2018",3.70,6.31,3.62,5.21,5.21,"9,121,900"
50,"Dec 01, 2017",3.33,3.89,3.06,3.63,3.63,"3,486,200"
51,"Nov 01, 2017",4.21,4.39,3.16,3.33,3.33,"3,447,800"
52,"Oct 01, 2017",4.54,4.84,4.06,4.20,4.20,"1,391,000"
53,"Sep 01, 2017",3.90,4.98,3.64,4.54,4.54,"3,470,100"
54,"Aug 01, 2017",3.23,4.20,2.89,3.88,3.88,"4,382,500"
55,"Jul 01, 2017",4.65,4.92,3.18,3.19,3.19,"3,853,900"
56,"Jun 01, 2017",4.13,4.99,4.03,4.62,4.62,"3,803,500"
57,"May 01, 2017",5.51,5.51,3.88,4.12,4.12,"5,257,600"
58,"Apr 01, 2017",6.93,7.75,4.83,5.21,5.21,"2,486,000"
59,"Mar 01, 2017",6.20,6.98,5.86,6.86,6.86,"1,690,000"
60,"Feb 01, 2017",6.99,7.82,6.08,6.11,6.11,"2,261,000"
61,"Jan 01, 2017",7.33,7.57,6.82,6.99,6.99,"979,100"
62,"Dec 01, 2016",7.75,8.34,7.29,7.37,7.37,"1,128,700"
63,"Nov 01, 2016",6.47,8.55,6.01,7.74,7.74,"1,527,400"
64,"Oct 01, 2016",7.03,7.44,6.30,6.41,6.41,"841,300"
65,"Sep 01, 2016",7.08,7.39,6.21,7.01,7.01,"1,245,500"
66,"Aug 01, 2016",9.16,9.38,6.65,7.08,7.08,"2,418,300"
67,"Jul 01, 2016",8.31,9.63,8.08,9.18,9.18,"1,537,200"
68,"Jun 01, 2016",9.75,9.76,7.72,8.44,8.44,"4,861,000"
69,"May 01, 2016",10.01,12.50,9.25,9.77,9.77,"2,844,100"
70,"Apr 01, 2016",7.44,10.15,7.44,9.96,9.96,"1,366,300"
71,"Mar 01, 2016",6.86,9.05,6.78,7.60,7.60,"1,664,700"
72,"Feb 01, 2016",6.21,6.86,5.55,6.85,6.85,"1,154,500"
73,"Jan 01, 2016",6.24,6.91,5.28,6.27,6.27,"1,984,100"
74,"Dec 01, 2015",4.76,7.89,3.81,6.37,6.37,"2,933,000"
75,"Nov 01, 2015",5.50,5.80,3.86,4.71,4.71,"867,800"
76,"Oct 01, 2015",4.30,5.65,4.21,5.43,5.43,"730,700"
77,"Sep 01, 2015",5.41,5.45,4.24,4.33,4.33,"1,278,400"
78,"Aug 01, 2015",5.08,5.94,3.26,5.45,5.45,"2,530,100"
79,"Jul 01, 2015",5.30,5.38,4.70,5.00,5.00,"1,356,700"
80,"Jun 01, 2015",6.25,6.80,5.10,5.23,5.23,"1,826,400"
81,"May 01, 2015",6.44,6.80,6.06,6.19,6.19,"2,261,700"
82,"Apr 01, 2015",6.39,10.89,6.12,6.47,6.47,"5,185,400"
83,"Mar 25, 2015",1:10 Stock Split,,,,,
84,"Mar 01, 2015",8.20,8.30,6.10,6.44,6.44,"1,015,430"
85,"Feb 01, 2015",7.20,8.80,6.50,8.30,8.30,"815,570"
86,"Jan 01, 2015",7.50,8.40,5.70,7.00,7.00,"1,241,390"
87,"Dec 01, 2014",9.90,10.00,7.00,7.40,7.40,"1,938,060"
88,"Nov 01, 2014",13.30,14.00,9.20,9.90,9.90,"1,228,880"
89,"Oct 01, 2014",14.00,14.30,11.50,13.10,13.10,"879,740"
90,"Sep 01, 2014",18.00,18.20,14.00,14.10,14.10,"936,900"
91,"Aug 01, 2014",19.70,20.50,16.60,17.80,17.80,"1,334,680"
92,"Jul 01, 2014",16.10,21.50,15.20,19.90,19.90,"3,418,180"
93,"Jun 01, 2014",13.80,16.90,13.00,16.30,16.30,"2,228,450"
94,"May 01, 2014",13.00,15.40,12.50,14.00,14.00,"1,130,440"
95,"Apr 01, 2014",16.00,16.80,12.80,12.80,12.80,"1,911,350"
96,"Mar 01, 2014",17.90,26.80,15.80,16.10,16.10,"3,613,520"
97,"Feb 01, 2014",15.10,22.50,14.30,18.50,18.50,"2,656,900"
98,"Jan 01, 2014",16.20,18.30,14.70,15.00,15.00,"1,462,250"
99,"Dec 01, 2013",15.50,16.70,13.70,16.40,16.40,"1,866,980"
100,"Nov 01, 2013",21.80,22.00,14.20,16.30,16.30,"1,631,080"
101,"Oct 01, 2013",23.00,24.20,21.50,21.80,21.80,"798,650"
102,"Sep 01, 2013",23.70,26.40,22.80,23.40,23.40,"866,140"
103,"Aug 01, 2013",25.30,26.90,23.50,23.70,23.70,"959,830"
104,"Jul 01, 2013",26.60,30.60,24.50,25.10,25.10,"1,249,690"
105,"Jun 01, 2013",26.10,28.00,21.20,26.40,26.40,"1,643,730"
106,"May 01, 2013",25.10,30.60,23.30,26.60,26.60,"1,275,990"
107,"Apr 01, 2013",26.70,27.60,23.00,25.10,25.10,"957,580"
108,"Mar 01, 2013",29.10,29.60,25.70,26.70,26.70,"756,780"
109,"Feb 01, 2013",26.90,33.40,26.20,28.90,28.90,"1,101,810"
110,"Jan 01, 2013",27.40,29.60,26.00,26.50,26.50,"623,840"
111,"Dec 01, 2012",28.10,31.10,25.00,26.20,26.20,"854,770"
112,"Nov 01, 2012",36.00,40.70,24.00,27.80,27.80,"1,071,880"
113,"Oct 01, 2012",41.70,41.80,35.50,35.90,35.90,"354,260"
114,"Sep 01, 2012",37.50,42.30,36.40,41.50,41.50,"549,070"
115,"Aug 01, 2012",37.40,44.20,35.30,37.50,37.50,"690,030"
116,"Jul 01, 2012",46.70,49.60,36.30,37.10,37.10,"958,270"
117,"Jun 01, 2012",38.10,48.80,37.20,47.00,47.00,"1,288,380"
118,"May 01, 2012",41.10,43.50,34.70,39.40,39.40,"787,370"
119,"Apr 01, 2012",41.20,43.40,35.70,41.30,41.30,"907,180"
120,"Mar 01, 2012",45.30,45.30,35.30,41.20,41.20,"997,140"
