,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",11.38,11.39,9.25,10.37,10.37,"771,000"
1,"Jan 01, 2022",12.91,13.78,10.06,11.50,11.50,"1,580,700"
2,"Dec 01, 2021",13.56,14.51,11.85,12.82,12.82,"1,252,100"
3,"Nov 01, 2021",14.45,17.50,12.76,13.43,13.43,"1,992,700"
4,"Oct 01, 2021",13.97,14.60,13.00,14.30,14.30,"1,375,100"
5,"Sep 01, 2021",11.85,14.50,10.42,13.85,13.85,"2,972,900"
6,"Aug 01, 2021",9.17,11.85,8.65,11.81,11.81,"1,302,100"
7,"Jul 01, 2021",10.40,10.72,8.82,9.00,9.00,"922,900"
8,"Jun 01, 2021",9.79,11.29,9.60,10.31,10.31,"2,899,200"
9,"May 01, 2021",10.27,10.69,8.96,9.79,9.79,"1,307,700"
10,"Apr 01, 2021",9.63,10.23,8.90,10.13,10.13,"2,066,400"
11,"Mar 01, 2021",10.82,12.01,8.91,9.66,9.66,"1,934,300"
12,"Feb 01, 2021",9.33,11.79,8.86,10.45,10.45,"1,546,100"
13,"Jan 01, 2021",7.14,11.02,6.71,9.29,9.29,"2,303,100"
14,"Dec 01, 2020",7.74,8.38,6.25,7.20,7.20,"1,243,200"
15,"Nov 01, 2020",6.07,8.15,5.86,7.65,7.65,"1,367,500"
16,"Oct 01, 2020",4.75,6.41,4.72,6.02,6.02,"1,021,500"
17,"Sep 01, 2020",4.53,5.23,4.35,4.71,4.71,"1,141,400"
18,"Aug 01, 2020",4.45,5.48,4.37,4.59,4.59,"1,665,300"
19,"Jul 01, 2020",5.56,5.60,4.46,4.49,4.49,"1,799,200"
20,"Jun 01, 2020",4.44,6.12,4.07,5.55,5.55,"4,117,900"
21,"May 01, 2020",3.29,5.13,2.81,4.44,4.44,"2,413,400"
22,"Apr 01, 2020",3.44,4.04,2.92,3.40,3.40,"2,002,300"
23,"Mar 01, 2020",6.18,7.09,2.92,3.59,3.59,"3,081,200"
24,"Feb 01, 2020",7.65,8.12,5.75,6.05,6.05,"1,086,700"
25,"Jan 01, 2020",8.41,8.59,7.30,7.59,7.59,"1,673,900"
26,"Dec 01, 2019",7.97,8.49,7.24,8.46,8.46,"1,647,900"
27,"Nov 01, 2019",6.60,8.50,6.60,7.98,7.98,"2,389,800"
28,"Oct 01, 2019",6.82,7.26,6.14,6.60,6.60,"1,894,000"
29,"Sep 01, 2019",7.04,7.70,6.54,6.77,6.77,"1,792,200"
30,"Aug 01, 2019",7.23,7.97,6.21,7.11,7.11,"2,084,700"
31,"Jul 01, 2019",6.76,7.59,6.17,7.24,7.24,"2,443,100"
32,"Jun 01, 2019",6.04,6.87,5.59,6.72,6.72,"6,148,600"
33,"May 01, 2019",5.01,6.55,5.00,6.03,6.03,"3,097,000"
34,"Apr 01, 2019",6.35,7.18,3.55,4.99,4.99,"13,367,700"
35,"Mar 01, 2019",7.08,8.40,6.08,6.31,6.31,"6,051,900"
36,"Feb 01, 2019",8.63,8.85,5.80,7.02,7.02,"6,609,200"
37,"Jan 01, 2019",7.96,8.89,6.10,8.67,8.67,"3,820,900"
