,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",99.30,103.09,85.58,95.83,95.83,"43,306,700"
1,"Jan 01, 2022",102.43,106.35,92.93,99.28,99.28,"65,077,300"
2,"Dec 13, 2021",0.7 Dividend,,,,,
3,"Dec 01, 2021",108.14,108.99,94.54,101.60,100.91,"72,865,100"
4,"Nov 01, 2021",123.00,141.97,106.27,106.86,106.14,"72,982,900"
5,"Oct 01, 2021",106.68,123.72,103.42,122.24,121.42,"41,882,500"
6,"Sep 13, 2021",0.7 Dividend,,,,,
7,"Sep 01, 2021",116.54,117.43,104.21,105.71,104.34,"49,211,500"
8,"Aug 01, 2021",113.09,124.91,108.72,116.51,115.00,"54,816,200"
9,"Jul 01, 2021",115.61,116.81,107.06,112.35,110.89,"39,404,500"
10,"Jun 16, 2021",0.7 Dividend,,,,,
11,"Jun 01, 2021",117.33,119.58,106.66,114.98,112.79,"50,521,900"
12,"May 01, 2021",117.37,128.57,112.55,116.24,114.02,"49,614,800"
13,"Apr 01, 2021",115.94,123.87,114.01,116.27,114.05,"41,662,300"
14,"Mar 17, 2021",0.7 Dividend,,,,,
15,"Mar 01, 2021",100.50,121.38,95.93,114.81,111.92,"73,872,400"
16,"Feb 01, 2021",109.45,123.30,99.79,100.35,97.83,"48,691,700"
17,"Jan 01, 2021",99.62,117.98,98.66,108.82,106.08,"54,578,000"
18,"Dec 14, 2020",0.55 Dividend,,,,,
19,"Dec 01, 2020",108.78,109.49,99.25,99.79,96.75,"75,574,100"
20,"Nov 01, 2020",112.97,124.89,108.57,108.80,105.49,"69,874,500"
21,"Oct 01, 2020",112.69,123.67,109.60,111.55,108.15,"42,930,400"
22,"Sep 14, 2020",0.55 Dividend,,,,,
23,"Sep 01, 2020",110.99,114.43,102.83,111.29,107.35,"44,647,200"
24,"Aug 01, 2020",100.07,119.48,99.75,110.91,106.98,"59,629,800"
25,"Jul 01, 2020",87.42,100.68,84.07,99.59,96.06,"49,990,800"
26,"Jun 10, 2020",0.55 Dividend,,,,,
27,"Jun 01, 2020",77.02,88.22,75.27,87.27,83.61,"63,904,000"
28,"May 01, 2020",74.84,87.69,70.71,78.09,74.81,"61,414,400"
29,"Apr 01, 2020",54.70,80.89,51.71,76.73,73.51,"55,364,100"
30,"Mar 18, 2020",0.55 Dividend,,,,,
31,"Mar 01, 2020",76.25,81.43,48.11,57.00,54.11,"86,488,600"
32,"Feb 01, 2020",85.39,91.99,73.34,75.65,71.82,"45,755,000"
33,"Jan 01, 2020",88.39,91.83,84.53,84.69,80.40,"47,660,900"
34,"Dec 16, 2019",0.5 Dividend,,,,,
35,"Dec 01, 2019",81.00,89.50,77.05,87.80,82.86,"55,276,500"
36,"Nov 01, 2019",72.40,83.63,71.89,80.64,76.10,"63,396,200"
37,"Oct 01, 2019",69.20,75.40,63.52,71.83,67.79,"43,315,900"
38,"Sep 18, 2019",0.5 Dividend,,,,,
39,"Sep 01, 2019",63.03,69.90,62.48,68.99,64.63,"47,222,500"
40,"Aug 01, 2019",76.71,77.23,62.04,63.65,59.63,"79,403,400"
41,"Jul 01, 2019",71.24,78.53,70.91,76.53,71.70,"47,128,000"
42,"Jun 12, 2019",0.5 Dividend,,,,,
43,"Jun 01, 2019",62.39,69.82,61.58,69.73,64.83,"48,590,100"
44,"May 01, 2019",74.41,75.53,62.37,62.67,58.26,"77,770,200"
45,"Apr 01, 2019",71.36,75.91,71.09,74.41,69.18,"47,650,400"
46,"Mar 19, 2019",0.5 Dividend,,,,,
47,"Mar 01, 2019",69.64,73.34,66.36,71.06,65.59,"77,683,100"
48,"Feb 01, 2019",59.24,70.73,57.78,68.84,63.54,"70,500,600"
49,"Jan 01, 2019",52.19,59.54,50.94,59.24,54.68,"70,680,700"
50,"Dec 10, 2018",0.45 Dividend,,,,,
51,"Dec 01, 2018",66.09,67.56,47.72,52.96,48.52,"94,560,200"
52,"Nov 01, 2018",70.07,75.11,60.07,64.59,59.18,"103,339,100"
53,"Oct 01, 2018",79.57,79.82,66.08,70.16,64.28,"72,452,000"
54,"Sep 17, 2018",0.45 Dividend,,,,,
55,"Sep 01, 2018",79.51,81.66,76.44,79.36,72.29,"59,820,800"
56,"Aug 01, 2018",75.19,84.37,74.31,79.56,72.47,"84,482,900"
57,"Jul 01, 2018",74.33,78.79,72.84,75.03,68.35,"47,306,500"
58,"Jun 13, 2018",0.45 Dividend,,,,,
59,"Jun 01, 2018",68.50,77.97,67.91,74.58,67.53,"75,148,700"
60,"May 01, 2018",76.21,79.90,67.55,68.25,61.79,"87,751,500"
61,"Apr 01, 2018",69.87,78.22,67.99,76.53,69.29,"59,124,300"
62,"Mar 21, 2018",0.45 Dividend,,,,,
63,"Mar 01, 2018",74.45,77.32,66.65,69.99,62.96,"95,919,400"
64,"Feb 01, 2018",72.57,74.36,65.05,72.44,65.17,"65,399,100"
65,"Jan 01, 2018",68.26,78.59,66.11,73.06,65.72,"70,290,500"
66,"Dec 06, 2017",0.34 Dividend,,,,,
67,"Dec 01, 2017",59.75,68.98,58.82,68.47,61.26,"73,807,000"
68,"Nov 01, 2017",56.18,60.52,52.92,59.61,53.33,"93,747,800"
69,"Oct 01, 2017",57.11,59.46,54.02,55.98,50.08,"69,784,900"
70,"Sep 18, 2017",0.34 Dividend,,,,,
71,"Sep 01, 2017",54.44,58.76,51.61,56.96,50.66,"108,584,300"
72,"Aug 01, 2017",58.60,63.32,53.45,54.26,48.26,"118,876,800"
73,"Jul 01, 2017",57.87,59.69,52.97,58.34,51.89,"76,986,400"
74,"Jun 13, 2017",0.34 Dividend,,,,,
75,"Jun 01, 2017",59.36,60.35,54.65,57.33,50.69,"85,070,400"
76,"May 01, 2017",51.99,61.95,50.29,59.39,52.51,"119,755,400"
77,"Apr 01, 2017",49.15,52.67,47.68,51.81,45.81,"69,194,800"
78,"Mar 20, 2017",0.34 Dividend,,,,,
79,"Mar 01, 2017",42.55,49.35,41.67,49.15,43.13,"120,802,900"
80,"Feb 01, 2017",44.58,46.45,43.27,44.13,38.73,"80,963,300"
81,"Jan 01, 2017",43.05,45.83,41.79,44.52,39.07,"86,954,400"
82,"Dec 06, 2016",0.28 Dividend,,,,,
83,"Dec 01, 2016",45.55,49.40,42.34,42.67,37.22,"105,363,200"
84,"Nov 01, 2016",38.93,47.29,37.10,45.70,39.87,"157,435,000"
85,"Oct 01, 2016",38.15,40.21,37.62,38.91,33.94,"83,112,100"
86,"Sep 09, 2016",0.28 Dividend,,,,,
87,"Sep 01, 2016",38.56,39.26,36.51,38.18,33.06,"98,252,600"
