,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",0.0079,0.0085,0.0052,0.0060,0.0060,"97,098,637"
1,"Jan 01, 2022",0.0076,0.0089,0.0039,0.0080,0.0080,"214,053,945"
2,"Dec 01, 2021",0.0090,0.0096,0.0073,0.0076,0.0076,"212,018,663"
3,"Nov 01, 2021",0.0081,0.0150,0.0071,0.0087,0.0087,"337,409,098"
4,"Oct 01, 2021",0.0094,0.0109,0.0071,0.0083,0.0083,"280,345,790"
5,"Sep 01, 2021",0.0100,0.0110,0.0090,0.0093,0.0093,"157,456,054"
6,"Aug 01, 2021",0.0120,0.0121,0.0095,0.0100,0.0100,"208,024,383"
7,"Jul 01, 2021",0.0118,0.0152,0.0096,0.0103,0.0103,"215,478,197"
8,"Jun 01, 2021",0.0143,0.0173,0.0101,0.0120,0.0120,"211,039,752"
9,"May 01, 2021",0.0185,0.0207,0.0128,0.0133,0.0133,"228,038,289"
10,"Apr 01, 2021",0.0173,0.0225,0.0127,0.0176,0.0176,"293,807,225"
11,"Mar 01, 2021",0.0247,0.0320,0.0150,0.0174,0.0174,"516,566,335"
12,"Feb 01, 2021",0.0330,0.0520,0.0125,0.0250,0.0250,"1,325,796,931"
13,"Jan 01, 2021",0.0014,0.1000,0.0014,0.0320,0.0320,"4,355,278,568"
14,"Dec 01, 2020",0.0007,0.0027,0.0007,0.0014,0.0014,"966,480,840"
15,"Nov 01, 2020",0.0008,0.0010,0.0007,0.0008,0.0008,"139,833,850"
16,"Oct 01, 2020",0.0009,0.0014,0.0007,0.0008,0.0008,"266,759,951"
17,"Sep 01, 2020",0.0010,0.0010,0.0008,0.0010,0.0010,"67,294,266"
18,"Aug 01, 2020",0.0013,0.0013,0.0008,0.0008,0.0008,"256,475,998"
19,"Jul 01, 2020",0.0012,0.0019,0.0010,0.0012,0.0012,"709,068,103"
20,"Jun 01, 2020",0.0012,0.0013,0.0008,0.0011,0.0011,"234,596,871"
21,"May 01, 2020",0.0009,0.0021,0.0009,0.0012,0.0012,"345,299,887"
22,"Apr 01, 2020",0.0015,0.0018,0.0009,0.0010,0.0010,"48,257,413"
