,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",102.48,107.75,95.33,103.13,103.13,"3,125,800"
1,"Jan 01, 2022",106.30,120.20,97.75,102.55,102.55,"4,521,400"
2,"Dec 01, 2021",105.55,108.67,97.77,105.49,105.49,"3,552,200"
3,"Nov 01, 2021",102.26,110.75,101.48,103.21,103.21,"2,818,400"
4,"Oct 01, 2021",89.58,103.25,89.45,101.17,101.17,"2,335,000"
5,"Sep 01, 2021",88.21,92.97,81.81,89.55,89.55,"4,117,100"
6,"Aug 01, 2021",84.49,89.86,82.70,88.05,88.05,"2,705,300"
7,"Jul 01, 2021",87.41,88.05,77.65,84.01,84.01,"2,978,900"
8,"Jun 01, 2021",91.78,93.00,83.59,86.60,86.60,"3,214,100"
9,"May 14, 2021",0.52 Dividend,,,,,
10,"May 01, 2021",88.83,92.90,86.57,91.04,90.51,"2,888,400"
11,"Apr 01, 2021",89.10,92.29,85.01,87.94,87.43,"3,861,700"
12,"Mar 01, 2021",88.08,98.95,86.71,89.32,88.80,"6,052,000"
13,"Feb 11, 2021",0.52 Dividend,,,,,
14,"Feb 01, 2021",74.12,91.13,72.81,86.06,85.03,"3,210,800"
15,"Jan 01, 2021",70.22,81.69,67.99,73.86,72.98,"5,765,400"
16,"Dec 01, 2020",68.82,71.93,66.90,68.48,67.66,"4,263,000"
17,"Nov 13, 2020",0.52 Dividend,,,,,
18,"Nov 01, 2020",59.61,73.07,56.55,66.95,65.63,"4,668,000"
19,"Oct 01, 2020",51.33,62.82,50.48,58.74,57.58,"5,152,200"
20,"Sep 01, 2020",55.85,59.24,48.41,51.51,50.50,"4,110,600"
21,"Aug 14, 2020",0.51 Dividend,,,,,
22,"Aug 01, 2020",55.95,63.40,54.41,56.14,54.57,"4,914,100"
23,"Jul 01, 2020",56.63,58.28,49.64,55.70,54.15,"5,295,100"
24,"Jun 01, 2020",51.19,67.62,50.55,56.44,54.86,"6,077,800"
25,"May 08, 2020",0.51 Dividend,,,,,
26,"May 01, 2020",50.85,56.70,37.80,50.94,48.99,"5,982,700"
27,"Apr 01, 2020",40.54,55.87,39.65,51.79,49.80,"8,376,400"
28,"Mar 01, 2020",72.20,75.32,34.57,42.56,40.93,"13,359,700"
29,"Feb 11, 2020",0.51 Dividend,,,,,
30,"Feb 01, 2020",79.45,82.81,70.92,72.40,69.17,"3,645,800"
31,"Jan 01, 2020",87.97,87.97,78.44,78.90,75.38,"4,300,800"
32,"Dec 01, 2019",83.78,88.28,80.89,87.40,83.50,"2,702,900"
33,"Nov 08, 2019",0.51 Dividend,,,,,
34,"Nov 01, 2019",77.63,84.68,77.63,83.34,79.14,"2,672,400"
35,"Oct 01, 2019",79.83,80.24,72.29,77.15,73.26,"3,005,700"
36,"Sep 01, 2019",75.58,82.81,73.72,79.15,75.16,"2,697,600"
37,"Aug 09, 2019",0.5 Dividend,,,,,
38,"Aug 01, 2019",83.71,83.71,72.96,76.14,71.85,"3,541,800"
39,"Jul 01, 2019",76.58,84.88,74.00,83.68,78.97,"4,112,500"
40,"Jun 01, 2019",74.82,77.99,72.60,75.48,71.23,"2,886,400"
41,"May 10, 2019",0.5 Dividend,,,,,
42,"May 01, 2019",87.07,88.50,74.83,74.93,70.29,"3,050,100"
43,"Apr 01, 2019",82.29,88.70,80.91,87.14,81.75,"3,196,700"
44,"Mar 01, 2019",90.87,91.25,76.82,81.55,76.51,"3,402,500"
45,"Feb 08, 2019",0.5 Dividend,,,,,
46,"Feb 01, 2019",83.27,93.72,82.66,90.44,84.35,"4,834,100"
47,"Jan 01, 2019",72.53,88.73,72.53,83.11,77.52,"4,530,200"
48,"Dec 01, 2018",85.45,85.57,69.96,73.33,68.40,"6,249,700"
49,"Nov 08, 2018",0.5 Dividend,,,,,
50,"Nov 01, 2018",86.73,90.68,81.22,84.30,78.19,"5,190,500"
51,"Oct 01, 2018",97.45,98.84,80.36,85.73,79.52,"7,227,700"
