,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",9.95,10.01,9.90,9.92,9.92,"114,869"
1,"Jan 01, 2022",10.06,10.41,9.90,9.95,9.95,"157,343"
2,"Dec 01, 2021",10.09,10.49,9.93,10.10,10.10,"132,469"
3,"Nov 01, 2021",10.03,10.23,10.00,10.14,10.14,"851,830"
4,"Oct 01, 2021",10.04,10.14,10.00,10.09,10.09,"792,930"
5,"Sep 01, 2021",10.00,10.22,9.95,10.10,10.10,"407,582"
6,"Aug 01, 2021",10.09,10.20,9.92,10.00,10.00,"387,006"
7,"Jul 01, 2021",10.54,10.94,10.12,10.20,10.20,"340,272"
8,"Jun 01, 2021",10.15,11.16,10.11,10.57,10.57,"792,473"
9,"May 01, 2021",10.33,10.38,10.10,10.12,10.12,"1,026,828"
10,"Apr 01, 2021",10.15,10.63,10.15,10.52,10.52,"2,095,454"
11,"Mar 01, 2021",11.25,11.40,10.06,10.20,10.20,"5,423,412"
12,"Feb 01, 2021",11.00,13.75,10.85,11.07,11.07,"13,123,266"
13,"Jan 01, 2021",10.50,11.77,10.44,10.84,10.84,"5,400,998"
14,"Dec 01, 2020",10.28,10.70,10.11,10.50,10.50,"14,722,165"
