,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",1.4500,1.4500,0.8000,0.8000,0.8000,"3,900"
1,"Jan 01, 2022",0.5000,1.7000,0.2000,1.7000,1.7000,"122,300"
2,"Dec 01, 2021",1.0000,1.1000,0.5000,0.5000,0.5000,"8,500"
3,"Nov 01, 2021",1.0000,1.5000,0.2200,0.6500,0.6500,"2,200"
4,"Oct 01, 2021",1.0000,1.0000,0.0500,1.0000,1.0000,700
5,"Sep 01, 2021",1.0100,1.3000,0.5100,1.0000,1.0000,"5,100"
6,"Aug 01, 2021",1.2600,1.4000,0.7500,1.0100,1.0100,"4,100"
7,"Jul 01, 2021",1.4900,1.5000,1.2600,1.2600,1.2600,700
8,"Jun 01, 2021",1.6500,1.6500,1.0000,1.4900,1.4900,"7,100"
9,"May 01, 2021",1.7600,2.0000,1.6500,1.6500,1.6500,"2,100"
10,"Apr 01, 2021",2.2500,2.2500,1.7000,1.7600,1.7600,"4,500"
11,"Mar 01, 2021",2.0000,3.0000,2.0000,2.2500,2.2500,"1,700"
12,"Feb 01, 2021",1.7700,3.0000,1.7700,2.0000,2.0000,"2,800"
13,"Jan 01, 2021",1.7000,6.0000,1.6000,1.7700,1.7700,"7,500"
14,"Dec 01, 2020",1.6000,3.0000,1.5000,1.7000,1.7000,"16,300"
15,"Nov 01, 2020",1.5000,1.9500,1.1500,1.5000,1.5000,"34,000"
16,"Oct 01, 2020",3.5000,3.5000,1.5000,1.7400,1.7400,"5,200"
17,"Sep 01, 2020",4.2400,4.4900,3.0000,3.0000,3.0000,"6,300"
18,"Aug 01, 2020",5.0000,5.0000,3.5000,4.2400,4.2400,"2,600"
19,"Jul 01, 2020",2.2500,5.0000,2.2500,5.0000,5.0000,"4,600"
20,"Jun 01, 2020",7.0000,7.0000,2.0000,2.2500,2.2500,"12,500"
21,"May 01, 2020",10.0000,10.0000,6.5000,6.5000,6.5000,"3,000"
22,"Apr 01, 2020",6.0000,15.0000,6.0000,10.0000,10.0000,"4,500"
23,"Mar 01, 2020",5.7500,6.2500,5.7500,6.0000,6.0000,"3,500"
24,"Feb 01, 2020",6.5000,6.5000,3.0000,5.7500,5.7500,"4,200"
25,"Jan 15, 2020",1:200 Stock Split,,,,,
26,"Jan 01, 2020",10.0000,19.0000,5.0000,6.5000,6.5000,"3,045"
27,"Dec 01, 2019",12.0000,14.8000,6.4000,10.2000,10.2000,"4,686"
28,"Nov 01, 2019",14.8000,50.0000,10.6000,13.6000,13.6000,"5,345"
29,"Oct 01, 2019",17.8000,24.8000,10.4000,13.8000,13.8000,"5,074"
30,"Sep 01, 2019",20.0000,25.6000,12.8000,17.8000,17.8000,"2,302"
31,"Aug 01, 2019",22.0000,28.0000,16.0000,20.0000,20.0000,"1,902"
32,"Jul 01, 2019",25.0000,29.0000,20.0000,28.0000,28.0000,"5,268"
33,"Jun 01, 2019",22.2000,30.0000,14.4000,25.0000,25.0000,"3,466"
34,"May 01, 2019",33.8000,39.0000,20.0000,22.2000,22.2000,"3,255"
35,"Apr 01, 2019",34.2000,40.0000,33.6000,38.8000,38.8000,"1,850"
36,"Mar 01, 2019",34.4000,44.0000,34.0000,34.2000,34.2000,"1,414"
37,"Feb 01, 2019",40.0000,40.0000,34.0000,34.0000,34.0000,"1,613"
38,"Jan 01, 2019",36.0000,40.0000,35.0000,36.0000,36.0000,"2,117"
39,"Dec 01, 2018",42.0000,43.0000,36.0000,40.0000,40.0000,"1,624"
40,"Nov 01, 2018",38.0000,44.0000,35.4000,42.0000,42.0000,"1,804"
41,"Oct 01, 2018",40.0000,44.0000,34.4000,38.0000,38.0000,"2,277"
42,"Sep 01, 2018",41.0000,44.0000,34.0000,40.0000,40.0000,"2,482"
43,"Aug 01, 2018",46.0000,48.0000,38.0000,42.0000,42.0000,"1,359"
44,"Jul 01, 2018",44.0000,48.0000,38.0000,43.0000,43.0000,"4,972"
45,"Jun 01, 2018",48.0000,50.0000,40.0000,44.0000,44.0000,"1,452"
46,"May 01, 2018",60.0000,68.0000,44.6000,48.0000,48.0000,"4,006"
47,"Apr 01, 2018",51.0000,68.0000,45.6000,62.0000,62.0000,"4,134"
48,"Mar 01, 2018",54.0000,69.8000,50.0000,52.0000,52.0000,"4,144"
49,"Feb 01, 2018",31.6000,88.0000,28.6000,54.0000,54.0000,"5,176"
50,"Jan 01, 2018",34.0000,36.0000,26.0000,31.4000,31.4000,"7,672"
51,"Dec 01, 2017",72.0000,72.0000,14.0000,32.0000,32.0000,"15,487"
