,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",39.05,45.89,35.53,45.28,45.28,"1,927,100"
1,"Jan 01, 2022",36.60,44.08,33.47,38.85,38.85,"6,998,300"
2,"Dec 01, 2021",29.33,36.93,29.20,35.91,35.91,"3,072,900"
3,"Nov 01, 2021",33.40,39.09,32.45,32.47,32.47,"1,883,800"
4,"Oct 01, 2021",32.19,38.60,31.91,33.40,33.40,"557,500"
5,"Sep 01, 2021",26.50,35.42,26.46,32.65,32.65,"770,800"
6,"Aug 01, 2021",24.70,28.98,22.38,26.44,26.44,"1,478,000"
7,"Jul 01, 2021",24.71,26.36,20.79,25.08,25.08,"1,499,000"
8,"Jun 01, 2021",25.69,27.67,22.19,24.44,24.44,"1,029,200"
9,"May 01, 2021",20.84,25.74,20.00,25.74,25.74,"472,400"
10,"Apr 01, 2021",19.74,21.69,18.58,21.69,21.69,"609,800"
11,"Mar 01, 2021",19.59,21.05,17.21,19.74,19.74,"621,200"
12,"Feb 01, 2021",21.70,22.00,17.25,20.44,20.44,"142,900"
