,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",8.09,8.20,6.93,7.47,7.47,"2,809,600"
1,"Jan 01, 2022",8.27,8.54,7.45,8.11,8.11,"3,500,200"
2,"Dec 30, 2021",0.27 Dividend,,,,,
3,"Dec 01, 2021",8.69,8.90,7.83,8.27,8.01,"6,094,100"
4,"Nov 01, 2021",9.12,9.23,8.44,8.55,8.29,"3,462,600"
5,"Oct 01, 2021",8.89,9.25,8.79,9.12,8.84,"2,659,600"
6,"Sep 29, 2021",0.27 Dividend,,,,,
7,"Sep 01, 2021",9.10,9.55,8.87,8.88,8.35,"4,296,500"
8,"Aug 01, 2021",9.26,9.40,8.78,9.12,8.58,"4,090,300"
9,"Jul 01, 2021",9.91,9.98,9.00,9.21,8.66,"4,273,600"
10,"Jun 29, 2021",0.27 Dividend,,,,,
11,"Jun 01, 2021",9.83,10.68,9.73,9.86,9.03,"7,789,600"
12,"May 01, 2021",10.21,10.35,8.80,9.82,9.00,"4,926,100"
13,"Apr 01, 2021",9.41,10.42,9.25,10.12,9.27,"4,669,000"
14,"Mar 30, 2021",0.27 Dividend,,,,,
15,"Mar 01, 2021",10.09,10.66,9.34,9.34,8.32,"5,829,500"
16,"Feb 01, 2021",8.85,10.18,8.65,9.82,8.75,"3,007,500"
17,"Jan 01, 2021",9.13,9.46,8.69,8.80,7.84,"3,338,500"
18,"Dec 30, 2020",0.27 Dividend,,,,,
19,"Dec 01, 2020",9.10,9.87,8.91,9.14,7.91,"3,635,000"
20,"Nov 01, 2020",9.28,10.32,8.31,9.06,7.84,"5,418,100"
21,"Oct 01, 2020",8.99,9.80,8.75,9.16,7.93,"2,973,200"
22,"Sep 29, 2020",0.27 Dividend,,,,,
23,"Sep 01, 2020",9.46,9.91,8.92,8.98,7.55,"3,274,600"
24,"Aug 01, 2020",9.24,10.68,8.95,9.56,8.04,"4,318,900"
25,"Jul 01, 2020",9.00,9.67,8.22,9.23,7.76,"5,577,100"
26,"Jun 29, 2020",0.27 Dividend,,,,,
27,"Jun 01, 2020",8.54,11.04,8.40,9.02,7.36,"7,545,500"
28,"May 01, 2020",6.68,9.35,6.07,8.63,7.04,"6,515,500"
29,"Apr 01, 2020",6.05,8.56,2.76,6.96,5.68,"11,280,800"
30,"Mar 30, 2020",0.2 Dividend,,,,,
31,"Mar 01, 2020",14.21,15.07,4.12,6.20,4.94,"8,660,700"
32,"Feb 01, 2020",15.40,16.34,13.94,14.26,11.35,"4,022,900"
33,"Jan 01, 2020",14.53,15.44,14.38,15.36,12.23,"3,460,400"
34,"Dec 30, 2019",0.4 Dividend,,,,,
35,"Dec 01, 2019",15.00,15.00,14.32,14.59,11.30,"3,251,900"
36,"Nov 01, 2019",13.54,15.00,13.44,14.98,11.60,"3,580,500"
37,"Oct 01, 2019",13.10,13.58,12.63,13.52,10.47,"2,663,400"
38,"Sep 27, 2019",0.4 Dividend,,,,,
39,"Sep 01, 2019",11.99,13.76,11.94,13.10,9.85,"4,550,600"
40,"Aug 01, 2019",15.46,15.61,11.81,12.03,9.04,"7,605,100"
41,"Jul 01, 2019",16.01,16.08,15.14,15.49,11.64,"4,687,600"
42,"Jun 27, 2019",0.49 Dividend,,,,,
43,"Jun 01, 2019",16.25,16.80,15.84,16.00,11.67,"4,620,900"
44,"May 01, 2019",17.26,17.42,16.14,16.30,11.88,"4,092,700"
45,"Apr 01, 2019",17.23,17.74,17.15,17.26,12.58,"3,106,400"
46,"Mar 15, 2019",0.49 Dividend,,,,,
47,"Mar 01, 2019",18.57,18.95,16.30,17.22,12.23,"5,692,700"
48,"Feb 01, 2019",18.50,18.84,18.36,18.54,13.17,"2,762,300"
49,"Jan 01, 2019",17.40,18.77,17.16,18.50,13.14,"3,665,700"
