,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",40.08,52.34,37.47,51.06,51.06,"23,684,500"
1,"Jan 01, 2022",41.84,45.27,38.83,40.15,40.15,"12,448,700"
2,"Dec 01, 2021",40.15,42.54,38.58,41.61,41.61,"21,602,100"
3,"Nov 01, 2021",44.08,44.66,39.14,39.27,39.27,"14,490,100"
4,"Oct 01, 2021",41.34,45.27,40.60,43.84,43.84,"13,533,800"
5,"Sep 01, 2021",39.00,41.77,38.64,41.17,41.17,"22,567,800"
6,"Aug 01, 2021",36.78,39.30,36.78,38.88,38.88,"11,991,500"
7,"Jul 01, 2021",33.24,38.23,31.79,37.18,37.18,"13,330,700"
8,"Jun 01, 2021",34.84,35.18,32.52,33.06,33.06,"13,949,400"
9,"May 01, 2021",34.57,34.99,31.42,34.59,34.59,"14,394,500"
10,"Apr 01, 2021",34.79,35.34,30.53,34.48,34.48,"15,682,200"
11,"Mar 01, 2021",32.43,37.91,30.61,34.76,34.76,"24,982,500"
12,"Feb 01, 2021",27.22,33.21,26.93,31.45,31.45,"16,394,300"
13,"Jan 01, 2021",31.46,31.52,27.15,27.23,27.23,"16,699,600"
14,"Dec 01, 2020",27.07,31.24,25.24,31.03,31.03,"17,722,500"
15,"Nov 01, 2020",21.54,27.74,21.46,26.66,26.66,"20,234,200"
16,"Oct 01, 2020",22.39,25.14,20.20,21.08,21.08,"22,618,400"
17,"Sep 01, 2020",18.18,22.95,17.91,22.32,22.32,"48,213,900"
18,"Aug 01, 2020",16.61,19.63,16.50,18.33,18.33,"18,031,400"
19,"Jul 01, 2020",12.44,16.94,11.47,16.33,16.33,"17,974,400"
20,"Jun 01, 2020",11.17,14.23,11.01,12.44,12.44,"24,241,200"
21,"May 01, 2020",9.70,12.24,7.90,11.15,11.15,"13,534,100"
22,"Apr 01, 2020",6.86,9.79,4.31,9.58,9.58,"33,279,200"
23,"Mar 01, 2020",12.83,13.61,5.25,7.33,7.33,"21,933,200"
24,"Feb 01, 2020",12.51,14.68,12.24,12.83,12.83,"11,045,800"
25,"Jan 01, 2020",12.54,14.12,11.80,12.38,12.38,"9,117,300"
26,"Dec 01, 2019",13.45,13.55,12.29,12.51,12.51,"8,513,700"
27,"Nov 01, 2019",12.89,13.75,12.20,13.44,13.44,"13,136,400"
28,"Oct 01, 2019",10.63,12.84,10.17,12.80,12.80,"12,612,700"
