,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 25, 2022",0.10091 Dividend,,,,,
1,"Feb 01, 2022",14.24,15.50,13.92,15.28,15.18,"924,300"
2,"Jan 28, 2022",0.125725 Dividend,,,,,
3,"Jan 01, 2022",11.50,14.52,11.41,14.20,13.98,"1,163,900"
4,"Dec 30, 2021",0.13712 Dividend,,,,,
5,"Dec 01, 2021",11.78,12.13,9.73,11.46,11.15,"998,100"
6,"Nov 29, 2021",0.073 Dividend,,,,,
7,"Nov 01, 2021",13.59,14.40,11.05,11.69,11.31,"1,076,900"
8,"Oct 28, 2021",0.067 Dividend,,,,,
9,"Oct 01, 2021",14.07,15.50,12.56,13.72,13.21,"1,121,200"
10,"Sep 29, 2021",0.16257 Dividend,,,,,
11,"Sep 01, 2021",12.25,15.23,11.88,14.04,13.37,"1,064,000"
12,"Aug 30, 2021",0.09725 Dividend,,,,,
13,"Aug 01, 2021",12.40,12.40,11.25,12.22,11.54,"589,700"
14,"Jul 29, 2021",0.124 Dividend,,,,,
15,"Jul 01, 2021",11.95,12.66,10.47,12.22,11.43,"934,300"
16,"Jun 29, 2021",0.104054 Dividend,,,,,
17,"Jun 01, 2021",9.75,12.23,9.72,11.83,10.97,"773,100"
18,"May 27, 2021",0.078 Dividend,,,,,
19,"May 01, 2021",9.80,10.35,9.56,9.74,8.96,"609,000"
20,"Apr 29, 2021",0.096485 Dividend,,,,,
21,"Apr 01, 2021",8.58,10.23,8.53,9.83,8.95,"744,400"
22,"Mar 30, 2021",0.037301 Dividend,,,,,
23,"Mar 01, 2021",8.83,10.58,8.46,8.46,7.67,"760,200"
24,"Feb 25, 2021",0.086656 Dividend,,,,,
25,"Feb 01, 2021",7.61,9.43,7.41,8.85,7.95,"716,400"
26,"Jan 28, 2021",0.049 Dividend,,,,,
27,"Jan 01, 2021",8.25,8.59,7.52,7.70,6.88,"399,800"
28,"Dec 30, 2020",0.062 Dividend,,,,,
29,"Dec 01, 2020",8.10,8.71,7.53,8.24,7.30,"551,300"
30,"Nov 27, 2020",0.052 Dividend,,,,,
31,"Nov 01, 2020",7.31,8.91,6.82,8.06,7.10,"588,300"
32,"Oct 29, 2020",0.07649 Dividend,,,,,
33,"Oct 01, 2020",5.46,7.35,5.16,7.35,6.40,"665,300"
34,"Sep 29, 2020",0.032047 Dividend,,,,,
35,"Sep 01, 2020",6.22,6.36,5.46,5.50,4.76,"470,300"
36,"Aug 28, 2020",0.03795 Dividend,,,,,
37,"Aug 01, 2020",6.31,6.65,6.00,6.27,5.40,"505,000"
38,"Jul 30, 2020",0.03233 Dividend,,,,,
39,"Jul 01, 2020",7.29,7.38,6.02,6.22,5.33,"517,900"
40,"Jun 29, 2020",0.04266 Dividend,,,,,
41,"Jun 01, 2020",7.34,8.14,7.01,7.38,6.29,"513,900"
42,"May 28, 2020",0.056277 Dividend,,,,,
43,"May 01, 2020",6.49,7.89,5.54,7.20,6.09,"605,700"
44,"Apr 29, 2020",0.086 Dividend,,,,,
45,"Apr 01, 2020",5.55,6.90,4.62,6.53,5.45,"686,000"
46,"Mar 30, 2020",0.091 Dividend,,,,,
47,"Mar 01, 2020",7.42,7.58,4.01,5.68,4.66,"1,149,700"
48,"Feb 27, 2020",0.106 Dividend,,,,,
49,"Feb 01, 2020",8.26,9.38,7.40,7.40,5.99,"815,900"
50,"Jan 30, 2020",0.104 Dividend,,,,,
51,"Jan 01, 2020",8.51,9.50,8.02,8.26,6.61,"825,700"
52,"Dec 30, 2019",0.084 Dividend,,,,,
53,"Dec 01, 2019",8.20,8.73,7.37,8.73,6.91,"907,100"
54,"Nov 27, 2019",0.062 Dividend,,,,,
55,"Nov 01, 2019",8.58,8.72,7.78,8.22,6.46,"555,200"
56,"Oct 30, 2019",0.076 Dividend,,,,,
57,"Oct 01, 2019",8.50,9.13,7.75,8.56,6.67,"565,300"
58,"Sep 27, 2019",0.049 Dividend,,,,,
59,"Sep 01, 2019",9.79,10.13,8.38,8.43,6.53,"540,100"
60,"Aug 29, 2019",0.072 Dividend,,,,,
61,"Aug 01, 2019",11.19,11.23,9.15,9.88,7.60,"643,400"
62,"Jul 30, 2019",0.067 Dividend,,,,,
63,"Jul 01, 2019",12.58,12.82,10.80,11.18,8.54,"396,100"
64,"Jun 27, 2019",0.09 Dividend,,,,,
65,"Jun 01, 2019",11.75,12.73,11.25,12.65,9.60,"277,100"
66,"May 30, 2019",0.082 Dividend,,,,,
67,"May 01, 2019",12.06,13.10,11.59,11.76,8.86,"276,500"
68,"Apr 29, 2019",0.115 Dividend,,,,,
69,"Apr 01, 2019",11.45,13.21,11.17,12.06,9.01,"408,200"
70,"Mar 28, 2019",0.073 Dividend,,,,,
71,"Mar 01, 2019",11.30,12.46,11.25,11.45,8.50,"452,100"
72,"Feb 27, 2019",0.045 Dividend,,,,,
73,"Feb 01, 2019",12.33,12.45,11.25,11.27,8.33,"318,500"
74,"Jan 30, 2019",0.062 Dividend,,,,,
75,"Jan 01, 2019",11.00,14.24,10.92,12.33,9.07,"440,200"
76,"Dec 28, 2018",0.101 Dividend,,,,,
77,"Dec 01, 2018",14.38,14.40,10.60,10.92,7.96,"604,400"
78,"Nov 29, 2018",0.145 Dividend,,,,,
79,"Nov 01, 2018",14.96,15.24,14.01,14.35,10.35,"441,000"
80,"Oct 30, 2018",0.124 Dividend,,,,,
81,"Oct 01, 2018",14.75,15.49,14.23,15.02,10.75,"385,100"
82,"Sep 27, 2018",0.125 Dividend,,,,,
83,"Sep 01, 2018",15.46,15.46,11.46,14.76,10.48,"342,800"
84,"Aug 30, 2018",0.108 Dividend,,,,,
85,"Aug 01, 2018",14.88,15.97,14.78,15.49,10.92,"318,400"
86,"Jul 30, 2018",0.125 Dividend,,,,,
87,"Jul 01, 2018",14.49,15.10,14.02,14.81,10.35,"270,500"
88,"Jun 28, 2018",0.12 Dividend,,,,,
89,"Jun 01, 2018",14.10,14.62,13.85,14.49,10.04,"247,800"
90,"May 30, 2018",0.11 Dividend,,,,,
91,"May 01, 2018",13.53,14.50,13.02,14.10,9.70,"278,400"
92,"Apr 27, 2018",0.131 Dividend,,,,,
93,"Apr 01, 2018",14.63,14.95,12.99,13.50,9.19,"498,000"
94,"Mar 28, 2018",0.09 Dividend,,,,,
95,"Mar 01, 2018",15.22,15.50,14.36,14.60,9.88,"333,700"
96,"Feb 27, 2018",0.142 Dividend,,,,,
97,"Feb 01, 2018",15.11,15.49,14.09,15.18,10.18,"362,200"
98,"Jan 30, 2018",0.107 Dividend,,,,,
99,"Jan 01, 2018",14.75,15.72,14.66,15.11,10.06,"426,700"
100,"Dec 28, 2017",0.078 Dividend,,,,,
101,"Dec 01, 2017",15.20,15.37,14.10,14.69,9.73,"555,100"
102,"Nov 29, 2017",0.093 Dividend,,,,,
103,"Nov 01, 2017",14.99,15.47,14.90,15.18,9.99,"259,800"
104,"Oct 30, 2017",0.099 Dividend,,,,,
105,"Oct 01, 2017",14.61,15.20,14.40,14.90,9.74,"235,200"
106,"Sep 28, 2017",0.084 Dividend,,,,,
107,"Sep 01, 2017",14.43,14.88,14.38,14.60,9.49,"269,600"
108,"Aug 29, 2017",0.093 Dividend,,,,,
109,"Aug 01, 2017",15.05,15.35,14.10,14.43,9.32,"325,300"
110,"Jul 27, 2017",0.077 Dividend,,,,,
111,"Jul 01, 2017",15.45,15.71,14.91,15.08,9.70,"287,800"
112,"Jun 28, 2017",0.085 Dividend,,,,,
113,"Jun 01, 2017",15.30,15.75,15.05,15.32,9.80,"350,800"
114,"May 26, 2017",0.077 Dividend,,,,,
115,"May 01, 2017",15.87,16.07,14.95,15.26,9.71,"300,300"
116,"Apr 26, 2017",0.091 Dividend,,,,,
117,"Apr 01, 2017",14.61,16.60,14.47,15.88,10.05,"247,900"
118,"Mar 29, 2017",0.089 Dividend,,,,,
119,"Mar 01, 2017",16.15,16.42,14.10,14.65,9.21,"361,700"
120,"Feb 24, 2017",0.062 Dividend,,,,,
121,"Feb 01, 2017",17.85,18.12,15.74,16.13,10.10,"421,300"
122,"Jan 27, 2017",0.079 Dividend,,,,,
123,"Jan 01, 2017",18.00,19.00,17.30,17.80,11.10,"227,600"
124,"Dec 28, 2016",0.091 Dividend,,,,,
125,"Dec 01, 2016",17.68,19.80,17.21,17.97,11.15,"308,200"
126,"Nov 28, 2016",0.116 Dividend,,,,,
127,"Nov 01, 2016",17.60,18.47,16.11,17.00,10.48,"422,600"
128,"Oct 27, 2016",0.111 Dividend,,,,,
129,"Oct 01, 2016",18.32,19.10,17.55,17.57,10.77,"461,100"
130,"Sep 28, 2016",0.074 Dividend,,,,,
131,"Sep 01, 2016",18.57,19.70,17.65,18.24,11.13,"262,600"
132,"Aug 29, 2016",0.089 Dividend,,,,,
133,"Aug 01, 2016",18.98,20.00,18.54,18.57,11.28,"261,600"
134,"Jul 27, 2016",0.054 Dividend,,,,,
135,"Jul 01, 2016",18.13,20.59,17.65,18.89,11.44,"474,800"
136,"Jun 28, 2016",0.061 Dividend,,,,,
137,"Jun 01, 2016",16.57,18.20,16.04,18.13,10.94,"282,700"
138,"May 26, 2016",0.047 Dividend,,,,,
139,"May 01, 2016",16.57,16.93,15.14,16.90,10.17,"373,200"
140,"Apr 27, 2016",0.054 Dividend,,,,,
141,"Apr 01, 2016",14.94,17.08,14.50,16.76,10.05,"385,000"
142,"Mar 29, 2016",0.123 Dividend,,,,,
143,"Mar 01, 2016",14.35,16.46,13.99,15.24,9.07,"409,400"
144,"Feb 25, 2016",0.072 Dividend,,,,,
145,"Feb 01, 2016",14.00,14.83,12.51,14.59,8.64,"436,900"
146,"Jan 27, 2016",0.169 Dividend,,,,,
147,"Jan 01, 2016",13.12,15.24,12.00,14.27,8.34,"779,500"
148,"Dec 29, 2015",0.116 Dividend,,,,,
149,"Dec 01, 2015",15.87,16.55,12.01,13.01,7.54,"755,700"
150,"Nov 25, 2015",0.126 Dividend,,,,,
151,"Nov 01, 2015",17.19,17.99,14.92,15.96,9.17,"480,100"
152,"Oct 28, 2015",0.102 Dividend,,,,,
153,"Oct 01, 2015",15.50,19.16,14.75,17.28,9.87,"567,200"
154,"Sep 28, 2015",0.094 Dividend,,,,,
155,"Sep 01, 2015",15.64,15.95,14.31,15.48,8.79,"344,000"
156,"Aug 27, 2015",0.099 Dividend,,,,,
157,"Aug 01, 2015",15.42,15.88,12.01,15.79,8.90,"715,300"
158,"Jul 29, 2015",0.1 Dividend,,,,,
159,"Jul 01, 2015",16.36,16.50,15.01,15.50,8.68,"413,600"
160,"Jun 26, 2015",0.08 Dividend,,,,,
161,"Jun 01, 2015",17.39,17.90,15.03,16.50,9.20,"487,300"
162,"May 27, 2015",0.052 Dividend,,,,,
163,"May 01, 2015",22.70,22.93,17.25,17.55,9.75,"511,300"
164,"Apr 28, 2015",0.157 Dividend,,,,,
165,"Apr 01, 2015",19.29,22.94,19.04,22.53,12.43,"463,300"
166,"Mar 27, 2015",0.116 Dividend,,,,,
167,"Mar 01, 2015",21.15,23.39,18.50,19.17,10.52,"410,300"
168,"Feb 25, 2015",0.152 Dividend,,,,,
169,"Feb 01, 2015",18.41,22.30,18.14,21.15,11.52,"528,200"
170,"Jan 28, 2015",0.16 Dividend,,,,,
171,"Jan 01, 2015",17.50,20.60,17.25,18.41,9.95,"631,800"
172,"Dec 29, 2014",0.213 Dividend,,,,,
173,"Dec 01, 2014",24.91,25.24,17.04,17.32,9.25,"1,057,100"
174,"Nov 25, 2014",0.17 Dividend,,,,,
175,"Nov 01, 2014",27.08,28.58,24.96,25.10,13.33,"454,500"
176,"Oct 29, 2014",0.19 Dividend,,,,,
177,"Oct 01, 2014",31.87,31.98,24.68,27.10,14.29,"847,200"
178,"Sep 26, 2014",0.27 Dividend,,,,,
179,"Sep 01, 2014",32.78,33.00,30.86,31.81,16.62,"376,500"
180,"Aug 27, 2014",0.255 Dividend,,,,,
181,"Aug 01, 2014",31.28,32.87,30.10,32.77,16.99,"429,900"
182,"Jul 29, 2014",0.231 Dividend,,,,,
183,"Jul 01, 2014",33.05,34.00,30.84,30.95,15.93,"358,100"
184,"Jun 26, 2014",0.168 Dividend,,,,,
185,"Jun 01, 2014",35.23,38.05,32.91,33.10,16.95,"444,800"
186,"May 28, 2014",0.25 Dividend,,,,,
187,"May 01, 2014",31.94,36.50,31.55,35.23,17.92,"511,900"
188,"Apr 28, 2014",0.209 Dividend,,,,,
189,"Apr 01, 2014",31.59,32.20,30.67,32.14,16.24,"321,300"
190,"Mar 27, 2014",0.261 Dividend,,,,,
191,"Mar 01, 2014",30.06,32.70,29.04,31.16,15.61,"332,400"
192,"Feb 26, 2014",0.197 Dividend,,,,,
193,"Feb 01, 2014",30.75,31.90,29.15,30.04,14.96,"345,800"
194,"Jan 29, 2014",0.242 Dividend,,,,,
195,"Jan 01, 2014",29.48,31.70,28.90,30.69,15.16,"307,900"
196,"Dec 27, 2013",0.191 Dividend,,,,,
197,"Dec 01, 2013",28.67,30.82,28.50,29.41,14.44,"374,200"
198,"Nov 26, 2013",0.224 Dividend,,,,,
199,"Nov 01, 2013",30.15,30.25,28.27,28.67,13.97,"266,100"
200,"Oct 29, 2013",0.246 Dividend,,,,,
201,"Oct 01, 2013",29.45,31.49,28.36,29.94,14.47,"350,600"
202,"Sep 26, 2013",0.256 Dividend,,,,,
203,"Sep 01, 2013",28.60,30.29,28.00,29.33,14.05,"416,800"
204,"Aug 28, 2013",0.236 Dividend,,,,,
205,"Aug 01, 2013",28.00,30.45,27.00,28.50,13.54,"317,500"
206,"Jul 29, 2013",0.203 Dividend,,,,,
207,"Jul 01, 2013",27.29,28.32,26.61,27.59,13.01,"254,000"
208,"Jun 26, 2013",0.199 Dividend,,,,,
209,"Jun 01, 2013",28.66,29.18,25.15,27.11,12.69,"332,700"
210,"May 29, 2013",0.182 Dividend,,,,,
211,"May 01, 2013",28.67,30.75,28.50,28.66,13.34,"309,300"
212,"Apr 26, 2013",0.135 Dividend,,,,,
213,"Apr 01, 2013",28.96,29.63,26.63,28.89,13.38,"409,000"
214,"Mar 26, 2013",0.131 Dividend,,,,,
215,"Mar 01, 2013",28.15,29.62,26.07,29.24,13.48,"391,000"
216,"Feb 26, 2013",0.155 Dividend,,,,,
