,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",30.70,30.92,28.74,30.49,30.14,"2,933,214"
1,"Jan 01, 2022",33.95,33.95,29.14,30.85,30.50,"3,570,830"
2,"Dec 01, 2021",35.03,35.51,31.14,33.48,33.10,"4,658,555"
3,"Nov 30, 2021",0.34 Dividend,,,,,
4,"Nov 01, 2021",33.09,36.56,32.58,34.53,33.81,"4,876,342"
5,"Oct 01, 2021",28.25,33.02,28.09,32.99,32.30,"3,470,237"
6,"Sep 01, 2021",29.77,30.72,28.20,28.20,27.61,"2,532,582"
7,"Aug 31, 2021",0.3345 Dividend,,,,,
8,"Aug 01, 2021",27.01,30.47,26.89,29.74,28.79,"3,130,348"
9,"Jul 01, 2021",25.44,27.47,24.17,26.95,26.09,"6,552,672"
10,"Jun 01, 2021",25.30,26.58,24.35,25.22,24.42,"6,462,191"
11,"May 28, 2021",0.329 Dividend,,,,,
12,"May 01, 2021",26.78,26.78,23.21,25.13,24.01,"3,832,110"
13,"Apr 01, 2021",26.76,27.49,25.95,26.58,25.40,"4,773,731"
14,"Mar 01, 2021",26.50,27.72,23.81,26.51,25.33,"6,770,961"
15,"Feb 26, 2021",0.324 Dividend,,,,,
16,"Feb 01, 2021",29.06,31.00,25.99,26.15,24.69,"6,171,270"
17,"Jan 01, 2021",29.55,34.47,28.24,28.83,27.22,"9,338,948"
18,"Dec 01, 2020",27.62,31.19,27.00,29.55,27.90,"4,939,999"
19,"Nov 30, 2020",0.318 Dividend,,,,,
20,"Nov 01, 2020",26.43,30.49,25.85,27.14,25.33,"3,028,533"
21,"Oct 01, 2020",24.72,28.48,24.35,26.21,24.46,"2,670,781"
22,"Sep 01, 2020",23.94,25.00,21.24,24.70,23.05,"3,981,967"
23,"Aug 31, 2020",0.3125 Dividend,,,,,
24,"Aug 01, 2020",23.20,25.57,22.69,24.15,22.25,"3,310,094"
25,"Jul 01, 2020",20.90,23.30,20.32,22.91,21.11,"3,719,915"
26,"Jun 01, 2020",20.02,22.83,19.89,20.97,19.32,"5,694,203"
27,"May 29, 2020",0.21 Dividend,,,,,
28,"May 01, 2020",18.41,20.64,17.77,20.29,18.50,"4,474,596"
29,"Apr 01, 2020",16.38,19.85,15.72,18.70,17.05,"5,300,800"
30,"Mar 01, 2020",20.14,21.57,15.29,17.17,15.65,"8,278,727"
31,"Feb 28, 2020",0.21 Dividend,,,,,
32,"Feb 01, 2020",20.69,22.67,18.76,20.29,18.31,"4,377,929"
33,"Jan 01, 2020",19.12,21.06,18.90,20.69,18.67,"4,643,247"
34,"Dec 01, 2019",18.99,19.38,17.77,19.12,17.25,"4,531,264"
35,"Nov 29, 2019",0.2 Dividend,,,,,
36,"Nov 01, 2019",17.21,19.16,17.15,18.98,16.95,"3,286,545"
37,"Oct 01, 2019",17.47,19.41,16.11,17.17,15.33,"5,273,243"
38,"Sep 01, 2019",16.76,17.74,16.59,17.34,15.49,"4,997,500"
39,"Aug 30, 2019",0.2 Dividend,,,,,
40,"Aug 01, 2019",17.18,17.54,15.52,16.76,14.79,"5,118,575"
41,"Jul 01, 2019",16.18,17.67,16.03,17.17,15.15,"4,956,774"
42,"Jun 01, 2019",14.34,16.38,14.34,16.18,14.28,"4,452,974"
43,"May 31, 2019",0.2 Dividend,,,,,
44,"May 01, 2019",15.47,15.52,14.07,14.33,12.47,"4,013,920"
45,"Apr 01, 2019",14.67,15.69,14.34,15.37,13.38,"4,046,789"
46,"Mar 01, 2019",14.76,14.87,13.71,14.54,12.65,"5,018,745"
47,"Feb 28, 2019",0.2 Dividend,,,,,
48,"Feb 01, 2019",14.73,15.00,12.04,14.76,12.67,"9,958,274"
49,"Jan 01, 2019",16.92,17.30,13.29,14.70,12.62,"9,557,315"
50,"Dec 01, 2018",18.20,18.38,15.82,16.92,14.52,"5,666,780"
51,"Nov 30, 2018",0.331 Dividend,,,,,
52,"Nov 01, 2018",19.60,19.75,16.06,18.03,15.19,"8,372,996"
53,"Oct 01, 2018",19.05,20.22,18.98,19.42,16.36,"6,723,525"
54,"Sep 01, 2018",19.69,20.68,18.91,19.04,16.04,"6,234,864"
55,"Aug 31, 2018",0.32 Dividend,,,,,
56,"Aug 01, 2018",18.41,20.48,18.15,19.69,16.33,"4,795,726"
57,"Jul 01, 2018",17.05,18.56,16.95,18.48,15.32,"3,235,386"
58,"Jun 01, 2018",17.55,17.61,16.61,17.05,14.14,"3,664,943"
59,"May 31, 2018",0.309 Dividend,,,,,
60,"May 01, 2018",17.55,18.18,16.75,17.47,14.24,"4,069,785"
61,"Apr 01, 2018",16.50,17.84,16.20,17.61,14.35,"2,798,738"
62,"Mar 01, 2018",15.33,17.16,15.30,16.44,13.40,"4,395,127"
63,"Feb 28, 2018",0.298 Dividend,,,,,
64,"Feb 01, 2018",18.87,18.92,15.38,15.38,12.30,"6,848,207"
65,"Jan 01, 2018",18.85,19.53,18.27,18.83,15.06,"3,561,376"
66,"Dec 01, 2017",18.88,19.13,18.03,18.85,15.07,"5,061,235"
67,"Nov 30, 2017",0.288 Dividend,,,,,
68,"Nov 01, 2017",18.50,19.91,18.24,18.81,14.82,"5,878,474"
69,"Oct 01, 2017",19.06,19.14,18.14,18.35,14.46,"4,889,594"
70,"Sep 01, 2017",18.32,19.54,17.65,18.97,14.94,"5,207,507"
71,"Aug 30, 2017",0.28 Dividend,,,,,
72,"Aug 01, 2017",18.25,18.73,17.54,18.19,14.11,"4,682,051"
73,"Jul 01, 2017",17.08,18.36,16.47,18.23,14.14,"6,325,541"
74,"Jun 01, 2017",17.18,17.84,16.64,17.06,13.23,"4,135,673"
75,"May 30, 2017",0.27 Dividend,,,,,
76,"May 01, 2017",17.42,17.84,16.08,17.20,13.14,"4,349,930"
77,"Apr 01, 2017",17.36,17.64,16.83,17.34,13.25,"3,369,816"
78,"Mar 01, 2017",16.87,17.53,15.79,17.39,13.29,"4,486,475"
79,"Feb 27, 2017",0.26 Dividend,,,,,
80,"Feb 01, 2017",16.25,17.46,16.09,16.81,12.65,"3,785,182"
81,"Jan 01, 2017",15.36,16.98,15.03,16.25,12.23,"3,095,877"
82,"Dec 01, 2016",14.68,15.83,14.00,15.36,11.56,"4,383,674"
83,"Nov 29, 2016",0.25 Dividend,,,,,
84,"Nov 01, 2016",14.68,15.76,13.40,14.59,10.80,"6,887,537"
85,"Oct 01, 2016",16.29,16.50,14.28,14.73,10.91,"7,714,789"
