,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",75.40,77.92,69.00,75.36,75.36,"5,905,700"
1,"Jan 01, 2022",85.29,85.59,72.09,75.98,75.98,"4,705,200"
2,"Dec 01, 2021",86.02,87.04,80.56,85.42,85.42,"4,899,800"
3,"Nov 01, 2021",87.18,89.84,84.51,84.78,84.78,"3,996,400"
4,"Oct 01, 2021",76.38,87.24,75.17,86.72,86.72,"3,415,900"
5,"Sep 01, 2021",74.10,80.98,72.65,75.94,75.94,"4,552,600"
6,"Aug 01, 2021",69.00,75.10,66.92,73.99,73.99,"5,025,000"
7,"Jul 01, 2021",63.80,69.51,62.47,68.78,68.78,"3,274,800"
8,"Jun 01, 2021",67.58,68.82,62.80,63.43,63.43,"3,665,300"
9,"May 01, 2021",67.80,69.60,65.35,67.43,67.43,"3,046,200"
10,"Apr 01, 2021",63.58,68.48,63.42,67.11,67.11,"4,549,000"
11,"Mar 01, 2021",58.69,66.20,58.18,63.57,63.57,"5,755,100"
12,"Feb 01, 2021",57.78,61.53,56.32,57.92,57.92,"4,863,800"
13,"Jan 01, 2021",62.40,62.79,53.43,57.24,57.24,"7,150,500"
14,"Dec 01, 2020",60.00,63.58,57.61,61.95,61.95,"5,815,300"
15,"Nov 01, 2020",54.99,61.50,54.02,60.18,60.18,"4,601,400"
16,"Oct 01, 2020",55.81,61.77,53.71,53.99,53.99,"6,100,900"
17,"Sep 01, 2020",56.03,58.87,51.98,55.85,55.85,"6,830,200"
18,"Aug 01, 2020",55.85,59.68,54.54,56.15,56.15,"4,744,000"
19,"Jul 01, 2020",52.08,55.59,49.66,55.41,55.41,"4,503,800"
20,"Jun 01, 2020",51.29,54.00,47.44,52.12,52.12,"7,767,000"
21,"May 01, 2020",45.43,53.17,43.03,50.95,50.95,"5,423,000"
22,"Apr 01, 2020",37.81,48.75,35.18,46.38,46.38,"7,054,800"
23,"Mar 01, 2020",48.30,53.33,34.35,39.06,39.06,"13,104,400"
24,"Feb 01, 2020",51.46,56.14,47.64,48.45,48.45,"5,495,900"
25,"Jan 01, 2020",46.25,51.97,45.26,51.19,51.19,"5,129,800"
26,"Dec 01, 2019",46.70,47.71,44.63,46.03,46.03,"3,673,100"
27,"Nov 01, 2019",44.49,47.20,40.90,46.71,46.71,"4,370,400"
28,"Oct 01, 2019",43.09,45.02,40.87,43.59,43.59,"5,925,400"
29,"Sep 01, 2019",45.47,45.90,38.86,42.94,42.94,"7,495,600"
30,"Aug 01, 2019",43.56,47.72,40.74,45.50,45.50,"7,360,500"
31,"Jul 01, 2019",39.88,44.15,39.33,43.60,43.60,"5,885,500"
32,"Jun 01, 2019",38.78,41.72,38.15,39.63,39.63,"6,102,500"
33,"May 01, 2019",38.62,39.87,36.56,38.72,38.72,"5,469,700"
34,"Apr 01, 2019",35.70,37.49,32.07,37.32,37.32,"4,766,700"
35,"Mar 01, 2019",35.31,36.95,33.29,35.56,35.56,"5,878,300"
36,"Feb 01, 2019",30.01,36.00,29.84,35.28,35.28,"7,376,600"
37,"Jan 01, 2019",27.86,31.89,26.75,30.12,30.12,"5,843,700"
38,"Dec 01, 2018",32.91,33.37,24.61,28.49,28.49,"4,177,400"
39,"Nov 01, 2018",32.57,34.48,28.88,32.65,32.65,"4,277,000"
40,"Oct 01, 2018",31.65,33.63,28.14,32.56,32.56,"4,993,400"
41,"Sep 01, 2018",28.37,33.94,28.11,31.06,31.06,"3,566,000"
42,"Aug 01, 2018",27.69,29.74,25.89,28.38,28.38,"4,351,800"
43,"Jul 01, 2018",25.58,27.68,24.80,27.56,27.56,"2,518,300"
44,"Jun 01, 2018",23.71,26.98,23.50,25.61,25.61,"4,477,900"
