,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",10.07,10.33,8.77,9.16,9.16,"14,758,000"
1,"Jan 01, 2022",10.00,11.07,9.58,10.11,10.11,"14,518,900"
2,"Dec 01, 2021",11.03,11.23,9.19,9.97,9.97,"17,794,900"
3,"Nov 01, 2021",8.60,11.99,8.49,10.77,10.77,"16,534,700"
4,"Oct 01, 2021",8.84,9.83,8.23,8.61,8.61,"12,222,100"
5,"Sep 01, 2021",9.75,9.87,8.29,8.90,8.90,"16,763,300"
6,"Aug 01, 2021",10.22,11.00,9.04,9.72,9.72,"14,610,500"
7,"Jul 01, 2021",10.54,10.83,9.28,10.28,10.28,"18,391,500"
8,"Jun 01, 2021",7.96,12.35,7.96,10.47,10.47,"53,175,100"
9,"May 01, 2021",7.84,8.56,7.37,7.83,7.83,"31,350,100"
10,"Apr 01, 2021",9.04,9.24,6.88,7.77,7.77,"63,491,600"
11,"Mar 01, 2021",7.29,9.85,7.23,9.05,9.05,"48,082,300"
12,"Feb 01, 2021",7.28,8.81,6.81,7.18,7.18,"52,790,400"
13,"Jan 01, 2021",6.67,7.89,5.92,7.11,7.11,"66,089,200"
14,"Dec 01, 2020",7.25,8.03,6.45,6.55,6.55,"47,972,200"
15,"Nov 01, 2020",6.50,7.94,5.91,7.09,7.09,"48,802,900"
16,"Oct 01, 2020",8.01,8.43,5.76,6.41,6.41,"38,268,900"
17,"Sep 01, 2020",9.18,9.77,7.82,8.00,8.00,"29,674,000"
18,"Aug 01, 2020",8.87,10.14,8.52,9.31,9.31,"64,556,900"
19,"Jul 01, 2020",9.40,9.77,8.63,8.91,8.91,"25,191,100"
20,"Jun 01, 2020",12.19,14.44,8.92,9.36,9.36,"49,986,700"
21,"May 01, 2020",12.60,13.35,9.62,12.03,12.03,"25,171,900"
22,"Apr 01, 2020",10.50,13.49,8.55,13.12,13.12,"22,600,300"
23,"Mar 31, 2020",0.44 Dividend,,,,,
24,"Mar 01, 2020",14.96,16.57,8.33,11.17,10.76,"38,734,200"
25,"Feb 01, 2020",16.00,17.90,14.52,14.81,14.27,"22,371,600"
26,"Jan 03, 2020",0.44 Dividend,,,,,
27,"Jan 01, 2020",17.56,17.61,15.29,15.95,14.97,"20,651,700"
28,"Dec 01, 2019",15.25,17.84,14.68,17.38,16.31,"27,597,400"
29,"Nov 01, 2019",15.34,16.37,14.85,15.15,14.22,"14,012,300"
30,"Oct 01, 2019",17.30,17.43,14.90,15.26,14.32,"17,699,100"
31,"Sep 30, 2019",0.44 Dividend,,,,,
32,"Sep 01, 2019",16.95,18.53,16.91,17.28,15.82,"16,134,900"
33,"Aug 01, 2019",16.96,18.26,16.14,16.95,15.52,"14,805,600"
34,"Jul 01, 2019",20.85,20.92,15.57,16.97,15.53,"30,034,300"
35,"Jun 28, 2019",0.44 Dividend,,,,,
36,"Jun 01, 2019",21.96,24.38,20.38,20.76,18.60,"15,664,100"
37,"May 01, 2019",20.86,22.60,20.40,21.90,19.62,"10,074,100"
38,"Apr 01, 2019",19.50,20.94,19.29,20.81,18.65,"10,351,600"
39,"Mar 29, 2019",0.44 Dividend,,,,,
