,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",2.9900,3.9500,2.8900,3.3000,3.3000,"4,989,600"
1,"Jan 01, 2022",3.0000,3.2700,2.5600,2.9400,2.9400,"4,678,600"
2,"Dec 01, 2021",3.2300,3.4160,2.5400,2.9700,2.9700,"6,848,700"
3,"Nov 01, 2021",3.4800,4.2500,3.0600,3.1900,3.1900,"8,372,200"
4,"Oct 01, 2021",4.2000,4.2650,3.3550,3.4300,3.4300,"3,861,500"
5,"Sep 01, 2021",3.5100,4.1400,3.3500,4.1300,4.1300,"10,469,900"
6,"Aug 01, 2021",3.6200,4.1000,3.3300,3.5100,3.5100,"6,383,000"
7,"Jul 01, 2021",3.6500,3.7700,3.3300,3.6200,3.6200,"4,688,500"
8,"Jun 01, 2021",3.6700,4.0950,3.4000,3.5700,3.5700,"7,759,900"
9,"May 01, 2021",3.3500,3.9400,3.0500,3.6500,3.6500,"7,795,400"
10,"Apr 01, 2021",2.9300,3.4350,2.7400,3.3600,3.3600,"7,915,500"
11,"Mar 01, 2021",4.1800,4.7900,2.6800,2.9200,2.9200,"17,905,600"
12,"Feb 01, 2021",4.3300,4.9000,3.8400,4.0800,4.0800,"6,024,200"
13,"Jan 01, 2021",3.9900,4.6500,3.6300,4.2800,4.2800,"6,459,500"
14,"Dec 01, 2020",2.9300,4.2100,2.7000,3.9900,3.9900,"5,805,400"
15,"Nov 01, 2020",2.5200,2.9800,2.3500,2.8300,2.8300,"5,528,100"
16,"Oct 01, 2020",2.5600,3.3200,2.3400,2.5200,2.5200,"7,963,800"
17,"Sep 01, 2020",1.9900,2.7700,1.9100,2.5700,2.5700,"6,899,100"
18,"Aug 01, 2020",1.9700,3.0200,1.9500,1.9700,1.9700,"8,430,600"
19,"Jul 01, 2020",1.4800,2.0900,1.3500,1.9300,1.9300,"10,599,200"
20,"Jun 01, 2020",1.7000,2.8700,1.4600,1.4800,1.4800,"11,833,200"
21,"May 01, 2020",1.7100,2.2100,1.4400,1.7000,1.7000,"7,182,800"
22,"Apr 01, 2020",0.9530,2.1400,0.8900,1.8700,1.8700,"12,714,900"
23,"Mar 01, 2020",3.3000,3.5200,0.9800,1.0400,1.0400,"8,305,100"
24,"Feb 01, 2020",5.8000,5.9800,3.1200,3.3000,3.3000,"6,198,000"
25,"Jan 01, 2020",4.4500,5.8800,4.3000,5.8100,5.8100,"4,501,900"
26,"Dec 01, 2019",4.1400,4.5500,3.9600,4.4500,4.4500,"2,761,800"
27,"Nov 01, 2019",4.0700,4.5100,3.7100,4.1500,4.1500,"2,444,600"
28,"Oct 01, 2019",4.2300,4.4800,3.9750,4.0900,4.0900,"1,587,300"
29,"Sep 01, 2019",4.2200,4.6400,4.0200,4.2100,4.2100,"1,767,800"
30,"Aug 01, 2019",4.1300,5.2100,4.1000,4.3100,4.3100,"2,533,900"
31,"Jul 01, 2019",4.1500,4.3900,4.0000,4.1600,4.1600,"2,668,400"
32,"Jun 01, 2019",4.2500,4.5700,4.0300,4.1200,4.1200,"2,184,200"
33,"May 01, 2019",4.5000,4.9800,3.9900,4.2600,4.2600,"2,950,700"
34,"Apr 01, 2019",4.3600,4.7200,4.1500,4.4800,4.4800,"2,244,400"
35,"Mar 01, 2019",4.4000,4.5800,4.0600,4.3400,4.3400,"1,689,300"
36,"Feb 01, 2019",4.4400,5.1570,4.2200,4.3800,4.3800,"4,399,000"
37,"Jan 01, 2019",4.4100,5.0800,4.3100,4.4500,4.4500,"2,729,700"
38,"Dec 01, 2018",4.9100,4.9600,3.9600,4.4800,4.4800,"2,853,400"
39,"Nov 01, 2018",4.3000,4.8900,3.9200,4.8400,4.8400,"6,675,300"
40,"Oct 01, 2018",8.0900,8.1000,3.7100,4.2600,4.2600,"11,059,800"
41,"Sep 01, 2018",9.3800,9.4400,8.0000,8.0600,8.0600,"4,112,300"
42,"Aug 01, 2018",9.2600,10.4700,8.9300,9.3600,9.3600,"5,394,800"
43,"Jul 01, 2018",8.4500,11.2700,8.4140,9.3200,9.3200,"9,132,600"
44,"Jun 01, 2018",7.7000,8.8100,7.4400,8.4600,8.4600,"3,490,300"
45,"May 01, 2018",8.4000,8.7800,7.5200,7.6600,7.6600,"4,475,500"
46,"Apr 01, 2018",7.1500,7.8600,6.9200,7.6400,7.6400,"1,867,400"
47,"Mar 01, 2018",7.1100,7.5500,6.6000,7.0800,7.0800,"1,811,200"
48,"Feb 01, 2018",7.4700,8.2500,6.5000,7.1400,7.1400,"3,802,500"
49,"Jan 01, 2018",7.6100,8.4000,7.2000,7.4700,7.4700,"3,823,200"
50,"Dec 01, 2017",7.4900,8.0000,7.1900,7.5300,7.5300,"6,199,000"
51,"Nov 01, 2017",7.8500,7.8800,7.0000,7.5000,7.5000,"3,419,400"
52,"Oct 01, 2017",6.1600,9.0000,6.0250,7.8300,7.8300,"3,865,300"
53,"Sep 01, 2017",6.3500,6.5000,5.9000,6.1100,6.1100,"2,925,200"
54,"Aug 01, 2017",9.0500,9.2100,5.9400,6.3300,6.3300,"5,641,400"
55,"Jul 01, 2017",7.9700,9.4750,7.6500,8.2300,8.2300,"3,294,600"
56,"Jun 01, 2017",6.9000,8.9800,6.9000,7.9200,7.9200,"5,216,200"
57,"May 01, 2017",8.3400,8.4500,6.8000,7.0000,7.0000,"3,162,400"
58,"Apr 01, 2017",7.0000,8.8600,7.0000,8.2500,8.2500,"5,661,400"
