,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 11, 2022",0.18 Dividend,,,,,
1,"Feb 01, 2022",27.27,32.34,27.19,31.46,31.27,"93,849,600"
2,"Jan 01, 2022",26.38,29.72,26.26,27.55,27.39,"78,052,700"
3,"Dec 01, 2021",25.44,28.08,24.61,26.33,26.17,"59,810,600"
4,"Nov 10, 2021",0.18 Dividend,,,,,
5,"Nov 01, 2021",26.12,27.29,24.17,25.06,24.74,"56,501,500"
6,"Oct 01, 2021",25.99,28.30,25.08,25.43,25.11,"79,333,900"
7,"Sep 01, 2021",21.48,25.85,21.27,25.50,25.18,"52,080,000"
8,"Aug 11, 2021",0.15 Dividend,,,,,
9,"Aug 01, 2021",19.87,21.84,19.70,21.19,20.77,"46,219,500"
10,"Jul 01, 2021",21.60,21.65,18.45,19.56,19.17,"41,880,200"
11,"Jun 01, 2021",22.45,23.36,19.92,21.20,20.78,"56,637,400"
12,"May 13, 2021",0.12 Dividend,,,,,
13,"May 01, 2021",20.37,22.39,20.33,21.91,21.35,"45,359,800"
14,"Apr 01, 2021",19.50,21.40,18.79,20.27,19.76,"48,830,100"
15,"Mar 01, 2021",19.16,20.81,18.77,19.46,18.97,"66,582,100"
16,"Feb 11, 2021",0.11 Dividend,,,,,
17,"Feb 01, 2021",18.00,20.38,17.61,18.96,18.37,"77,176,400"
18,"Jan 01, 2021",17.16,19.97,16.61,17.73,17.18,"96,353,500"
19,"Dec 01, 2020",16.07,17.17,15.69,16.42,15.91,"88,477,100"
20,"Nov 12, 2020",0.09 Dividend,,,,,
21,"Nov 01, 2020",13.07,16.65,12.91,15.34,14.77,"125,950,000"
22,"Oct 01, 2020",13.96,14.97,12.11,12.83,12.35,"91,167,100"
23,"Sep 01, 2020",16.14,16.22,13.89,14.06,13.54,"79,837,600"
24,"Aug 14, 2020",0.09 Dividend,,,,,
25,"Aug 01, 2020",14.87,16.93,14.82,16.05,15.37,"60,716,400"
26,"Jul 01, 2020",14.34,15.87,14.22,14.91,14.28,"79,240,200"
27,"Jun 01, 2020",14.57,17.10,14.04,14.48,13.87,"74,168,000"
28,"May 15, 2020",0.27 Dividend,,,,,
29,"May 01, 2020",13.32,15.34,12.76,14.59,13.69,"98,135,400"
30,"Apr 01, 2020",12.66,14.40,11.78,13.58,12.74,"105,968,500"
31,"Mar 01, 2020",15.67,16.38,8.41,12.18,11.43,"139,104,500"
32,"Feb 18, 2020",0.26 Dividend,,,,,
33,"Feb 01, 2020",18.03,18.72,14.78,15.55,14.37,"96,937,000"
34,"Jan 01, 2020",20.27,21.04,18.12,18.18,16.80,"52,232,800"
35,"Dec 01, 2019",18.71,20.10,17.91,19.91,18.40,"48,214,300"
36,"Nov 18, 2019",0.26 Dividend,,,,,
37,"Nov 01, 2019",18.97,19.81,18.43,18.53,16.90,"37,672,600"
38,"Oct 01, 2019",19.20,19.31,17.91,18.51,16.88,"47,896,000"
39,"Sep 01, 2019",16.88,20.49,16.72,18.95,17.28,"44,636,800"
40,"Aug 19, 2019",0.26 Dividend,,,,,
41,"Aug 01, 2019",17.73,17.73,16.24,17.01,15.27,"43,498,700"
42,"Jul 01, 2019",20.26,20.51,17.65,17.81,15.99,"39,234,400"
43,"Jun 01, 2019",19.46,20.31,19.09,19.78,17.76,"31,069,700"
44,"May 17, 2019",0.26 Dividend,,,,,
45,"May 01, 2019",22.19,22.23,18.91,19.15,16.98,"46,247,600"
46,"Apr 01, 2019",22.30,23.97,21.91,22.19,19.68,"26,436,300"
47,"Mar 01, 2019",22.47,23.10,21.52,21.97,19.48,"19,027,900"
48,"Feb 19, 2019",0.23 Dividend,,,,,
49,"Feb 01, 2019",22.90,23.63,22.23,22.46,19.72,"26,258,000"
50,"Jan 01, 2019",20.88,23.05,20.81,22.78,20.00,"26,140,100"
51,"Dec 01, 2018",24.31,24.43,19.95,21.17,18.59,"33,653,100"
52,"Nov 20, 2018",0.23 Dividend,,,,,
53,"Nov 01, 2018",25.97,26.21,22.53,23.38,20.33,"38,718,300"
54,"Oct 01, 2018",28.38,28.41,25.01,25.70,22.35,"32,050,100"
55,"Sep 01, 2018",25.65,28.93,24.58,28.20,24.53,"21,535,800"
56,"Aug 21, 2018",0.23 Dividend,,,,,
57,"Aug 01, 2018",26.30,26.77,24.58,25.77,22.21,"22,234,900"
58,"Jul 01, 2018",26.18,28.06,25.62,26.46,22.81,"19,191,100"
59,"Jun 01, 2018",26.39,27.33,25.45,26.41,22.76,"22,268,400"
60,"May 16, 2018",0.23 Dividend,,,,,
61,"May 01, 2018",25.53,27.48,24.90,26.25,22.43,"33,266,500"
62,"Apr 01, 2018",23.58,26.36,23.05,25.60,21.88,"52,553,900"
63,"Mar 01, 2018",22.60,23.99,22.26,23.65,20.21,"37,921,200"
64,"Feb 08, 2018",0.22 Dividend,,,,,
65,"Feb 01, 2018",23.65,23.84,20.93,22.63,19.15,"40,776,300"
66,"Jan 01, 2018",21.83,24.47,21.76,23.44,19.84,"33,515,800"
67,"Dec 01, 2017",20.15,21.52,19.91,21.42,18.13,"25,237,500"
68,"Nov 01, 2017",0.22 Dividend,,,,,
69,"Nov 01, 2017",20.36,21.02,19.76,20.08,16.81,"37,270,500"
70,"Oct 01, 2017",19.89,20.77,19.71,20.31,17.00,"39,853,200"
71,"Sep 01, 2017",18.89,20.42,18.84,20.09,16.82,"29,393,300"
72,"Aug 08, 2017",0.22 Dividend,,,,,
73,"Aug 01, 2017",18.74,19.12,18.10,18.85,15.60,"35,495,900"
74,"Jul 01, 2017",16.63,18.82,16.18,18.76,15.52,"40,572,000"
75,"Jun 01, 2017",17.29,17.79,16.25,16.53,13.68,"50,074,000"
76,"May 01, 2017",16.34,18.39,16.23,17.41,14.41,"41,295,800"
77,"Apr 01, 2017",17.28,17.56,16.22,16.43,13.59,"31,559,200"
78,"Mar 01, 2017",17.70,17.82,16.69,17.18,14.22,"50,584,300"
79,"Feb 21, 2017",0.22 Dividend,,,,,
80,"Feb 01, 2017",18.77,18.90,17.33,17.60,14.38,"40,074,400"
81,"Jan 01, 2017",18.74,19.27,18.40,18.67,15.25,"32,694,600"
82,"Dec 01, 2016",17.80,18.63,17.53,18.24,14.90,"32,704,500"
83,"Nov 01, 2016",0.22 Dividend,,,,,
84,"Nov 01, 2016",16.25,17.49,15.58,17.40,14.02,"70,708,500"
85,"Oct 01, 2016",16.80,17.42,16.15,16.24,13.09,"42,674,200"
86,"Sep 01, 2016",15.53,16.87,14.98,16.80,13.54,"57,960,000"
87,"Aug 10, 2016",0.22 Dividend,,,,,
88,"Aug 01, 2016",15.64,16.60,15.15,15.65,12.44,"56,368,600"
89,"Jul 01, 2016",17.33,17.82,15.62,15.91,12.65,"46,902,500"
90,"Jun 01, 2016",15.80,17.41,15.30,17.31,13.76,"53,622,100"
91,"May 11, 2016",0.22 Dividend,,,,,
92,"May 01, 2016",17.35,17.45,15.69,15.76,12.36,"60,559,600"
93,"Apr 01, 2016",15.10,17.94,14.50,17.59,13.80,"57,987,100"
94,"Mar 01, 2016",14.60,16.27,14.47,15.56,12.20,"80,122,000"
95,"Feb 16, 2016",0.22 Dividend,,,,,
96,"Feb 01, 2016",13.17,14.82,12.36,14.56,11.24,"85,186,200"
97,"Jan 01, 2016",13.72,13.93,10.89,13.60,10.50,"99,891,400"
98,"Dec 01, 2015",15.38,15.89,13.35,13.96,10.77,"70,403,000"
99,"Nov 01, 2015",16.08,17.10,14.78,15.37,11.86,"58,340,600"
100,"Oct 01, 2015",15.17,17.78,14.74,16.16,12.47,"73,203,600"
101,"Sep 01, 2015",14.88,15.57,13.85,14.56,11.24,"57,639,800"
102,"Aug 13, 2015",0.221 Dividend,,,,,
103,"Aug 01, 2015",16.61,17.06,13.82,15.49,11.80,"66,103,300"
104,"Jul 01, 2015",17.52,17.72,15.79,16.91,12.88,"60,517,600"
105,"Jun 01, 2015",18.19,19.08,17.70,17.90,13.63,"44,250,000"
106,"May 19, 2015",0.237 Dividend,,,,,
107,"May 01, 2015",21.15,21.72,18.39,18.58,13.99,"47,489,300"
108,"Apr 01, 2015",17.81,21.25,17.68,21.23,15.98,"45,136,600"
109,"Mar 01, 2015",18.64,18.77,15.96,17.59,13.24,"77,256,500"
