,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",79.66,80.03,66.46,69.93,69.93,"2,275,100"
1,"Jan 03, 2022",0.08 Dividend,,,,,
2,"Jan 01, 2022",89.81,90.52,75.67,79.78,79.71,"2,291,900"
3,"Dec 01, 2021",83.59,90.32,82.89,89.99,89.91,"4,027,600"
4,"Nov 01, 2021",84.59,96.01,81.25,81.74,81.67,"1,778,500"
5,"Oct 01, 2021",77.02,86.36,76.17,84.56,84.48,"2,140,600"
6,"Sep 30, 2021",0.08 Dividend,,,,,
7,"Sep 01, 2021",90.12,90.12,75.19,77.00,76.85,"2,784,700"
8,"Aug 01, 2021",94.32,95.95,85.10,90.12,89.95,"1,636,700"
9,"Jul 01, 2021",93.98,97.55,89.86,94.37,94.19,"1,854,000"
10,"Jun 30, 2021",0.08 Dividend,,,,,
11,"Jun 01, 2021",95.25,96.66,88.60,93.81,93.55,"3,901,900"
12,"May 01, 2021",109.50,111.39,93.19,94.64,94.38,"2,438,700"
13,"Apr 01, 2021",109.51,114.00,107.34,108.76,108.46,"1,519,000"
14,"Mar 31, 2021",0.08 Dividend,,,,,
15,"Mar 01, 2021",107.51,115.84,103.14,108.89,108.51,"3,024,500"
16,"Feb 01, 2021",96.03,110.28,95.52,105.67,105.30,"1,712,700"
17,"Jan 01, 2021",103.69,111.75,95.08,95.08,94.75,"2,078,800"
18,"Dec 31, 2020",0.08 Dividend,,,,,
19,"Dec 01, 2020",100.29,106.41,97.61,103.22,102.78,"2,681,600"
20,"Nov 01, 2020",84.91,103.36,82.92,98.90,98.48,"2,031,800"
21,"Oct 01, 2020",80.93,89.33,79.45,83.69,83.33,"1,782,200"
22,"Sep 30, 2020",0.08 Dividend,,,,,
23,"Sep 01, 2020",89.83,91.36,78.30,80.56,80.14,"2,273,100"
24,"Aug 01, 2020",86.65,95.60,86.16,89.92,89.45,"1,516,800"
25,"Jul 01, 2020",0.08 Dividend,,,,,
26,"Jul 01, 2020",84.65,88.71,78.75,85.94,85.41,"1,582,600"
27,"Jun 01, 2020",83.16,94.24,77.47,84.53,84.01,"2,439,500"
28,"May 01, 2020",74.44,89.10,71.30,82.61,82.10,"2,397,300"
29,"Apr 01, 2020",0.08 Dividend,,,,,
30,"Apr 01, 2020",71.56,81.70,68.09,76.30,75.75,"2,329,000"
31,"Mar 01, 2020",91.20,95.12,62.64,75.91,75.36,"3,800,800"
32,"Feb 01, 2020",96.58,107.10,88.04,90.92,90.26,"3,871,300"
33,"Jan 01, 2020",93.39,100.34,92.12,95.96,95.26,"2,716,900"
34,"Dec 31, 2019",0.08 Dividend,,,,,
35,"Dec 01, 2019",87.79,93.21,85.16,92.50,91.75,"3,386,000"
36,"Nov 01, 2019",85.08,89.12,83.06,88.07,87.36,"2,297,300"
37,"Oct 02, 2019",0.08 Dividend,,,,,
38,"Oct 01, 2019",80.04,86.61,74.16,84.49,83.72,"3,028,000"
39,"Sep 01, 2019",75.54,82.30,74.19,79.56,78.83,"2,346,900"
40,"Aug 01, 2019",83.74,84.84,73.04,76.13,75.43,"2,921,400"
41,"Jul 03, 2019",0.08 Dividend,,,,,
42,"Jul 01, 2019",83.54,85.86,80.23,83.56,82.72,"2,601,400"
43,"Jun 01, 2019",70.08,82.70,69.62,82.62,81.79,"2,812,200"
44,"May 01, 2019",75.07,78.32,68.39,69.89,69.19,"1,655,600"
45,"Apr 02, 2019",0.08 Dividend,,,,,
46,"Apr 01, 2019",67.43,75.34,67.43,75.00,74.16,"1,424,200"
47,"Mar 01, 2019",69.46,71.29,65.69,67.03,66.28,"2,486,900"
48,"Feb 01, 2019",64.94,70.99,64.01,69.19,68.41,"1,658,100"
49,"Jan 02, 2019",0.08 Dividend,,,,,
50,"Jan 01, 2019",65.44,66.96,62.91,65.11,64.30,"2,505,100"
51,"Dec 01, 2018",71.15,71.47,62.72,65.95,65.13,"2,419,700"
52,"Nov 01, 2018",61.60,70.68,61.28,70.28,69.41,"2,677,500"
53,"Oct 02, 2018",0.08 Dividend,,,,,
54,"Oct 01, 2018",68.31,68.69,59.00,61.22,60.39,"1,698,900"
55,"Sep 01, 2018",67.50,68.70,66.08,68.05,67.12,"1,373,600"
56,"Aug 01, 2018",62.25,70.20,60.65,67.65,66.73,"2,062,500"
57,"Jul 03, 2018",0.08 Dividend,,,,,
58,"Jul 01, 2018",57.35,63.75,57.00,62.25,61.32,"1,719,100"
59,"Jun 01, 2018",56.60,59.45,56.20,57.70,56.84,"1,537,800"
60,"May 01, 2018",55.60,58.45,54.35,56.10,55.26,"2,188,900"
61,"Apr 02, 2018",0.08 Dividend,,,,,
62,"Apr 01, 2018",58.15,60.25,55.70,55.85,54.94,"1,483,400"
63,"Mar 01, 2018",58.90,63.05,57.15,58.55,57.60,"1,768,700"
64,"Feb 01, 2018",60.80,65.90,58.40,58.90,57.94,"2,200,300"
65,"Jan 03, 2018",0.08 Dividend,,,,,
66,"Jan 01, 2018",60.55,66.80,59.45,61.15,60.07,"2,192,000"
67,"Dec 01, 2017",65.35,65.90,59.70,60.25,59.19,"1,980,500"
68,"Nov 01, 2017",58.35,65.95,51.55,65.35,64.20,"2,451,100"
69,"Oct 02, 2017",0.08 Dividend,,,,,
70,"Oct 01, 2017",59.95,62.05,57.80,57.95,56.85,"1,547,400"
