,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",2.0700,2.1600,1.5500,1.7100,1.7100,"8,363,300"
1,"Jan 01, 2022",2.4800,2.7800,1.8600,2.0900,2.0900,"8,278,600"
2,"Dec 01, 2021",2.9100,2.9600,2.3600,2.5000,2.5000,"10,732,800"
3,"Nov 01, 2021",3.2400,3.6900,2.7200,2.8500,2.8500,"8,292,400"
4,"Oct 01, 2021",3.2900,3.3200,2.8800,3.2600,3.2600,"10,241,500"
5,"Sep 01, 2021",3.3100,3.8100,3.1100,3.2200,3.2200,"18,842,100"
6,"Aug 01, 2021",3.1600,3.3800,2.8000,3.2900,3.2900,"7,394,800"
7,"Jul 01, 2021",3.6000,3.7000,2.9900,3.1100,3.1100,"7,631,300"
8,"Jun 01, 2021",4.0000,4.4900,3.4400,3.5700,3.5700,"17,954,700"
9,"May 01, 2021",4.3600,4.7900,3.4500,4.0300,4.0300,"17,024,100"
10,"Apr 01, 2021",3.6800,6.1000,3.6400,4.3200,4.3200,"74,672,100"
11,"Mar 01, 2021",3.7500,5.0800,3.2700,3.5300,3.5300,"31,904,600"
12,"Feb 01, 2021",3.2000,4.4600,3.2000,3.7200,3.7200,"13,862,200"
13,"Jan 01, 2021",3.2100,3.6900,3.0900,3.1900,3.1900,"11,535,900"
14,"Dec 01, 2020",2.7700,3.6600,2.3600,3.1700,3.1700,"21,748,900"
15,"Nov 01, 2020",2.2200,2.8800,2.1200,2.7500,2.7500,"14,793,400"
16,"Oct 01, 2020",4.0500,4.7700,2.1700,2.2000,2.2000,"34,770,000"
17,"Sep 01, 2020",4.0000,4.7800,3.5700,4.0400,4.0400,"32,528,200"
18,"Aug 01, 2020",2.7700,4.0600,2.6800,3.9600,3.9600,"39,734,500"
19,"Jul 01, 2020",2.6800,3.4500,2.5300,2.7800,2.7800,"14,570,100"
20,"Jun 01, 2020",2.8800,3.2000,2.5000,2.6800,2.6800,"24,347,800"
21,"May 01, 2020",2.0700,3.1000,1.8900,2.9000,2.9000,"15,715,300"
22,"Apr 01, 2020",1.9000,2.4400,1.7400,2.1100,2.1100,"9,557,600"
23,"Mar 01, 2020",2.1900,2.2400,1.0400,1.8900,1.8900,"9,721,100"
24,"Feb 01, 2020",2.2500,3.1100,1.9600,2.1400,2.1400,"8,609,800"
25,"Jan 01, 2020",2.5900,2.9400,2.0200,2.2500,2.2500,"12,142,400"
26,"Dec 01, 2019",2.0800,2.6700,1.6900,2.5700,2.5700,"7,912,400"
27,"Nov 01, 2019",1.4100,2.0600,1.2700,2.0600,2.0600,"6,607,300"
28,"Oct 01, 2019",1.4200,1.5500,1.2000,1.4100,1.4100,"4,140,300"
29,"Sep 01, 2019",1.8000,2.0500,1.3400,1.4100,1.4100,"5,405,500"
30,"Aug 01, 2019",1.3600,1.9700,1.2300,1.8100,1.8100,"9,719,000"
31,"Jul 01, 2019",1.5500,1.7700,1.2100,1.3700,1.3700,"7,156,200"
32,"Jun 01, 2019",1.7300,1.9000,1.4200,1.5000,1.5000,"10,275,300"
33,"May 01, 2019",1.5900,2.0400,1.4800,1.7300,1.7300,"9,447,600"
34,"Apr 01, 2019",1.8100,2.4900,1.3300,1.5900,1.5900,"31,559,200"
35,"Mar 01, 2019",2.1200,2.1900,1.6900,1.7800,1.7800,"8,314,400"
36,"Feb 01, 2019",2.0300,2.5900,1.9600,2.0900,2.0900,"11,054,100"
37,"Jan 01, 2019",0.9200,2.3400,0.8600,2.0700,2.0700,"15,672,800"
38,"Dec 01, 2018",1.2400,1.3500,0.4900,0.8600,0.8600,"10,846,000"
39,"Nov 01, 2018",0.8600,1.7500,0.8500,1.2200,1.2200,"7,599,700"
40,"Oct 01, 2018",1.6000,1.6100,0.8300,0.8300,0.8300,"7,045,200"
41,"Sep 01, 2018",1.9700,1.9700,1.3700,1.6000,1.6000,"5,007,100"
42,"Aug 01, 2018",2.2500,2.7800,1.4100,1.9700,1.9700,"5,429,500"
43,"Jul 01, 2018",3.0800,3.3800,2.1800,2.2300,2.2300,"2,330,500"
44,"Jun 01, 2018",3.4800,3.5700,2.7900,2.9800,2.9800,"2,369,500"
45,"May 01, 2018",4.0100,4.0500,3.0200,3.4500,3.4500,"3,875,100"
46,"Apr 01, 2018",4.5500,5.2200,4.0000,4.0000,4.0000,"2,603,700"
47,"Mar 01, 2018",4.2500,5.5400,4.0600,4.5500,4.5500,"4,508,500"
48,"Feb 01, 2018",3.9100,4.4000,3.3300,4.2600,4.2600,"3,200,400"
49,"Jan 01, 2018",3.9800,4.3600,3.7600,3.9600,3.9600,"2,411,500"
50,"Dec 01, 2017",3.7900,4.2900,3.1400,3.9900,3.9900,"2,546,600"
51,"Nov 01, 2017",3.6500,4.1000,3.4000,3.8500,3.8500,"1,700,500"
52,"Oct 01, 2017",4.4600,4.9100,3.5000,3.7400,3.7400,"2,749,400"
53,"Sep 01, 2017",4.7800,4.9600,4.2500,4.4200,4.4200,"3,000,000"
54,"Aug 01, 2017",4.4600,5.1300,3.7800,4.7500,4.7500,"3,956,600"
55,"Jul 01, 2017",4.7700,5.0700,4.3500,4.4400,4.4400,"3,544,400"
56,"Jun 01, 2017",3.6100,5.0500,3.6100,4.7500,4.7500,"6,242,900"
57,"May 01, 2017",3.6900,4.4200,3.5300,3.6100,3.6100,"5,203,600"
58,"Apr 01, 2017",3.7400,3.8400,3.1300,3.6400,3.6400,"2,739,600"
59,"Mar 01, 2017",3.1800,4.1400,3.1100,3.7000,3.7000,"4,386,000"
60,"Feb 01, 2017",2.4700,3.1400,2.3800,3.0900,3.0900,"2,680,700"
61,"Jan 01, 2017",2.7500,2.9000,2.1900,2.4500,2.4500,"3,474,100"
62,"Dec 01, 2016",2.3900,3.2100,1.8800,2.7000,2.7000,"10,820,000"
63,"Nov 01, 2016",2.4300,2.7900,2.0100,2.3900,2.3900,"1,913,800"
64,"Oct 01, 2016",2.9900,3.0600,2.2900,2.3800,2.3800,"1,600,800"
65,"Sep 01, 2016",2.7600,3.1200,2.2500,2.9700,2.9700,"2,174,800"
66,"Aug 01, 2016",3.0000,3.0400,2.7100,2.7300,2.7300,"1,714,000"
67,"Jul 01, 2016",2.7600,3.2000,2.5800,3.0300,3.0300,"1,829,200"
68,"Jun 01, 2016",2.7900,3.1300,2.4000,2.6900,2.6900,"5,290,700"
69,"May 01, 2016",3.4700,3.6400,2.6800,2.8200,2.8200,"2,734,400"
70,"Apr 01, 2016",3.0700,4.6600,3.0700,3.4900,3.4900,"4,050,000"
71,"Mar 01, 2016",2.8300,3.3800,2.7700,3.1000,3.1000,"2,442,700"
72,"Feb 01, 2016",2.4300,3.2200,2.3700,2.8400,2.8400,"1,603,200"
73,"Jan 01, 2016",2.7400,2.9500,2.1000,2.4800,2.4800,"2,186,700"
74,"Dec 01, 2015",3.0000,3.3500,2.2200,2.7900,2.7900,"2,864,400"
75,"Nov 01, 2015",2.8000,3.3000,2.7600,2.9900,2.9900,"2,080,700"
76,"Oct 01, 2015",2.6000,3.0200,2.3200,2.8400,2.8400,"2,064,300"
77,"Sep 01, 2015",2.6900,3.3200,2.3500,2.6000,2.6000,"2,871,400"
78,"Aug 01, 2015",3.4400,3.5000,2.0100,2.7500,2.7500,"3,956,600"
79,"Jul 01, 2015",3.4600,4.0000,3.2600,3.3700,3.3700,"5,069,700"
80,"Jun 01, 2015",2.9100,4.0800,2.5300,3.3600,3.3600,"7,448,700"
81,"May 01, 2015",3.0500,3.2300,2.8200,2.9400,2.9400,"3,634,400"
82,"Apr 01, 2015",3.7500,4.5400,2.8100,3.1000,3.1000,"12,837,400"
83,"Mar 01, 2015",2.6100,5.3500,2.5400,3.8500,3.8500,"47,970,700"
84,"Feb 01, 2015",2.4600,2.8800,2.0800,2.5700,2.5700,"4,242,900"
85,"Jan 01, 2015",2.4700,2.6700,2.2500,2.5000,2.5000,"3,426,100"
86,"Dec 01, 2014",2.3600,2.5800,1.8800,2.4400,2.4400,"7,252,000"
87,"Nov 01, 2014",1.5100,2.5600,1.5000,2.3300,2.3300,"4,987,300"
88,"Oct 01, 2014",2.1000,2.1000,1.7000,1.7400,1.7400,"1,937,100"
89,"Sep 01, 2014",2.1200,2.2300,1.6700,2.1000,2.1000,"4,900,600"
90,"Aug 01, 2014",1.5700,2.2500,1.4500,2.1000,2.1000,"5,384,700"
91,"Jul 01, 2014",1.7000,1.8000,1.4800,1.5600,1.5600,"4,980,400"
92,"Jun 01, 2014",1.8000,1.8500,1.6300,1.7200,1.7200,"9,045,900"
93,"May 01, 2014",1.7500,1.8900,1.5300,1.8000,1.8000,"5,155,000"
94,"Apr 01, 2014",1.9900,2.1000,1.6100,1.7400,1.7400,"7,579,400"
95,"Mar 01, 2014",2.8000,2.8200,1.9300,1.9800,1.9800,"14,361,700"
96,"Feb 01, 2014",2.7200,2.9800,2.4200,2.8400,2.8400,"14,534,800"
97,"Jan 01, 2014",2.6400,3.3100,2.5000,2.7200,2.7200,"35,318,400"
98,"Dec 01, 2013",1.6600,3.1500,1.6000,2.6300,2.6300,"60,334,300"
99,"Nov 01, 2013",1.7000,1.8600,1.2500,1.6400,1.6400,"28,221,200"
100,"Oct 01, 2013",7.0400,8.6500,1.6000,1.6700,1.6700,"51,381,700"
101,"Sep 01, 2013",8.2700,8.8400,6.6100,7.0100,7.0100,"9,715,600"
102,"Aug 01, 2013",7.8900,10.2000,7.1400,8.1500,8.1500,"12,926,700"
103,"Jul 01, 2013",8.6400,8.9400,7.3800,7.8300,7.8300,"9,447,400"
104,"Jun 01, 2013",9.8900,9.9400,7.3200,8.6000,8.6000,"8,966,600"
105,"May 01, 2013",11.2000,11.2800,9.1700,9.8800,9.8800,"6,558,300"
