,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",7.30,12.80,7.30,9.31,9.31,"809,400"
1,"Jan 01, 2022",8.83,9.53,5.90,7.84,7.84,"770,900"
2,"Dec 01, 2021",11.57,15.52,8.86,8.86,8.86,"4,505,500"
3,"Nov 01, 2021",7.53,11.63,7.52,11.62,11.62,"5,927,800"
4,"Oct 01, 2021",8.66,10.49,7.33,7.53,7.53,"9,250,500"
5,"Sep 01, 2021",6.22,25.25,5.70,8.66,8.66,"102,785,300"
6,"Aug 01, 2021",6.50,6.93,4.61,5.10,5.10,"1,447,800"
7,"Jul 01, 2021",6.20,6.20,4.49,6.00,6.00,"2,500"
8,"Jun 01, 2021",6.20,6.20,6.20,6.20,6.20,-
9,"May 01, 2021",7.00,7.00,6.00,6.20,6.20,900
10,"Apr 01, 2021",4.25,10.00,4.25,8.00,8.00,"4,900"
11,"Mar 01, 2021",4.25,4.25,4.25,4.25,4.25,"5,200"
12,"Feb 01, 2021",4.00,4.25,3.56,4.25,4.25,"3,300"
13,"Jan 01, 2021",3.65,4.12,3.65,4.00,4.00,"13,100"
14,"Dec 01, 2020",3.00,3.50,3.00,3.50,3.50,"6,300"
15,"Nov 01, 2020",2.00,3.00,0.20,3.00,3.00,"1,200"
16,"Oct 01, 2020",3.50,3.50,3.00,3.00,3.00,200
17,"Sep 01, 2020",3.50,3.50,3.50,3.50,3.50,-
18,"Aug 01, 2020",3.60,3.60,3.50,3.50,3.50,100
19,"Jul 01, 2020",3.67,3.67,1.50,3.60,3.60,"1,900"
20,"Jun 01, 2020",4.50,4.50,3.60,3.67,3.67,800
21,"May 01, 2020",4.50,4.50,4.50,4.50,4.50,-
22,"Apr 01, 2020",4.60,4.60,4.00,4.50,4.50,"3,000"
23,"Mar 01, 2020",4.60,4.60,4.60,4.60,4.60,-
24,"Feb 01, 2020",2.50,4.60,2.50,4.60,4.60,800
25,"Jan 01, 2020",5.00,5.00,2.50,2.50,2.50,300
26,"Dec 01, 2019",5.00,5.00,5.00,5.00,5.00,-
27,"Nov 01, 2019",5.00,5.00,5.00,5.00,5.00,-
28,"Oct 01, 2019",5.00,5.00,5.00,5.00,5.00,-
29,"Sep 01, 2019",5.00,5.00,5.00,5.00,5.00,-
30,"Aug 01, 2019",6.70,12.27,5.00,5.00,5.00,600
31,"Jul 01, 2019",5.29,5.70,4.30,5.70,5.70,"4,700"
32,"Jun 01, 2019",5.30,5.30,5.29,5.29,5.29,"1,400"
33,"May 01, 2019",5.30,5.30,0.53,5.30,5.30,"2,000"
34,"Apr 01, 2019",7.40,7.40,5.30,5.30,5.30,500
35,"Mar 01, 2019",7.40,7.40,7.40,7.40,7.40,-
36,"Feb 01, 2019",7.40,7.40,7.40,7.40,7.40,-
37,"Jan 01, 2019",7.40,7.40,7.40,7.40,7.40,-
38,"Dec 01, 2018",7.45,7.45,7.40,7.40,7.40,"1,400"
39,"Nov 01, 2018",7.05,7.49,6.36,7.40,7.40,"15,600"
40,"Oct 01, 2018",6.55,7.05,6.00,7.00,7.00,"18,600"
41,"Sep 01, 2018",6.00,8.00,6.00,7.00,7.00,"10,400"
42,"Aug 01, 2018",8.50,8.75,5.00,6.00,6.00,"5,900"
43,"Jul 01, 2018",9.00,9.00,7.00,8.49,8.49,"1,600"
44,"Jun 01, 2018",3.00,9.00,3.00,9.00,9.00,"2,600"
45,"May 01, 2018",2.49,4.00,2.49,3.00,3.00,400
46,"Apr 01, 2018",2.49,2.49,2.49,2.49,2.49,-
47,"Mar 01, 2018",2.49,2.50,1.50,2.49,2.49,400
48,"Feb 01, 2018",2.49,2.49,2.49,2.49,2.49,-
49,"Jan 01, 2018",2.49,2.49,2.49,2.49,2.49,-
50,"Dec 01, 2017",2.00,2.49,2.00,2.49,2.49,"1,400"
51,"Nov 01, 2017",2.00,2.00,2.00,2.00,2.00,-
52,"Oct 01, 2017",0.25,2.00,0.25,2.00,2.00,200
53,"Sep 01, 2017",1.15,2.00,0.25,0.25,0.25,"2,800"
54,"Aug 01, 2017",1.50,1.50,1.50,1.50,1.50,-
55,"Jul 01, 2017",1.50,1.50,1.50,1.50,1.50,-
56,"Jun 01, 2017",1.50,1.50,1.50,1.50,1.50,-
57,"May 01, 2017",1.50,1.50,1.50,1.50,1.50,-
58,"Apr 01, 2017",1.50,1.50,1.50,1.50,1.50,-
59,"Mar 01, 2017",1.50,1.50,1.50,1.50,1.50,-
