,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",50.20,51.40,43.99,47.71,47.71,"44,362,500"
1,"Jan 01, 2022",52.26,56.44,48.19,50.35,50.35,"45,978,100"
2,"Dec 16, 2021",0.44 Dividend,,,,,
3,"Dec 01, 2021",49.79,53.00,48.47,52.18,51.73,"39,295,300"
4,"Nov 01, 2021",48.21,52.93,47.51,48.91,48.49,"32,367,000"
5,"Oct 01, 2021",45.26,50.60,44.51,47.91,47.50,"24,262,000"
6,"Sep 15, 2021",0.4 Dividend,,,,,
7,"Sep 01, 2021",48.87,49.08,44.21,45.34,44.56,"32,837,100"
8,"Aug 01, 2021",44.95,49.55,43.25,48.83,47.99,"28,262,800"
9,"Jul 01, 2021",43.53,45.39,41.72,44.61,43.84,"33,146,000"
10,"Jun 15, 2021",0.36 Dividend,,,,,
11,"Jun 01, 2021",47.43,47.98,43.32,43.46,42.39,"31,796,200"
12,"May 01, 2021",46.21,47.95,44.57,46.99,45.83,"26,361,800"
13,"Apr 01, 2021",40.94,46.67,40.70,45.62,44.49,"35,290,900"
14,"Mar 16, 2021",0.36 Dividend,,,,,
15,"Mar 01, 2021",38.85,42.64,35.72,40.66,39.32,"60,713,500"
16,"Feb 01, 2021",36.66,41.87,36.40,38.28,37.02,"37,848,100"
17,"Jan 01, 2021",39.12,40.69,35.91,36.30,35.10,"32,727,300"
18,"Dec 16, 2020",0.36 Dividend,,,,,
19,"Dec 01, 2020",36.75,39.92,35.73,39.09,37.44,"42,031,700"
20,"Nov 01, 2020",31.80,37.35,31.55,35.99,34.48,"43,355,500"
21,"Oct 01, 2020",31.35,34.15,29.82,31.29,29.97,"31,415,600"
22,"Sep 15, 2020",0.33 Dividend,,,,,
23,"Sep 01, 2020",32.77,34.35,30.69,31.31,29.70,"41,806,500"
24,"Aug 01, 2020",32.40,36.59,31.77,32.83,31.14,"34,361,800"
25,"Jul 01, 2020",30.75,34.06,29.29,32.36,30.69,"37,614,700"
26,"Jun 15, 2020",0.33 Dividend,,,,,
27,"Jun 01, 2020",31.81,35.97,29.88,30.66,28.78,"79,805,800"
28,"May 01, 2020",26.58,32.59,23.58,31.90,29.94,"77,988,000"
29,"Apr 01, 2020",23.83,30.26,23.12,27.05,25.39,"72,793,400"
30,"Mar 16, 2020",0.33 Dividend,,,,,
31,"Mar 01, 2020",38.90,43.52,19.00,24.88,23.13,"79,510,800"
32,"Feb 01, 2020",48.93,49.28,37.84,38.76,36.03,"61,297,600"
33,"Jan 01, 2020",45.46,49.24,44.60,48.75,45.32,"24,397,200"
34,"Dec 16, 2019",0.33 Dividend,,,,,
35,"Dec 01, 2019",47.60,47.91,44.68,45.35,41.86,"23,747,900"
36,"Nov 14, 2019",0.33 Dividend,,,,,
37,"Nov 01, 2019",46.16,48.40,45.98,47.63,43.66,"31,306,100"
38,"Oct 01, 2019",44.52,46.61,43.41,45.84,42.02,"29,817,900"
39,"Sep 13, 2019",0.31 Dividend,,,,,
40,"Sep 01, 2019",43.74,45.40,42.95,44.41,40.42,"25,817,300"
41,"Aug 01, 2019",42.96,44.79,42.02,43.94,39.99,"23,094,400"
42,"Jul 01, 2019",40.50,43.59,40.31,42.88,39.03,"29,473,900"
43,"Jun 13, 2019",0.31 Dividend,,,,,
44,"Jun 01, 2019",38.69,41.23,38.54,40.30,36.39,"19,558,700"
45,"May 01, 2019",39.89,40.11,38.01,38.55,34.81,"20,400,300"
