,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",32.65,33.41,31.16,32.25,32.25,"69,652"
1,"Jan 10, 2022",0.15 Dividend,,,,,
2,"Jan 01, 2022",32.54,34.86,31.45,32.60,32.45,"210,906"
3,"Dec 01, 2021",30.65,32.99,30.48,32.51,32.36,"83,081"
4,"Nov 01, 2021",24.08,33.69,24.00,31.38,31.24,"289,219"
5,"Oct 08, 2021",0.15 Dividend,,,,,
6,"Oct 01, 2021",24.06,24.10,23.52,23.85,23.59,"50,188"
7,"Sep 01, 2021",24.37,24.47,23.39,24.05,23.79,"46,553"
8,"Aug 01, 2021",24.17,25.00,24.17,24.37,24.11,"27,632"
9,"Jul 02, 2021",0.15 Dividend,,,,,
10,"Jul 01, 2021",24.51,24.51,23.00,24.17,23.76,"27,019"
11,"Jun 01, 2021",24.12,24.83,23.00,24.42,24.01,"74,846"
12,"May 01, 2021",24.72,25.45,21.15,24.24,23.83,"137,579"
13,"Apr 01, 2021",0.15 Dividend,,,,,
14,"Apr 01, 2021",19.40,26.99,19.25,24.10,23.51,"241,473"
15,"Mar 01, 2021",18.56,20.25,18.56,19.35,18.88,"76,397"
16,"Feb 01, 2021",17.77,21.25,17.29,18.44,17.99,"71,820"
17,"Jan 04, 2021",0.15 Dividend,,,,,
18,"Jan 01, 2021",17.46,19.19,16.85,17.43,16.86,"22,434"
19,"Dec 01, 2020",15.56,19.76,15.56,17.46,16.89,"39,951"
20,"Nov 01, 2020",14.14,16.99,14.14,15.56,15.05,"41,047"
21,"Oct 05, 2020",0.15 Dividend,,,,,
22,"Oct 01, 2020",13.87,15.83,13.85,14.10,13.49,"25,571"
23,"Sep 01, 2020",13.90,14.97,13.80,14.01,13.41,"14,509"
24,"Aug 01, 2020",14.75,15.30,13.35,13.60,13.01,"28,663"
25,"Jul 06, 2020",0.15 Dividend,,,,,
26,"Jul 01, 2020",15.69,15.79,13.96,15.79,14.96,"21,294"
27,"Jun 01, 2020",14.30,16.95,13.92,15.25,14.45,"34,481"
28,"May 01, 2020",15.70,16.00,13.49,13.85,13.12,"147,670"
29,"Apr 06, 2020",0.15 Dividend,,,,,
30,"Apr 01, 2020",14.70,16.00,12.70,16.00,14.98,"55,503"
31,"Mar 01, 2020",23.89,24.35,13.50,14.88,13.93,"74,463"
32,"Feb 01, 2020",23.75,24.36,23.50,23.58,22.08,"29,027"
33,"Jan 03, 2020",0.15 Dividend,,,,,
34,"Jan 01, 2020",25.20,25.21,23.57,23.81,22.16,"28,708"
35,"Dec 01, 2019",24.61,26.93,24.55,25.20,23.45,"90,486"
36,"Nov 01, 2019",24.27,24.97,23.31,24.50,22.80,"55,406"
37,"Oct 07, 2019",0.13 Dividend,,,,,
38,"Oct 01, 2019",24.35,25.00,21.89,24.33,22.52,"43,227"
39,"Sep 01, 2019",23.95,24.75,23.29,24.30,22.49,"70,720"
40,"Aug 01, 2019",23.78,24.05,23.27,23.95,22.17,"97,938"
41,"Jul 05, 2019",0.13 Dividend,,,,,
42,"Jul 01, 2019",23.50,24.50,23.07,23.60,21.72,"89,092"
43,"Jun 01, 2019",22.79,23.50,22.37,23.25,21.40,"43,226"
44,"May 01, 2019",23.00,23.90,22.05,22.64,20.84,"37,727"
45,"Apr 08, 2019",0.13 Dividend,,,,,
46,"Apr 01, 2019",22.44,23.94,22.36,22.57,20.66,"37,618"
