,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",25.92,26.00,25.04,25.55,25.55,"108,407"
1,"Jan 13, 2022",0.46875 Dividend,,,,,
2,"Jan 01, 2022",26.22,26.75,25.60,25.87,25.41,"89,080"
3,"Dec 01, 2021",25.74,26.58,25.56,26.50,26.03,"115,142"
4,"Nov 01, 2021",26.41,26.58,25.50,25.65,25.19,"54,284"
5,"Oct 14, 2021",0.46875 Dividend,,,,,
6,"Oct 01, 2021",26.70,26.92,26.03,26.24,25.32,"79,619"
7,"Sep 01, 2021",26.75,26.80,26.34,26.69,25.75,"261,954"
8,"Aug 01, 2021",26.49,26.80,26.30,26.60,25.67,"88,332"
9,"Jul 14, 2021",0.46875 Dividend,,,,,
10,"Jul 01, 2021",27.10,27.15,26.05,26.40,25.03,"75,181"
11,"Jun 01, 2021",26.50,27.23,26.32,26.77,25.38,"110,186"
12,"May 01, 2021",26.44,26.87,26.35,26.55,25.17,"77,795"
13,"Apr 14, 2021",0.46875 Dividend,,,,,
14,"Apr 01, 2021",26.66,26.90,26.10,26.47,24.65,"203,641"
15,"Mar 01, 2021",26.25,26.78,26.15,26.53,24.71,"176,381"
16,"Feb 01, 2021",25.84,26.87,25.84,26.30,24.49,"140,784"
17,"Jan 14, 2021",0.46875 Dividend,,,,,
18,"Jan 01, 2021",26.88,27.15,25.67,25.84,23.64,"204,057"
19,"Dec 01, 2020",26.30,27.15,26.12,26.88,24.59,"150,596"
20,"Nov 01, 2020",25.94,28.10,25.71,26.16,23.93,"106,210"
21,"Oct 14, 2020",0.46875 Dividend,,,,,
22,"Oct 01, 2020",26.40,26.60,25.55,25.70,23.09,"393,573"
23,"Sep 01, 2020",26.08,26.40,25.60,26.40,23.72,"252,763"
24,"Aug 01, 2020",25.25,26.38,25.15,26.00,23.36,"174,020"
25,"Jul 14, 2020",0.46875 Dividend,,,,,
26,"Jul 01, 2020",25.48,25.82,25.01,25.24,22.27,"128,283"
27,"Jun 01, 2020",25.16,26.00,24.62,25.38,22.39,"203,739"
28,"May 01, 2020",24.70,26.28,24.22,25.00,22.05,"312,554"
29,"Apr 14, 2020",0.46875 Dividend,,,,,
30,"Apr 01, 2020",22.85,25.02,21.10,24.66,21.34,"319,659"
31,"Mar 01, 2020",26.40,27.18,15.82,22.85,19.77,"278,856"
32,"Feb 01, 2020",26.73,27.03,25.53,26.16,22.64,"162,262"
33,"Jan 14, 2020",0.46875 Dividend,,,,,
34,"Jan 01, 2020",26.95,27.64,26.50,26.70,22.71,"103,261"
35,"Dec 01, 2019",26.59,27.00,26.29,26.95,22.92,"89,841"
36,"Nov 01, 2019",26.61,26.85,26.03,26.33,22.40,"136,410"
37,"Oct 11, 2019",0.46875 Dividend,,,,,
38,"Oct 01, 2019",26.56,27.95,26.03,26.35,22.02,"133,504"
39,"Sep 01, 2019",26.63,26.97,26.19,26.58,22.22,"129,367"
40,"Aug 01, 2019",25.60,26.73,25.35,26.63,22.25,"185,161"
41,"Jul 12, 2019",0.46875 Dividend,,,,,
42,"Jul 01, 2019",26.25,26.44,25.52,25.86,21.23,"223,027"
43,"Jun 01, 2019",26.11,26.56,25.77,26.22,21.52,"143,000"
44,"May 01, 2019",25.63,26.19,25.53,26.08,21.41,"98,291"
45,"Apr 12, 2019",0.46875 Dividend,,,,,
46,"Apr 01, 2019",25.64,26.00,25.06,25.65,20.67,"149,659"
47,"Mar 01, 2019",25.20,25.68,25.15,25.51,20.56,"83,159"
48,"Feb 01, 2019",24.85,25.49,24.50,25.20,20.31,"276,086"
49,"Jan 14, 2019",0.46875 Dividend,,,,,
50,"Jan 01, 2019",24.48,25.54,23.76,24.80,19.61,"122,367"
51,"Dec 01, 2018",24.75,24.89,22.03,24.48,19.36,"69,297"
52,"Nov 01, 2018",24.83,24.88,23.61,24.68,19.52,"82,287"
53,"Oct 12, 2018",0.46875 Dividend,,,,,
54,"Oct 01, 2018",25.37,25.65,24.47,24.78,19.23,"70,303"
55,"Sep 01, 2018",25.30,25.87,24.97,25.10,19.48,"57,177"
56,"Aug 01, 2018",24.79,25.46,24.71,25.30,19.64,"52,901"
57,"Jul 12, 2018",0.46875 Dividend,,,,,
58,"Jul 01, 2018",24.90,25.50,24.64,24.83,18.91,"51,722"
59,"Jun 01, 2018",24.74,25.00,24.45,24.83,18.91,"75,190"
60,"May 01, 2018",24.60,24.90,24.12,24.70,18.81,"72,024"
61,"Apr 12, 2018",0.46875 Dividend,,,,,
62,"Apr 01, 2018",24.65,25.05,23.99,24.55,18.34,"56,129"
63,"Mar 01, 2018",24.50,24.77,24.10,24.61,18.39,"112,582"
64,"Feb 01, 2018",24.60,24.77,23.50,24.47,18.29,"100,579"
65,"Jan 11, 2018",0.46875 Dividend,,,,,
66,"Jan 01, 2018",25.32,25.74,23.52,24.44,17.92,"187,013"
67,"Dec 01, 2017",25.50,25.82,25.14,25.32,18.57,"236,222"
68,"Nov 01, 2017",25.05,25.50,24.83,25.50,18.70,"282,020"
69,"Oct 12, 2017",0.2396 Dividend,,,,,
70,"Oct 01, 2017",25.04,25.24,24.82,25.03,18.18,"465,797"
71,"Sep 01, 2017",24.85,25.10,24.65,25.08,18.22,"1,182,495"
