,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 18, 2022",0.075 Dividend,,,,,
1,"Feb 01, 2022",4.95,6.31,4.95,6.01,5.94,"530,900"
2,"Jan 01, 2022",5.53,5.70,4.83,5.03,4.97,"472,600"
3,"Dec 01, 2021",5.11,5.73,5.02,5.57,5.50,"1,831,600"
4,"Nov 01, 2021",5.01,5.65,4.74,5.15,5.09,"1,108,500"
5,"Oct 01, 2021",6.40,6.68,4.91,4.95,4.89,"1,287,100"
6,"Sep 01, 2021",6.76,6.90,6.29,6.53,6.45,"744,300"
7,"Aug 01, 2021",5.88,6.77,5.78,6.76,6.68,"1,287,600"
8,"Jul 01, 2021",6.36,6.40,5.51,5.89,5.82,"1,243,100"
9,"Jun 01, 2021",6.18,6.57,5.55,6.32,6.24,"4,577,900"
10,"May 01, 2021",5.69,6.95,5.51,6.10,6.03,"2,121,300"
11,"Apr 01, 2021",6.41,6.68,5.57,5.60,5.53,"1,930,600"
12,"Mar 01, 2021",7.69,8.10,6.34,6.34,6.26,"2,625,400"
13,"Feb 01, 2021",7.45,8.50,7.30,7.55,7.46,"1,884,200"
14,"Jan 01, 2021",7.22,8.25,7.09,7.38,7.29,"1,645,400"
15,"Dec 03, 2020",0.085 Dividend,,,,,
16,"Dec 01, 2020",8.30,8.50,7.08,7.21,7.05,"2,036,800"
17,"Nov 01, 2020",8.29,9.60,8.29,8.30,8.11,"815,300"
18,"Oct 01, 2020",8.00,9.50,7.75,8.29,8.10,"1,449,300"
19,"Sep 01, 2020",8.79,9.25,7.87,8.00,7.82,"1,408,100"
20,"Aug 17, 2020",0.085 Dividend,,,,,
21,"Aug 01, 2020",8.09,9.40,7.91,8.84,8.56,"1,197,200"
22,"Jul 01, 2020",7.28,8.49,7.26,8.13,7.87,"1,627,700"
23,"Jun 01, 2020",8.65,8.71,6.98,7.36,7.13,"3,471,800"
24,"May 18, 2020",0.085 Dividend,,,,,
25,"May 01, 2020",7.68,8.70,7.27,8.61,8.25,"2,947,500"
26,"Apr 01, 2020",6.92,8.44,6.57,7.88,7.55,"3,082,700"
27,"Mar 23, 2020",0.075 Dividend,,,,,
28,"Mar 01, 2020",6.96,7.52,4.60,7.18,6.80,"3,148,400"
29,"Feb 01, 2020",7.22,8.39,6.80,6.92,6.56,"1,532,600"
30,"Jan 01, 2020",7.81,7.81,7.21,7.23,6.85,"1,664,900"
31,"Dec 01, 2019",8.10,8.54,7.70,7.73,7.32,"2,386,300"
32,"Nov 15, 2019",0.075 Dividend,,,,,
33,"Nov 01, 2019",7.46,8.48,6.82,8.09,7.59,"3,369,800"
34,"Oct 01, 2019",7.49,7.82,7.20,7.45,6.99,"3,366,800"
35,"Sep 01, 2019",7.07,7.74,6.80,7.46,7.00,"3,717,600"
36,"Aug 15, 2019",0.075 Dividend,,,,,
37,"Aug 01, 2019",11.07,11.16,6.54,7.16,6.65,"6,126,600"
38,"Jul 01, 2019",10.70,11.98,10.37,11.02,10.24,"6,385,300"
39,"Jun 01, 2019",9.39,11.00,9.12,10.65,9.89,"6,394,700"
40,"May 17, 2019",0.075 Dividend,,,,,
41,"May 01, 2019",8.78,10.25,8.42,9.34,8.61,"4,643,100"
42,"Apr 01, 2019",8.50,8.69,8.06,8.69,8.01,"1,973,700"
43,"Mar 22, 2019",0.075 Dividend,,,,,
44,"Mar 01, 2019",9.08,9.20,7.81,8.50,7.77,"4,414,000"
45,"Feb 01, 2019",8.45,9.32,7.64,9.08,8.30,"3,275,500"
46,"Jan 01, 2019",6.01,10.55,6.00,8.42,7.69,"6,626,700"
47,"Dec 01, 2018",6.60,8.83,5.70,6.03,5.51,"3,083,400"
48,"Nov 16, 2018",0.075 Dividend,,,,,
49,"Nov 01, 2018",5.40,7.00,5.24,6.38,5.76,"1,291,600"
50,"Oct 01, 2018",5.42,6.17,5.08,5.30,4.79,"1,049,900"
51,"Sep 01, 2018",5.40,5.65,5.21,5.40,4.88,"776,400"
52,"Aug 14, 2018",0.075 Dividend,,,,,
53,"Aug 01, 2018",5.19,5.85,5.08,5.41,4.82,"1,215,700"
54,"Jul 01, 2018",4.95,6.36,4.95,5.20,4.63,"2,265,800"
55,"Jun 01, 2018",5.59,5.64,4.81,4.96,4.42,"2,711,100"
56,"May 14, 2018",0.075 Dividend,,,,,
57,"May 01, 2018",4.09,5.83,4.05,5.58,4.90,"1,525,700"
58,"Apr 01, 2018",4.97,4.99,3.82,4.16,3.65,"1,241,400"
59,"Mar 16, 2018",0.075 Dividend,,,,,
60,"Mar 01, 2018",4.44,5.29,4.42,4.99,4.31,"986,000"
61,"Feb 01, 2018",4.30,4.75,4.09,4.45,3.85,"1,340,000"
62,"Jan 01, 2018",4.44,4.82,4.28,4.37,3.78,"1,599,300"
63,"Dec 01, 2017",4.33,4.98,4.18,4.36,3.77,"2,177,600"
64,"Nov 10, 2017",0.075 Dividend,,,,,
65,"Nov 01, 2017",5.80,5.95,4.25,4.33,3.69,"2,152,700"
66,"Oct 01, 2017",6.61,6.93,5.35,5.72,4.88,"666,800"
67,"Sep 01, 2017",6.12,7.17,5.90,6.55,5.59,"652,600"
68,"Aug 11, 2017",0.075 Dividend,,,,,
69,"Aug 01, 2017",6.57,6.75,5.65,6.15,5.18,"947,400"
70,"Jul 01, 2017",7.61,7.61,6.35,6.63,5.58,"920,800"
71,"Jun 01, 2017",7.71,8.01,7.04,7.62,6.42,"1,227,900"
72,"May 11, 2017",0.075 Dividend,,,,,
73,"May 01, 2017",7.99,8.10,7.12,7.69,6.41,"1,583,000"
74,"Apr 01, 2017",7.23,8.31,6.97,7.95,6.63,"1,988,000"
75,"Mar 16, 2017",0.075 Dividend,,,,,
76,"Mar 01, 2017",5.46,7.35,5.25,7.24,5.96,"1,973,500"
77,"Feb 01, 2017",5.76,6.06,5.41,5.45,4.49,"460,200"
78,"Jan 01, 2017",5.85,6.20,5.62,5.77,4.75,"402,600"
79,"Dec 01, 2016",5.75,6.27,5.29,5.75,4.74,"803,000"
80,"Nov 17, 2016",0.06 Dividend,,,,,
81,"Nov 01, 2016",5.15,6.60,5.07,5.75,4.69,"824,600"
82,"Oct 01, 2016",5.91,5.93,5.16,5.21,4.25,"675,300"
83,"Sep 01, 2016",6.38,6.43,5.69,5.90,4.81,"935,700"
84,"Aug 15, 2016",0.06 Dividend,,,,,
85,"Aug 01, 2016",6.42,7.49,5.98,6.38,5.16,"1,092,200"
86,"Jul 01, 2016",6.79,7.16,6.16,6.42,5.19,"1,124,500"
87,"Jun 01, 2016",7.44,7.91,6.38,6.77,5.47,"1,463,700"
88,"May 12, 2016",0.06 Dividend,,,,,
89,"May 01, 2016",7.42,8.17,6.39,7.56,6.06,"1,320,700"
90,"Apr 01, 2016",7.51,8.48,6.32,7.37,5.91,"2,241,300"
91,"Mar 01, 2016",9.19,10.57,7.50,7.61,6.10,"1,664,300"
92,"Feb 03, 2016",0.06 Dividend,,,,,
93,"Feb 01, 2016",8.40,9.90,7.94,9.27,7.38,"1,170,600"
94,"Jan 01, 2016",10.95,11.02,7.00,8.41,6.70,"1,550,100"
95,"Dec 01, 2015",11.50,11.75,8.89,11.15,8.88,"2,084,800"
96,"Nov 01, 2015",11.40,12.74,10.90,11.43,9.10,"1,662,200"
97,"Oct 01, 2015",8.16,14.97,8.00,11.34,9.03,"3,782,500"
98,"Sep 01, 2015",10.39,10.89,8.06,8.23,6.55,"1,295,900"
99,"Aug 01, 2015",10.39,11.00,8.34,10.70,8.52,"1,867,400"
100,"Jul 01, 2015",10.49,11.40,9.30,10.35,8.24,"2,621,600"
101,"Jun 01, 2015",12.50,12.90,10.10,10.47,8.34,"3,973,100"
102,"May 13, 2015",0.06 Dividend,,,,,
103,"May 01, 2015",14.23,14.23,11.04,12.54,9.94,"3,212,000"
104,"Apr 01, 2015",7.96,14.25,7.85,14.24,11.28,"2,228,300"
105,"Mar 19, 2015",0.06 Dividend,,,,,
106,"Mar 01, 2015",7.35,8.06,7.02,7.95,6.25,"720,700"
107,"Feb 01, 2015",6.27,7.45,6.20,7.29,5.73,"439,800"
108,"Jan 01, 2015",6.15,6.37,5.33,6.27,4.93,"525,200"
