,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",5.4800,6.1000,4.2700,5.0400,5.0400,"20,463,800"
1,"Jan 01, 2022",12.9000,13.0100,4.5900,5.4600,5.4600,"61,067,900"
2,"Dec 01, 2021",13.1900,14.4200,10.4500,12.8600,12.8600,"39,324,400"
3,"Nov 01, 2021",11.1400,13.8800,9.4700,13.2000,13.2000,"27,090,000"
4,"Oct 01, 2021",10.6800,11.2300,8.5300,10.9900,10.9900,"18,740,000"
5,"Sep 01, 2021",9.1800,14.3600,9.1500,10.8000,10.8000,"29,155,700"
6,"Aug 01, 2021",6.8500,9.4000,6.2300,9.2000,9.2000,"19,240,100"
7,"Jul 01, 2021",9.1600,9.2100,6.4500,6.6800,6.6800,"10,212,700"
8,"Jun 01, 2021",9.2800,10.6300,8.8200,9.1300,9.1300,"11,606,700"
9,"May 01, 2021",9.4700,9.7600,7.6300,9.2000,9.2000,"8,907,300"
10,"Apr 01, 2021",9.7800,10.7000,8.1700,9.0500,9.0500,"19,847,700"
11,"Mar 01, 2021",13.6100,16.0000,8.4700,9.4300,9.4300,"19,637,600"
12,"Feb 01, 2021",21.9000,22.0400,12.2000,13.5700,13.5700,"22,971,400"
13,"Jan 01, 2021",3.9500,35.2000,3.8200,18.1000,18.1000,"162,691,900"
14,"Dec 01, 2020",3.0900,4.4800,2.8600,3.9400,3.9400,"9,635,000"
15,"Nov 01, 2020",2.7500,3.4600,2.5400,3.0500,3.0500,"5,875,000"
16,"Oct 01, 2020",2.6700,3.1000,2.6000,2.7300,2.7300,"4,784,300"
17,"Sep 01, 2020",3.3000,3.4300,2.6300,2.6500,2.6500,"8,490,300"
18,"Aug 01, 2020",3.2300,3.8200,3.1600,3.3100,3.3100,"9,056,600"
19,"Jul 01, 2020",6.7000,8.1500,3.1800,3.2100,3.2100,"32,340,200"
20,"Jun 01, 2020",6.4000,7.1700,6.0500,6.6400,6.6400,"8,122,100"
21,"May 01, 2020",6.7800,7.3400,6.0600,6.4600,6.4600,"3,797,100"
22,"Apr 01, 2020",5.5700,8.3300,5.4500,7.0100,7.0100,"2,653,700"
23,"Mar 01, 2020",8.3600,9.5000,5.4200,5.8200,5.8200,"3,903,100"
24,"Feb 01, 2020",8.8500,10.5200,8.0000,8.4000,8.4000,"2,091,300"
25,"Jan 01, 2020",9.0600,12.2000,7.5100,8.8600,8.8600,"3,901,100"
26,"Dec 01, 2019",8.6100,12.9600,7.4000,8.9700,8.9700,"5,053,000"
27,"Nov 01, 2019",8.0600,9.1300,7.0000,8.7100,8.7100,"2,055,800"
28,"Oct 01, 2019",8.5800,9.6500,7.0000,8.1100,8.1100,"2,453,300"
29,"Sep 01, 2019",10.0300,11.1300,8.2500,8.6400,8.6400,"2,691,100"
30,"Aug 01, 2019",10.4000,11.0500,8.9000,10.1200,10.1200,"2,741,100"
31,"Jul 01, 2019",11.1600,12.5900,9.6100,10.5000,10.5000,"2,922,400"
32,"Jun 01, 2019",9.3200,11.4400,8.7500,11.1400,11.1400,"4,982,600"
33,"May 01, 2019",10.5200,11.6100,8.9500,9.3100,9.3100,"5,939,600"
34,"Apr 01, 2019",13.4800,15.9400,10.3600,10.5100,10.5100,"6,043,500"
35,"Mar 01, 2019",12.9000,14.1600,9.6600,13.3000,13.3000,"2,752,700"
36,"Feb 01, 2019",12.8300,14.6700,10.8900,12.8600,12.8600,"2,468,300"
37,"Jan 01, 2019",15.1200,19.5200,12.3000,12.8000,12.8000,"2,799,300"
38,"Dec 01, 2018",28.6000,32.9000,13.0000,15.4500,15.4500,"4,041,200"
39,"Nov 01, 2018",17.1300,28.2500,16.9000,28.0400,28.0400,"2,897,700"
40,"Oct 01, 2018",14.5000,17.7500,11.2200,17.0100,17.0100,"4,095,300"
41,"Sep 01, 2018",15.2000,15.7400,13.5000,14.2400,14.2400,"1,452,600"
