,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",13.94,16.28,12.54,14.79,14.68,"672,600"
1,"Jan 01, 2022",14.50,14.92,12.16,13.86,13.76,"346,500"
2,"Dec 01, 2021",15.40,15.88,13.16,14.36,14.26,"609,100"
3,"Nov 30, 2021",0.1 Dividend,,,,,
4,"Nov 01, 2021",15.03,20.36,13.90,15.00,14.80,"418,800"
5,"Oct 01, 2021",15.94,15.94,14.79,15.00,14.80,"293,600"
6,"Sep 01, 2021",17.03,17.27,15.36,15.67,15.46,"347,700"
7,"Aug 31, 2021",0.1 Dividend,,,,,
8,"Aug 01, 2021",18.78,20.06,16.72,17.00,16.67,"531,600"
9,"Jul 01, 2021",22.51,22.61,18.50,18.69,18.33,"475,800"
10,"Jun 01, 2021",25.38,25.87,21.26,22.27,21.84,"741,200"
11,"May 28, 2021",0.1 Dividend,,,,,
12,"May 01, 2021",19.59,26.00,19.59,25.20,24.62,"722,800"
13,"Apr 01, 2021",18.30,21.38,17.44,19.50,19.05,"995,600"
14,"Mar 05, 2021",0.095 Dividend,,,,,
15,"Mar 01, 2021",17.89,20.00,16.35,18.13,17.61,"1,200,700"
16,"Feb 01, 2021",19.85,20.27,17.01,17.57,17.07,"577,300"
17,"Jan 01, 2021",17.65,19.55,16.62,19.19,18.64,"798,700"
18,"Dec 01, 2020",19.05,19.13,16.39,17.51,17.01,"1,209,800"
19,"Nov 30, 2020",0.095 Dividend,,,,,
20,"Nov 01, 2020",22.38,25.00,16.01,18.78,18.15,"1,078,200"
21,"Oct 01, 2020",19.65,24.00,19.44,22.05,21.31,"844,900"
22,"Sep 01, 2020",21.79,22.99,18.50,19.45,18.80,"1,377,700"
23,"Aug 31, 2020",0.095 Dividend,,,,,
24,"Aug 01, 2020",15.27,22.05,14.71,21.85,21.02,"1,384,500"
25,"Jul 01, 2020",11.98,15.88,10.06,15.20,14.63,"1,342,000"
26,"Jun 01, 2020",9.63,12.58,9.41,11.90,11.45,"1,091,600"
27,"May 29, 2020",0.09 Dividend,,,,,
28,"May 01, 2020",12.91,13.28,8.40,9.55,9.11,"1,032,200"
29,"Apr 01, 2020",9.12,14.81,7.69,13.19,12.58,"836,800"
30,"Mar 01, 2020",11.60,12.08,6.68,9.51,9.07,"1,143,800"
31,"Feb 27, 2020",0.09 Dividend,,,,,
32,"Feb 01, 2020",15.70,16.50,11.38,11.60,10.99,"570,500"
33,"Jan 01, 2020",19.12,19.26,15.75,15.80,14.97,"723,700"
34,"Dec 01, 2019",19.69,19.75,17.63,19.10,18.09,"832,000"
35,"Nov 27, 2019",0.09 Dividend,,,,,
36,"Nov 01, 2019",18.97,21.22,17.05,19.66,18.54,"1,138,900"
37,"Oct 01, 2019",16.34,19.05,14.61,18.65,17.59,"1,155,300"
38,"Sep 01, 2019",14.50,16.85,13.96,16.17,15.25,"1,218,800"
39,"Aug 29, 2019",0.09 Dividend,,,,,
40,"Aug 01, 2019",14.04,15.98,12.60,14.17,13.28,"1,372,700"
41,"Jul 01, 2019",19.24,20.83,15.35,16.41,15.37,"762,000"
42,"Jun 01, 2019",17.53,19.53,16.31,19.05,17.85,"704,500"
43,"May 30, 2019",0.09 Dividend,,,,,
44,"May 01, 2019",18.15,20.47,16.22,17.49,16.31,"762,200"
45,"Apr 01, 2019",21.61,23.25,17.38,18.10,16.88,"734,600"
46,"Mar 01, 2019",24.40,24.60,19.58,21.46,20.01,"1,110,600"
47,"Feb 28, 2019",0.085 Dividend,,,,,
48,"Feb 01, 2019",26.13,27.44,23.99,24.27,22.55,"523,700"
49,"Jan 01, 2019",23.19,29.35,22.88,26.14,24.29,"666,800"
50,"Dec 01, 2018",23.12,23.69,18.93,23.46,21.80,"751,400"
51,"Nov 29, 2018",0.085 Dividend,,,,,
52,"Nov 01, 2018",23.14,25.72,20.42,22.65,20.96,"684,900"
53,"Oct 01, 2018",22.08,23.50,18.03,23.22,21.49,"742,500"
54,"Sep 01, 2018",23.12,25.46,21.55,21.94,20.31,"548,700"
55,"Aug 30, 2018",0.085 Dividend,,,,,
56,"Aug 01, 2018",25.38,28.59,22.71,23.15,21.35,"910,400"
57,"Jul 01, 2018",28.83,31.30,24.77,25.40,23.43,"866,900"
58,"Jun 01, 2018",28.24,30.80,25.89,29.05,26.79,"1,456,400"
59,"May 31, 2018",0.085 Dividend,,,,,
60,"May 01, 2018",22.31,29.10,21.67,28.03,25.78,"646,000"
61,"Apr 01, 2018",21.22,24.53,20.97,22.25,20.46,"643,300"
62,"Mar 01, 2018",24.81,25.95,21.02,21.22,19.51,"1,058,400"
63,"Feb 28, 2018",0.085 Dividend,,,,,
64,"Feb 01, 2018",25.55,25.95,24.08,24.77,22.70,"753,000"
65,"Jan 01, 2018",25.63,28.57,24.80,25.71,23.56,"840,700"
66,"Dec 01, 2017",27.92,28.91,24.65,25.69,23.54,"1,496,000"
67,"Nov 30, 2017",0.085 Dividend,,,,,
68,"Nov 01, 2017",38.94,38.94,24.56,28.58,26.11,"915,000"
69,"Oct 01, 2017",32.86,41.00,29.50,38.77,35.42,"1,004,700"
70,"Sep 01, 2017",35.00,35.00,29.00,33.10,30.24,"37,600"
