,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",9.90,9.94,9.80,9.87,9.87,"305,700"
1,"Jan 01, 2022",9.95,9.98,9.84,9.86,9.86,"95,600"
2,"Dec 01, 2021",10.05,10.10,9.97,9.97,9.97,"113,300"
3,"Nov 01, 2021",10.54,10.55,9.99,10.09,10.09,"110,000"
4,"Oct 01, 2021",10.15,10.52,10.10,10.51,10.51,"304,300"
5,"Sep 01, 2021",10.19,10.31,10.06,10.18,10.18,"553,500"
6,"Aug 01, 2021",10.32,10.40,10.07,10.23,10.23,"314,000"
7,"Jul 01, 2021",10.79,10.82,10.25,10.32,10.32,"237,600"
8,"Jun 01, 2021",10.18,11.02,10.12,10.70,10.70,"599,300"
9,"May 01, 2021",10.74,10.74,10.01,10.15,10.15,"2,111,200"
10,"Apr 01, 2021",10.15,10.45,9.90,10.44,10.44,"2,070,900"
11,"Mar 01, 2021",11.05,11.05,9.83,10.12,10.12,"5,792,800"
12,"Feb 01, 2021",11.48,12.66,10.53,10.86,10.86,"6,762,000"
13,"Jan 01, 2021",11.20,13.30,10.70,11.10,11.10,"8,871,600"
