,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",20.00,23.55,20.00,20.75,20.75,"42,500"
1,"Jan 01, 2022",20.36,20.55,19.75,20.00,20.00,"50,000"
2,"Dec 01, 2021",20.07,20.40,19.50,20.38,20.38,"30,000"
3,"Nov 01, 2021",18.90,20.08,18.90,20.08,20.08,"27,300"
4,"Oct 01, 2021",18.75,19.09,18.50,18.90,18.90,"3,800"
5,"Sep 01, 2021",18.42,18.99,18.10,18.75,18.75,"28,500"
6,"Aug 01, 2021",18.10,19.14,17.62,18.01,18.01,"16,700"
7,"Jul 30, 2021",0.1 Dividend,,,,,
8,"Jul 01, 2021",19.00,19.75,17.78,18.55,18.45,"51,900"
9,"Jun 01, 2021",17.25,19.95,17.05,19.50,19.40,"50,300"
10,"May 01, 2021",16.58,20.75,16.44,17.29,17.20,"41,800"
11,"Apr 30, 2021",0.083 Dividend,,,,,
12,"Apr 01, 2021",2:1 Stock Split,,,,,
13,"Apr 01, 2021",16.70,16.75,15.17,16.24,16.07,"38,000"
14,"Mar 01, 2021",15.50,15.99,14.75,15.70,15.54,"62,000"
15,"Feb 01, 2021",14.55,15.50,14.55,15.45,15.29,"9,400"
16,"Jan 29, 2021",0.165 Dividend,,,,,
17,"Jan 01, 2021",15.00,15.45,14.50,15.45,15.13,"6,000"
18,"Dec 01, 2020",13.52,14.48,13.50,14.44,14.14,"7,200"
19,"Nov 01, 2020",11.98,13.71,11.48,13.53,13.25,"41,000"
20,"Oct 30, 2020",0.165 Dividend,,,,,
21,"Oct 01, 2020",11.52,12.44,11.13,11.98,11.57,"50,200"
22,"Sep 01, 2020",12.00,12.44,11.16,11.52,11.13,"66,800"
23,"Aug 01, 2020",12.35,12.60,11.56,11.72,11.32,"27,200"
24,"Jul 31, 2020",0.0825 Dividend,,,,,
25,"Jul 01, 2020",12.40,13.00,12.20,12.52,12.01,"12,400"
26,"Jun 01, 2020",12.00,14.57,11.75,12.40,11.90,"75,600"
27,"May 01, 2020",11.59,14.48,11.59,12.00,11.51,"24,000"
28,"Apr 24, 2020",0.08 Dividend,,,,,
29,"Apr 01, 2020",11.63,12.30,10.00,11.59,11.04,"32,000"
30,"Mar 01, 2020",17.10,17.47,10.56,12.50,11.91,"45,800"
31,"Feb 01, 2020",18.05,18.05,17.10,17.10,16.30,"4,400"
32,"Jan 24, 2020",0.08 Dividend,,,,,
33,"Jan 01, 2020",17.77,18.50,17.52,18.09,17.17,"27,400"
34,"Dec 01, 2019",18.60,19.00,17.81,17.88,16.96,"11,200"
35,"Nov 01, 2019",17.00,19.00,16.50,17.56,16.66,"37,200"
36,"Oct 18, 2019",0.08 Dividend,,,,,
37,"Oct 01, 2019",16.33,16.88,16.16,16.50,15.58,"6,400"
38,"Sep 01, 2019",15.98,17.16,15.98,16.33,15.42,"39,000"
