,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",5.1000,6.1700,4.6000,5.3900,5.3900,"31,109,500"
1,"Jan 01, 2022",6.5960,7.0300,3.8580,5.0800,5.0800,"68,991,800"
2,"Dec 01, 2021",7.5800,7.5900,5.7100,6.4900,6.4900,"52,575,600"
3,"Nov 01, 2021",5.3600,8.7400,5.2500,7.5900,7.5900,"84,718,800"
4,"Oct 01, 2021",6.9500,7.0000,5.0900,5.2100,5.2100,"55,595,300"
5,"Sep 01, 2021",9.6000,11.3700,6.0000,6.9400,6.9400,"74,241,200"
6,"Aug 01, 2021",6.8000,9.8500,6.0240,9.4300,9.4300,"48,336,100"
7,"Jul 01, 2021",10.4000,10.8800,6.5000,6.7300,6.7300,"17,568,500"
8,"Jun 01, 2021",10.0500,10.9400,9.9600,10.3100,10.3100,"8,369,700"
9,"May 01, 2021",10.5900,10.5900,9.8700,10.0000,10.0000,"8,055,500"
10,"Apr 01, 2021",10.5300,11.3200,9.9300,10.4000,10.4000,"8,495,700"
11,"Mar 01, 2021",12.3900,13.4000,10.0500,10.4900,10.4900,"17,494,700"
12,"Feb 01, 2021",12.7500,19.9500,10.5500,11.7700,11.7700,"41,666,900"
13,"Jan 01, 2021",10.7500,14.5400,10.4000,12.6000,12.6000,"8,506,900"
14,"Dec 01, 2020",10.3100,10.9900,10.0100,10.6000,10.6000,"1,935,500"
