,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",10.03,11.00,9.85,10.00,10.00,"8,290"
1,"Jan 01, 2022",10.10,10.10,9.96,10.00,10.00,"19,024"
2,"Dec 01, 2021",10.17,10.31,10.10,10.10,10.10,"7,421"
3,"Nov 01, 2021",10.26,10.40,10.17,10.17,10.17,"7,464"
4,"Oct 01, 2021",10.06,10.34,10.00,10.26,10.26,"10,344"
5,"Sep 01, 2021",10.00,10.10,10.00,10.06,10.06,"9,210"
6,"Aug 01, 2021",10.09,10.50,9.96,9.99,9.99,"314,784"
7,"Jul 01, 2021",10.12,10.26,10.09,10.11,10.11,"126,787"
8,"Jun 01, 2021",10.60,10.60,10.09,10.14,10.14,"155,006"
9,"May 01, 2021",10.61,10.80,10.40,10.65,10.65,"226,540"
10,"Apr 01, 2021",10.92,11.40,10.08,10.75,10.75,"136,888"
11,"Mar 01, 2021",11.15,13.19,10.60,10.95,10.95,"2,100,000"
12,"Feb 01, 2021",11.16,12.00,10.88,10.98,10.98,"815,511"
13,"Jan 01, 2021",10.74,11.63,10.68,11.16,11.16,"1,515,292"
14,"Dec 01, 2020",10.20,11.90,10.17,10.74,10.74,"5,142,873"
15,"Nov 01, 2020",10.00,10.30,9.98,10.20,10.20,"2,613,189"
16,"Oct 01, 2020",10.00,10.07,10.00,10.00,10.00,"8,613,875"
