,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",267.37,279.80,208.13,238.19,238.19,"13,138,900"
1,"Jan 01, 2022",308.17,312.28,245.28,265.72,265.72,"13,452,600"
2,"Dec 01, 2021",274.42,313.00,264.64,309.70,309.70,"10,007,000"
3,"Nov 01, 2021",288.38,291.56,264.29,270.47,270.47,"8,793,700"
4,"Oct 01, 2021",260.87,287.71,254.34,286.77,286.77,"7,773,600"
5,"Sep 01, 2021",255.32,301.72,254.55,262.02,262.02,"9,829,000"
6,"Aug 01, 2021",245.50,257.33,232.72,255.77,255.77,"13,152,200"
7,"Jul 01, 2021",208.17,245.50,205.10,243.27,243.27,"30,162,300"
8,"Jun 01, 2021",226.74,226.74,204.80,206.71,206.71,"18,337,900"
9,"May 01, 2021",218.57,234.22,211.23,223.76,223.76,"11,434,800"
10,"Apr 01, 2021",199.59,219.54,193.25,216.95,216.95,"13,035,200"
11,"Mar 01, 2021",186.53,199.02,168.76,196.37,196.37,"19,477,500"
12,"Feb 01, 2021",205.41,216.25,179.54,180.68,180.68,"10,437,000"
13,"Jan 01, 2021",196.70,223.62,190.97,203.81,203.81,"4,129,500"
14,"Dec 01, 2020",197.39,203.81,187.27,194.98,194.98,"4,359,700"
15,"Nov 01, 2020",182.87,207.98,182.87,194.88,194.88,"3,664,200"
16,"Oct 01, 2020",192.99,215.29,177.52,180.30,180.30,"5,136,300"
17,"Sep 01, 2020",187.92,192.36,170.27,191.09,191.09,"4,093,800"
18,"Aug 01, 2020",187.00,194.19,180.15,186.41,186.41,"3,518,900"
19,"Jul 01, 2020",170.51,199.83,166.66,185.46,185.46,"4,990,800"
20,"Jun 01, 2020",167.64,173.77,155.28,168.46,168.46,"5,093,800"
21,"May 01, 2020",158.33,171.79,145.11,168.45,168.45,"5,151,900"
22,"Apr 01, 2020",132.26,163.87,127.00,160.47,160.47,"7,060,300"
23,"Mar 01, 2020",157.00,167.94,104.28,136.00,136.00,"10,591,000"
24,"Feb 01, 2020",169.94,178.99,150.76,156.06,156.06,"4,441,400"
25,"Jan 01, 2020",172.75,176.98,165.94,168.62,168.62,"4,705,400"
26,"Dec 01, 2019",163.80,172.45,153.06,172.23,172.23,"5,627,500"
27,"Nov 01, 2019",147.73,163.95,143.77,163.16,163.16,"4,807,600"
28,"Oct 01, 2019",147.21,152.06,138.50,146.90,146.90,"6,286,400"
29,"Sep 01, 2019",153.28,157.61,145.33,147.34,147.34,"4,144,400"
30,"Aug 01, 2019",155.84,158.86,149.42,154.19,154.19,"4,483,900"
31,"Jul 01, 2019",155.50,165.14,148.27,156.17,156.17,"4,949,200"
32,"Jun 01, 2019",141.49,154.40,138.26,153.97,153.97,"5,324,800"
33,"May 01, 2019",136.91,144.14,133.94,141.56,141.56,"6,302,500"
34,"Apr 01, 2019",137.49,140.56,128.52,136.58,136.58,"5,276,800"
35,"Mar 01, 2019",140.75,142.68,127.58,136.58,136.58,"8,276,400"
36,"Feb 01, 2019",141.15,147.31,137.70,139.98,139.98,"5,042,700"
37,"Jan 01, 2019",127.93,140.77,118.10,139.88,139.88,"6,151,400"
38,"Dec 01, 2018",145.25,148.94,119.08,129.21,129.21,"6,305,500"
39,"Nov 01, 2018",138.53,144.97,122.73,144.72,144.72,"5,097,900"
40,"Oct 01, 2018",154.82,155.33,119.62,138.08,138.08,"6,436,600"
41,"Sep 01, 2018",148.35,154.10,143.95,153.75,153.75,"3,889,200"
42,"Aug 01, 2018",140.07,150.06,137.85,149.02,149.02,"4,676,000"
43,"Jul 01, 2018",131.99,146.31,130.22,139.16,139.16,"5,441,700"
44,"Jun 01, 2018",129.99,138.17,127.98,132.53,132.53,"4,111,500"
45,"May 01, 2018",117.11,129.71,116.68,128.98,128.98,"4,609,500"
46,"Apr 01, 2018",118.65,123.33,110.21,117.63,117.63,"5,631,500"
47,"Mar 01, 2018",113.36,124.65,110.26,118.14,118.14,"5,938,800"
48,"Feb 01, 2018",109.50,118.43,101.22,113.31,113.31,"7,175,200"
49,"Jan 01, 2018",112.04,119.05,109.08,109.52,109.52,"6,532,400"
50,"Dec 01, 2017",116.13,117.39,110.54,112.15,112.15,"5,437,800"
51,"Nov 01, 2017",118.95,124.48,110.55,116.81,116.81,"5,647,800"
52,"Oct 01, 2017",113.94,123.53,111.86,118.86,118.86,"6,365,200"
53,"Sep 01, 2017",114.29,117.53,109.78,113.88,113.88,"6,556,800"
54,"Aug 01, 2017",104.50,114.27,101.00,113.39,113.39,"6,924,400"
55,"Jul 01, 2017",97.50,109.32,96.03,104.95,104.95,"7,136,000"
56,"Jun 01, 2017",94.55,100.87,90.01,97.79,97.79,"8,345,500"
57,"May 01, 2017",84.74,94.17,84.07,94.10,94.10,"8,158,300"
58,"Apr 01, 2017",80.00,85.69,76.46,84.49,84.49,"8,166,400"
59,"Mar 01, 2017",84.57,85.09,77.16,79.72,79.72,"10,755,800"
60,"Feb 01, 2017",84.43,88.90,80.41,83.77,83.77,"7,200,400"
61,"Jan 01, 2017",75.82,84.36,74.30,84.06,84.06,"8,263,700"
62,"Dec 01, 2016",75.45,77.82,73.76,75.20,75.20,"7,658,100"
63,"Nov 01, 2016",79.00,83.00,74.03,75.64,75.64,"12,063,300"
64,"Oct 01, 2016",77.49,85.74,76.09,80.28,80.28,"9,750,300"
65,"Sep 01, 2016",77.00,78.47,74.26,77.37,77.37,"7,054,700"
66,"Aug 01, 2016",77.65,78.37,74.39,76.79,76.79,"7,751,100"
67,"Jul 01, 2016",70.28,79.61,69.05,77.67,77.67,"10,847,900"
68,"Jun 01, 2016",70.63,72.47,63.94,70.01,70.01,"11,902,200"
69,"May 01, 2016",67.61,70.60,62.31,70.44,70.44,"10,243,500"
70,"Apr 01, 2016",75.00,77.08,64.04,67.58,67.58,"9,899,700"
71,"Mar 01, 2016",71.69,75.61,68.50,75.10,75.10,"7,508,400"
72,"Feb 01, 2016",65.93,71.93,64.43,71.16,71.16,"10,009,200"
73,"Jan 01, 2016",77.55,77.79,64.08,66.07,66.07,"7,577,000"
74,"Dec 01, 2015",74.89,78.88,71.90,77.70,77.70,"8,759,200"
75,"Nov 01, 2015",64.39,75.01,63.92,74.33,74.33,"9,643,800"
76,"Oct 01, 2015",71.33,74.12,63.20,63.87,63.87,"12,554,300"
77,"Sep 01, 2015",75.45,82.47,67.47,70.97,70.97,"10,893,500"
78,"Aug 01, 2015",80.85,84.14,71.08,77.00,77.00,"14,944,300"
79,"Jul 01, 2015",67.74,81.90,64.27,80.80,80.80,"13,278,200"
80,"Jun 01, 2015",65.05,71.80,64.15,67.30,67.30,"10,231,200"
81,"May 01, 2015",64.28,69.41,63.44,64.87,64.87,"10,387,200"
82,"Apr 01, 2015",70.76,71.51,62.36,64.34,64.34,"11,327,300"
83,"Mar 01, 2015",69.20,72.40,66.21,70.53,70.53,"8,069,500"
84,"Feb 01, 2015",57.06,70.03,55.26,69.01,69.01,"8,258,700"
85,"Jan 01, 2015",51.03,58.87,50.91,56.40,56.40,"8,017,200"
86,"Dec 01, 2014",54.80,55.25,49.75,50.99,50.99,"8,984,000"
87,"Nov 01, 2014",53.47,56.17,51.44,55.54,55.54,"10,217,300"
88,"Oct 01, 2014",57.25,59.81,50.62,52.61,52.61,"15,808,400"
89,"Sep 01, 2014",50.01,57.98,49.67,57.23,57.23,"10,333,400"
90,"Aug 01, 2014",51.69,53.50,49.51,49.54,49.54,"8,815,300"
91,"Jul 01, 2014",47.50,52.97,45.50,51.80,51.80,"8,925,000"
92,"Jun 01, 2014",42.45,48.09,41.53,47.11,47.11,"10,902,900"
93,"May 01, 2014",39.59,43.47,37.79,42.27,42.27,"15,292,600"
94,"Apr 01, 2014",47.74,49.39,35.33,38.77,38.77,"15,367,100"
95,"Mar 01, 2014",46.39,49.71,45.00,47.55,47.55,"7,652,700"
96,"Feb 01, 2014",42.20,50.00,41.51,46.84,46.84,"11,261,200"
97,"Jan 01, 2014",40.31,42.95,38.91,42.01,42.01,"7,942,100"
98,"Dec 01, 2013",38.18,40.59,36.42,40.42,40.42,"7,695,500"
99,"Nov 01, 2013",40.74,41.44,37.32,38.14,38.14,"6,854,400"
100,"Oct 01, 2013",41.13,44.23,38.51,40.49,40.49,"8,318,000"
101,"Sep 01, 2013",36.84,41.29,35.51,40.93,40.93,"5,976,600"
102,"Aug 01, 2013",39.33,40.98,36.23,36.54,36.54,"5,788,000"
103,"Jul 01, 2013",35.83,40.23,35.50,39.22,39.22,"6,065,100"
104,"Jun 01, 2013",34.14,36.71,33.44,35.43,35.43,"5,644,800"
105,"May 01, 2013",31.95,35.57,31.74,34.34,34.34,"7,927,100"
106,"Apr 01, 2013",31.87,35.86,29.07,32.12,32.12,"9,289,900"
107,"Mar 01, 2013",30.97,33.07,30.60,32.29,32.29,"5,292,100"
108,"Feb 01, 2013",29.30,31.72,26.70,31.16,31.16,"6,995,300"
