,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 02, 2022",0.75 Dividend,,,,,
1,"Feb 01, 2022",110.13,110.51,99.13,104.47,103.75,"3,678,100"
2,"Jan 01, 2022",113.52,114.19,105.68,110.22,109.46,"4,313,200"
3,"Dec 01, 2021",105.27,113.75,105.19,113.31,112.52,"4,215,000"
4,"Nov 04, 2021",0.75 Dividend,,,,,
5,"Nov 01, 2021",104.86,109.95,101.60,104.62,103.16,"4,293,600"
6,"Oct 01, 2021",104.06,106.52,95.26,104.32,102.86,"8,479,700"
7,"Sep 01, 2021",105.96,108.71,102.00,103.38,101.93,"4,632,500"
8,"Aug 04, 2021",0.71 Dividend,,,,,
9,"Aug 01, 2021",105.79,110.21,104.39,105.35,103.19,"3,887,900"
10,"Jul 01, 2021",97.82,106.73,95.94,105.45,103.28,"4,719,800"
11,"Jun 01, 2021",98.31,103.00,96.60,97.50,95.50,"5,641,100"
12,"May 04, 2021",0.71 Dividend,,,,,
13,"May 01, 2021",103.23,104.96,97.06,97.95,95.27,"5,134,200"
14,"Apr 01, 2021",99.70,103.24,98.29,102.48,99.68,"8,342,800"
15,"Mar 01, 2021",87.24,102.96,85.30,99.97,97.24,"10,088,900"
16,"Feb 04, 2021",0.71 Dividend,,,,,
17,"Feb 01, 2021",88.97,89.73,85.75,86.24,83.20,"6,336,600"
18,"Jan 01, 2021",96.46,96.46,86.57,88.30,85.19,"7,257,900"
19,"Dec 01, 2020",91.31,98.03,90.43,96.03,92.65,"6,461,100"
20,"Nov 04, 2020",0.71 Dividend,,,,,
21,"Nov 01, 2020",88.47,95.86,87.50,90.58,86.71,"6,621,500"
22,"Oct 01, 2020",80.03,91.51,80.01,87.73,83.98,"6,752,300"
23,"Sep 01, 2020",89.53,91.37,78.91,79.90,76.48,"6,628,300"
24,"Aug 04, 2020",0.67 Dividend,,,,,
25,"Aug 01, 2020",93.20,93.91,86.05,89.90,85.43,"5,858,800"
26,"Jul 01, 2020",87.16,95.17,86.17,93.25,88.61,"5,028,100"
27,"Jun 01, 2020",93.01,96.19,84.14,87.37,83.03,"6,966,000"
28,"May 04, 2020",0.67 Dividend,,,,,
29,"May 01, 2020",90.90,93.59,83.02,93.23,87.92,"5,864,400"
30,"Apr 01, 2020",84.58,99.37,83.26,91.78,86.56,"6,688,900"
31,"Mar 01, 2020",96.64,107.75,69.05,87.79,82.79,"9,686,500"
32,"Feb 04, 2020",0.67 Dividend,,,,,
33,"Feb 01, 2020",112.36,113.58,95.85,96.64,90.60,"5,758,300"
34,"Jan 01, 2020",107.04,113.48,104.46,112.19,105.17,"4,336,300"
35,"Dec 01, 2019",104.76,108.30,103.72,106.80,100.12,"6,044,500"
36,"Nov 04, 2019",0.67 Dividend,,,,,
37,"Nov 01, 2019",108.77,108.77,102.04,105.05,97.87,"6,318,400"
38,"Oct 01, 2019",112.18,113.25,106.58,107.62,100.26,"5,106,100"
39,"Sep 01, 2019",109.83,114.01,106.08,112.67,104.97,"6,397,800"
40,"Aug 02, 2019",0.63 Dividend,,,,,
41,"Aug 01, 2019",103.47,110.57,101.24,109.81,101.68,"7,540,100"
42,"Jul 01, 2019",100.47,105.25,98.88,102.06,94.51,"7,787,200"
43,"Jun 01, 2019",100.85,106.13,99.72,100.43,93.00,"13,760,400"
44,"May 03, 2019",0.63 Dividend,,,,,
45,"May 01, 2019",98.90,104.70,97.16,100.27,92.25,"6,085,000"
46,"Apr 01, 2019",99.52,100.00,95.93,99.02,91.10,"4,438,200"
47,"Mar 01, 2019",98.03,102.01,97.46,99.54,91.58,"5,506,600"
48,"Feb 04, 2019",0.63 Dividend,,,,,
49,"Feb 01, 2019",97.23,100.19,95.03,98.41,89.95,"4,170,600"
50,"Jan 01, 2019",92.85,97.69,89.31,97.50,89.12,"5,503,600"
51,"Dec 01, 2018",98.36,102.44,89.91,93.06,85.06,"4,786,500"
52,"Nov 02, 2018",0.63 Dividend,,,,,
53,"Nov 01, 2018",97.25,101.41,93.06,98.24,89.21,"5,313,600"
54,"Oct 01, 2018",99.15,101.89,92.94,93.26,84.69,"5,996,800"
55,"Sep 01, 2018",97.92,101.49,96.81,99.23,90.11,"3,919,900"
56,"Aug 03, 2018",0.59 Dividend,,,,,
57,"Aug 01, 2018",93.88,99.28,92.03,97.85,88.30,"4,257,500"
58,"Jul 01, 2018",92.25,95.35,90.92,94.24,85.04,"4,083,300"
59,"Jun 01, 2018",91.78,93.28,85.23,92.24,83.23,"6,021,400"
60,"May 04, 2018",0.59 Dividend,,,,,
61,"May 01, 2018",92.95,96.01,87.34,92.36,82.83,"6,100,700"
62,"Apr 01, 2018",88.06,94.16,84.82,93.00,83.40,"6,905,100"
63,"Mar 01, 2018",81.42,88.60,80.29,88.27,79.16,"8,895,300"
64,"Feb 02, 2018",0.59 Dividend,,,,,
65,"Feb 01, 2018",86.29,86.57,79.59,81.05,72.18,"5,320,900"
66,"Jan 01, 2018",91.36,91.40,82.08,86.28,76.84,"6,866,500"
67,"Dec 01, 2017",98.95,100.04,89.81,91.36,81.36,"4,137,000"
68,"Nov 03, 2017",0.59 Dividend,,,,,
69,"Nov 01, 2017",92.41,99.07,91.06,98.81,87.44,"4,390,800"
70,"Oct 01, 2017",87.72,93.22,87.55,92.03,81.44,"4,325,800"
71,"Sep 01, 2017",89.18,91.98,87.61,87.93,77.81,"3,938,100"
72,"Aug 04, 2017",0.55 Dividend,,,,,
73,"Aug 01, 2017",86.46,89.94,85.31,88.98,78.24,"3,787,700"
74,"Jul 01, 2017",85.27,87.90,83.46,86.36,75.93,"3,522,300"
75,"Jun 01, 2017",87.32,90.67,85.20,85.35,75.05,"4,546,900"
76,"May 03, 2017",0.55 Dividend,,,,,
77,"May 01, 2017",84.71,87.50,82.52,87.30,76.26,"3,951,200"
78,"Apr 01, 2017",82.66,86.46,82.08,84.52,73.83,"3,921,400"
79,"Mar 01, 2017",82.58,83.95,79.90,82.96,72.47,"4,893,500"
80,"Feb 02, 2017",0.55 Dividend,,,,,
81,"Feb 01, 2017",79.49,83.99,78.05,82.93,71.93,"3,139,900"
82,"Jan 01, 2017",80.50,81.14,77.49,80.02,69.41,"3,338,600"
83,"Dec 01, 2016",75.47,81.81,75.03,80.55,69.87,"4,413,900"
84,"Nov 03, 2016",0.55 Dividend,,,,,
85,"Nov 01, 2016",78.19,79.43,72.93,76.15,65.57,"4,641,300"
86,"Oct 01, 2016",78.02,78.86,73.33,78.39,67.50,"4,045,800"
87,"Sep 01, 2016",76.17,81.55,75.14,78.28,67.41,"3,911,700"
88,"Aug 03, 2016",0.51 Dividend,,,,,
89,"Aug 01, 2016",80.62,81.71,75.46,76.07,65.09,"3,819,300"
90,"Jul 01, 2016",81.64,83.40,79.21,80.85,69.18,"5,374,200"
91,"Jun 01, 2016",73.16,81.36,72.91,81.35,69.61,"7,172,300"
92,"May 03, 2016",0.51 Dividend,,,,,
93,"May 01, 2016",72.67,74.47,69.83,73.21,62.21,"4,181,800"
94,"Apr 01, 2016",74.19,74.99,70.40,72.73,61.80,"5,215,900"
95,"Mar 01, 2016",71.30,74.96,69.03,74.59,63.38,"6,040,100"
96,"Feb 03, 2016",0.51 Dividend,,,,,
97,"Feb 01, 2016",69.43,73.82,68.30,70.96,59.86,"7,474,900"
98,"Jan 01, 2016",67.73,69.96,65.03,69.59,58.70,"4,895,600"
99,"Dec 01, 2015",68.18,69.99,65.72,68.00,57.36,"5,934,200"
100,"Nov 03, 2015",0.51 Dividend,,,,,
101,"Nov 01, 2015",66.80,68.43,64.17,68.04,56.96,"5,375,000"
102,"Oct 01, 2015",64.82,70.33,63.38,66.85,55.96,"7,222,400"
103,"Sep 01, 2015",58.50,64.94,57.23,64.71,54.17,"5,698,200"
104,"Aug 03, 2015",0.47 Dividend,,,,,
105,"Aug 01, 2015",61.85,64.52,58.31,59.37,49.32,"5,390,700"
106,"Jul 01, 2015",56.26,62.63,55.96,62.11,51.60,"5,790,600"
107,"Jun 01, 2015",59.56,59.71,55.40,56.14,46.64,"4,818,500"
108,"May 01, 2015",0.47 Dividend,,,,,
109,"May 01, 2015",59.81,60.96,58.07,59.47,49.02,"3,977,600"
110,"Apr 01, 2015",62.63,64.22,59.83,60.33,49.73,"4,296,700"
111,"Mar 01, 2015",62.51,63.14,59.21,62.87,51.82,"5,880,300"
112,"Feb 03, 2015",0.47 Dividend,,,,,
