,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",1.0900,1.9800,1.0000,1.2000,1.2000,"210,600"
1,"Jan 01, 2022",1.4000,1.4000,0.9200,1.1300,1.1300,"254,700"
2,"Dec 01, 2021",1.0900,1.2000,0.9000,1.1100,1.1100,"339,400"
3,"Nov 01, 2021",1.6000,1.6000,1.0800,1.0800,1.0800,"338,000"
4,"Oct 01, 2021",1.6900,2.0000,1.3100,1.5500,1.5500,"226,800"
5,"Sep 01, 2021",2.1600,2.2000,1.2200,1.5900,1.5900,"241,500"
6,"Aug 01, 2021",2.7000,2.7000,1.5100,2.1600,2.1600,"841,200"
7,"Jul 01, 2021",3.2700,3.3800,2.5200,2.7100,2.7100,"83,600"
8,"Jun 01, 2021",3.2100,3.7400,2.0000,3.2200,3.2200,"196,600"
9,"May 01, 2021",3.4000,3.9000,3.0000,3.4700,3.4700,"158,900"
10,"Apr 01, 2021",3.5100,4.0000,3.1000,3.4000,3.4000,"265,500"
11,"Mar 01, 2021",3.6000,4.0300,3.1000,3.5100,3.5100,"397,500"
12,"Feb 01, 2021",2.6200,3.5500,2.5100,3.4400,3.4400,"451,100"
13,"Jan 01, 2021",1.9900,3.9700,1.7000,2.8000,2.8000,"726,800"
14,"Dec 01, 2020",2.2000,2.2900,1.2500,1.9700,1.9700,"281,800"
15,"Nov 01, 2020",1.2500,2.3000,1.2500,2.1500,2.1500,"220,000"
16,"Oct 01, 2020",1.5000,2.0000,0.9900,1.2500,1.2500,"205,300"
17,"Sep 01, 2020",1.1000,1.5000,0.9500,1.5000,1.5000,"120,400"
18,"Aug 01, 2020",0.9900,1.1400,0.7700,1.0400,1.0400,"104,000"
19,"Jul 01, 2020",0.9800,1.0000,0.7500,0.9600,0.9600,"60,400"
20,"Jun 01, 2020",1.0200,1.2200,0.6800,0.9800,0.9800,"69,600"
21,"May 01, 2020",0.8300,1.5000,0.1100,1.0800,1.0800,"142,100"
22,"Apr 01, 2020",1.0000,1.0000,0.7000,0.8300,0.8300,"92,800"
23,"Mar 01, 2020",0.7500,2.3400,0.7500,1.0000,1.0000,"123,300"
24,"Feb 01, 2020",1.0500,1.4200,0.9700,1.2200,1.2200,"41,800"
25,"Jan 01, 2020",0.9000,1.3300,0.8500,1.1500,1.1500,"46,300"
26,"Dec 01, 2019",1.4500,1.5000,0.7500,0.9500,0.9500,"93,400"
27,"Nov 01, 2019",1.8700,1.9500,1.2600,1.6400,1.6400,"69,000"
28,"Oct 01, 2019",2.7300,2.7300,1.3800,1.6000,1.6000,"89,900"
29,"Sep 01, 2019",3.0000,3.6000,2.1500,2.7900,2.7900,"22,500"
30,"Aug 01, 2019",3.2500,3.9000,2.5000,3.0000,3.0000,"54,400"
31,"Jul 01, 2019",4.0000,4.9900,2.6000,3.2500,3.2500,"52,200"
32,"Jun 01, 2019",4.5000,5.2000,2.0200,4.0000,4.0000,"71,100"
33,"May 01, 2019",6.7400,7.1000,4.1000,4.5000,4.5000,"98,900"
34,"Apr 01, 2019",4.5000,6.6000,4.0000,6.6000,6.6000,"121,900"
35,"Mar 01, 2019",4.2500,6.5000,2.5000,4.5000,4.5000,"56,400"
36,"Feb 01, 2019",4.5400,4.8500,3.7500,4.2500,4.2500,"13,900"
37,"Jan 01, 2019",5.5000,5.6500,3.3800,4.5200,4.5200,"29,500"
38,"Dec 01, 2018",3.7000,8.4000,3.5800,5.2000,5.2000,"91,900"
39,"Nov 01, 2018",2.5000,4.0000,1.5000,3.5000,3.5000,"23,400"
40,"Oct 18, 2018",1:20 Stock Split,,,,,
41,"Oct 01, 2018",2.6000,3.0000,1.9000,2.4000,2.4000,"12,580"
42,"Sep 01, 2018",2.0000,2.8000,1.6000,2.2000,2.2000,"11,845"
43,"Aug 01, 2018",2.0000,3.0000,1.6000,2.8000,2.8000,"9,770"
44,"Jul 01, 2018",2.8000,2.8000,1.8000,2.2000,2.2000,"11,155"
45,"Jun 01, 2018",2.8000,3.2000,2.4000,2.8000,2.8000,"11,335"
