,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",92.80,100.51,89.13,96.92,96.92,"1,387,600"
1,"Jan 01, 2022",90.90,99.97,90.79,92.96,92.96,"2,064,800"
2,"Dec 01, 2021",82.90,92.97,81.86,90.34,90.34,"3,275,800"
3,"Nov 01, 2021",90.91,96.10,81.00,81.20,81.20,"2,764,900"
4,"Oct 01, 2021",84.79,90.80,83.39,90.61,90.61,"2,077,900"
5,"Sep 01, 2021",93.85,93.85,81.04,84.22,84.22,"1,949,800"
6,"Aug 01, 2021",88.42,96.57,84.33,93.60,93.60,"2,345,300"
7,"Jul 01, 2021",91.20,92.01,85.15,88.45,88.45,"2,208,800"
8,"Jun 01, 2021",102.07,107.15,89.54,90.61,90.61,"2,554,900"
9,"May 14, 2021",0.57 Dividend,,,,,
10,"May 01, 2021",98.49,104.91,96.63,101.11,100.54,"1,941,900"
11,"Apr 01, 2021",103.10,107.73,94.40,97.41,96.86,"1,970,800"
12,"Mar 01, 2021",102.44,107.15,96.29,102.69,102.11,"2,102,700"
13,"Feb 01, 2021",87.98,105.50,86.93,100.45,99.89,"1,711,900"
14,"Jan 01, 2021",91.28,102.84,87.30,87.79,87.30,"2,106,600"
15,"Dec 01, 2020",83.51,91.79,82.46,90.73,90.22,"2,693,100"
16,"Nov 16, 2020",0.52 Dividend,,,,,
17,"Nov 01, 2020",66.81,88.63,66.79,82.29,81.30,"2,683,400"
18,"Oct 01, 2020",63.50,69.95,61.85,66.14,65.34,"2,378,800"
19,"Sep 01, 2020",74.36,76.91,61.48,63.32,62.55,"2,857,200"
20,"Aug 01, 2020",75.62,84.54,72.19,74.69,73.79,"1,969,900"
21,"Jul 01, 2020",77.64,81.44,72.09,75.17,74.26,"1,707,800"
22,"Jun 01, 2020",77.66,86.27,69.91,77.25,76.32,"2,806,000"
23,"May 15, 2020",0.52 Dividend,,,,,
24,"May 01, 2020",70.88,82.17,63.11,77.09,75.55,"2,642,900"
25,"Apr 01, 2020",66.57,78.70,62.16,72.52,71.07,"1,935,400"
26,"Mar 01, 2020",87.08,90.59,56.71,69.49,68.10,"3,752,300"
27,"Feb 01, 2020",101.46,107.23,80.85,86.54,84.81,"2,715,100"
28,"Jan 01, 2020",104.10,107.85,100.64,100.73,98.72,"2,162,300"
29,"Dec 01, 2019",98.61,104.50,96.30,103.44,101.37,"1,934,500"
30,"Nov 18, 2019",0.52 Dividend,,,,,
31,"Nov 01, 2019",91.80,107.10,91.09,98.40,95.91,"2,191,200"
32,"Oct 01, 2019",89.62,94.02,85.32,91.36,89.05,"1,861,300"
