,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",1.0600,1.1400,0.8100,0.9300,0.9300,"943,100"
1,"Jan 01, 2022",0.9700,1.0400,0.7100,1.0200,1.0200,"3,296,800"
2,"Dec 01, 2021",1.0200,1.1100,0.8800,0.9800,0.9800,"2,829,000"
3,"Nov 01, 2021",1.3500,1.4300,1.0100,1.0300,1.0300,"2,909,000"
4,"Oct 01, 2021",1.2600,1.6700,1.2200,1.3500,1.3500,"15,296,300"
5,"Sep 01, 2021",1.2800,1.5900,1.2200,1.2600,1.2600,"4,935,000"
6,"Aug 01, 2021",1.4400,1.5900,1.0800,1.2700,1.2700,"4,486,200"
7,"Jul 01, 2021",1.6100,2.7500,1.3700,1.3900,1.3900,"32,711,800"
8,"Jun 01, 2021",1.4200,2.2000,1.4000,1.6100,1.6100,"14,324,700"
9,"May 01, 2021",1.7100,1.8200,1.3200,1.4200,1.4200,"7,617,500"
10,"Apr 01, 2021",2.3500,2.4700,1.4100,1.7500,1.7500,"8,663,500"
11,"Mar 01, 2021",3.6200,4.4000,2.1800,2.3500,2.3500,"30,188,900"
12,"Feb 01, 2021",2.2600,4.8000,2.1100,2.7700,2.7700,"25,776,100"
13,"Jan 01, 2021",2.4000,3.3200,1.9400,2.2300,2.2300,"33,961,900"
14,"Dec 01, 2020",1.5400,5.5600,1.1200,2.5900,2.5900,"138,560,200"
15,"Nov 01, 2020",0.9800,1.6300,0.9800,1.4700,1.4700,"8,619,000"
16,"Oct 01, 2020",0.9600,1.4700,0.9100,0.9700,0.9700,"24,150,600"
17,"Sep 01, 2020",1.1300,1.4000,0.7600,0.9600,0.9600,"10,936,700"
18,"Aug 01, 2020",1.0500,2.2000,0.9700,1.1200,1.1200,"42,349,600"
19,"Jul 01, 2020",2.8100,3.2000,1.0100,1.0400,1.0400,"6,861,400"
20,"Jun 01, 2020",0.9100,3.9800,0.9100,2.8600,2.8600,"18,082,100"
21,"May 01, 2020",0.9100,0.9100,0.9100,0.9100,0.9100,-
22,"Apr 01, 2020",0.9100,0.9100,0.9100,0.9100,0.9100,-
23,"Mar 01, 2020",0.9100,0.9100,0.9100,0.9100,0.9100,-
24,"Feb 01, 2020",0.9100,0.9100,0.9100,0.9100,0.9100,-
25,"Jan 01, 2020",0.9100,0.9100,0.9100,0.9100,0.9100,-
26,"Dec 01, 2019",0.9100,0.9100,0.9100,0.9100,0.9100,-
27,"Nov 01, 2019",1.2100,1.3500,0.7800,0.9100,0.9100,"102,400"
28,"Oct 01, 2019",1.2600,1.9800,0.8400,1.2800,1.2800,"231,600"
29,"Sep 01, 2019",1.6000,1.8400,1.2000,1.4100,1.4100,"67,600"
30,"Aug 01, 2019",1.8500,1.9400,1.0600,1.7500,1.7500,"63,400"
31,"Jul 01, 2019",2.5000,2.6700,1.8300,1.8300,1.8300,"30,000"
32,"Jun 01, 2019",2.8200,3.0200,1.6100,2.5100,2.5100,"170,700"
33,"May 01, 2019",3.5000,3.5600,2.5900,2.8400,2.8400,"202,200"
34,"Apr 01, 2019",3.1600,4.2000,3.1000,3.4400,3.4400,"392,400"
35,"Mar 01, 2019",1.4500,3.4000,1.1900,3.2100,3.2100,"323,900"
36,"Feb 01, 2019",1.2800,1.9000,1.0000,1.4500,1.4500,"381,300"
37,"Jan 01, 2019",1.0500,1.6900,1.0000,1.2000,1.2000,"554,200"
38,"Dec 01, 2018",1.7200,2.0700,0.7300,1.0000,1.0000,"263,200"
39,"Nov 01, 2018",2.4800,2.8200,1.3400,1.7200,1.7200,"201,900"
40,"Oct 01, 2018",2.8300,3.3300,2.3500,2.4700,2.4700,"187,600"
41,"Sep 01, 2018",3.1500,3.8500,2.7300,2.8500,2.8500,"240,700"
42,"Aug 01, 2018",3.2500,3.4400,2.6200,3.1500,3.1500,"125,900"
43,"Jul 01, 2018",3.9100,4.4600,3.1500,3.2600,3.2600,"277,200"
44,"Jun 01, 2018",3.2200,4.1000,3.0200,3.8200,3.8200,"439,700"
45,"May 01, 2018",2.8500,4.9000,2.7000,3.1600,3.1600,"2,395,200"
46,"Apr 01, 2018",2.8500,3.1800,2.4700,2.8200,2.8200,"341,600"
47,"Mar 01, 2018",3.3300,4.2900,2.7500,2.8100,2.8100,"548,300"
48,"Feb 01, 2018",3.8300,4.4000,3.2600,3.4700,3.4700,"580,700"
49,"Jan 01, 2018",4.1000,5.2400,3.5200,3.8900,3.8900,"1,836,600"
50,"Dec 01, 2017",5.0900,5.3200,3.6000,4.0900,4.0900,"2,655,800"
51,"Nov 01, 2017",2.7700,6.6300,2.4500,4.7800,4.7800,"13,644,100"
52,"Oct 01, 2017",3.8700,4.3800,2.5900,2.6700,2.6700,"863,500"
53,"Sep 01, 2017",4.5000,6.5000,3.7400,3.8200,3.8200,"719,800"
54,"Aug 01, 2017",5.2300,6.7400,3.7400,4.5900,4.5900,"1,281,700"
55,"Jul 01, 2017",6.6000,7.1200,5.0600,5.2000,5.2000,"558,800"
56,"Jun 01, 2017",8.3400,8.8600,6.0600,6.8800,6.8800,"1,062,500"
57,"May 01, 2017",8.3200,9.9500,7.2000,8.2900,8.2900,"703,200"
58,"Apr 01, 2017",10.1500,11.2300,7.4500,8.3000,8.3000,"1,322,900"
59,"Mar 01, 2017",13.2200,13.9000,8.4100,9.5900,9.5900,"3,857,100"
60,"Feb 01, 2017",9.7200,13.7500,8.8100,13.2000,13.2000,"1,537,400"
61,"Jan 01, 2017",10.9200,11.4700,8.6400,9.8700,9.8700,"674,900"
62,"Dec 01, 2016",8.5700,11.9800,7.6700,10.9200,10.9200,"1,279,400"
63,"Nov 01, 2016",7.4900,8.6000,5.2800,8.3600,8.3600,"537,700"
64,"Oct 01, 2016",8.0000,8.3000,6.1900,7.4000,7.4000,"215,300"
65,"Sep 27, 2016",1:8 Stock Split,,,,,
66,"Sep 01, 2016",5.9200,11.5000,5.2000,8.1900,8.1900,"592,091"
67,"Aug 01, 2016",4.0800,8.4000,3.8400,6.0000,6.0000,"479,243"
68,"Jul 01, 2016",3.3600,5.1200,2.8800,4.1600,4.1600,"273,718"
69,"Jun 01, 2016",3.8400,5.9200,3.0400,3.2000,3.2000,"283,518"
70,"May 01, 2016",6.2400,6.3200,3.5200,4.0000,4.0000,"431,856"
71,"Apr 01, 2016",3.3600,4.9600,3.1200,4.8800,4.8800,"51,780"
72,"Mar 01, 2016",2.8800,6.7200,2.0800,2.8000,2.8000,"119,693"
73,"Feb 01, 2016",3.6000,3.6000,1.5200,2.5600,2.5600,"27,418"
74,"Jan 01, 2016",4.0000,4.0000,2.7200,3.3600,3.3600,"33,068"
75,"Dec 01, 2015",4.9600,8.0000,3.5200,4.0000,4.0000,"188,993"
76,"Nov 01, 2015",6.3200,6.5600,4.2400,4.8000,4.8000,"54,829"
77,"Oct 01, 2015",5.9200,7.2000,4.0000,6.2400,6.2400,"162,255"
78,"Sep 01, 2015",9.0400,9.0400,5.2800,5.9200,5.9200,"55,829"
79,"Aug 01, 2015",16.5600,17.2800,4.0000,8.6400,8.6400,"111,956"
80,"Jul 01, 2015",16.5600,24.7200,12.3200,16.1600,16.1600,"464,209"
81,"Jun 01, 2015",18.7200,22.0000,16.0000,16.5600,16.5600,"28,341"
82,"May 01, 2015",24.0000,24.4000,18.0800,18.3200,18.3200,"63,666"
83,"Apr 01, 2015",39.2000,42.6400,23.7600,24.1600,24.1600,"67,867"
84,"Mar 01, 2015",38.4800,44.8000,38.0800,38.8000,38.8000,"2,166"
85,"Feb 01, 2015",34.0000,40.0800,34.0000,38.4800,38.4800,"3,929"
86,"Jan 01, 2015",35.3600,39.8400,32.0000,34.4000,34.4000,"3,303"
87,"Dec 01, 2014",40.4000,40.6400,31.6800,38.9600,38.9600,"12,656"
88,"Nov 01, 2014",36.0800,40.4000,35.1200,40.3200,40.3200,"17,441"
89,"Oct 01, 2014",40.0000,40.4000,34.4000,36.8000,36.8000,"12,767"
90,"Sep 01, 2014",40.9600,44.8000,32.7200,40.4000,40.4000,"13,179"
91,"Aug 01, 2014",46.0000,46.0000,40.2400,43.9200,43.9200,"6,917"
92,"Jul 01, 2014",32.5600,46.0000,31.0400,46.0000,46.0000,"25,305"
93,"Jun 01, 2014",31.6800,35.6800,29.9200,32.5600,32.5600,"14,180"
94,"May 01, 2014",27.8400,34.3200,24.7200,31.9200,31.9200,"11,391"
95,"Apr 01, 2014",27.3600,28.8000,25.5200,27.8400,27.8400,"10,528"
96,"Mar 01, 2014",24.4800,32.0000,23.6000,27.6000,27.6000,"33,094"
97,"Feb 01, 2014",22.8800,26.9600,22.7200,25.5200,25.5200,"64,692"
98,"Jan 01, 2014",36.3200,38.1600,22.1600,23.8400,23.8400,"122,330"
99,"Dec 01, 2013",39.0400,42.3200,34.8000,36.8800,36.8800,"29,967"
100,"Nov 01, 2013",39.9200,45.6000,38.4000,40.8000,40.8000,"16,417"
101,"Oct 01, 2013",36.4800,41.5200,36.4800,40.0000,40.0000,"17,132"
102,"Sep 01, 2013",35.9200,39.3600,35.6000,36.8800,36.8800,"17,292"
103,"Aug 01, 2013",37.2800,44.0000,33.4400,35.6000,35.6000,"21,330"
104,"Jul 01, 2013",33.5200,38.4800,31.9200,37.4400,37.4400,"19,454"
105,"Jun 01, 2013",39.0400,40.0800,30.7200,33.5200,33.5200,"39,267"
106,"May 01, 2013",35.5200,44.4000,34.7200,39.2000,39.2000,"39,881"
107,"Apr 01, 2013",55.5200,56.7200,30.7200,36.0000,36.0000,"67,166"
108,"Mar 01, 2013",63.4400,65.6000,36.0800,53.9200,53.9200,"216,604"
