,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",79.39,82.31,76.57,80.62,80.62,"802,300"
1,"Jan 01, 2022",90.09,92.10,78.00,79.10,79.10,"647,900"
2,"Dec 01, 2021",83.03,92.10,81.67,90.16,90.16,"924,900"
3,"Nov 01, 2021",84.48,88.39,82.02,82.40,82.40,"606,600"
4,"Oct 01, 2021",81.91,86.99,81.23,84.50,84.50,"551,100"
5,"Sep 01, 2021",84.88,85.60,79.62,81.72,81.72,"896,600"
6,"Aug 01, 2021",92.56,93.34,83.60,84.99,84.99,"982,900"
7,"Jul 01, 2021",88.92,93.74,85.04,92.36,92.36,"636,500"
8,"Jun 01, 2021",93.30,94.97,87.03,88.57,88.57,"768,200"
9,"May 01, 2021",88.49,93.58,88.49,93.31,93.31,"534,400"
10,"Apr 01, 2021",90.08,93.98,86.96,87.90,87.90,"652,700"
11,"Mar 01, 2021",86.54,92.36,86.06,90.37,90.37,"1,196,000"
12,"Feb 25, 2021",2.5 Dividend,,,,,
13,"Feb 01, 2021",80.57,93.46,80.27,86.46,84.11,"1,205,300"
14,"Jan 01, 2021",79.31,86.82,77.52,80.43,78.25,"1,240,300"
15,"Dec 01, 2020",74.81,79.94,73.33,78.86,76.72,"1,366,500"
16,"Nov 01, 2020",73.50,78.18,72.49,74.21,72.20,"1,015,000"
17,"Oct 01, 2020",75.35,77.96,71.00,72.76,70.79,"970,000"
18,"Sep 01, 2020",79.65,82.11,71.50,75.38,73.33,"1,524,100"
19,"Aug 06, 2020",2.5 Dividend,,,,,
20,"Aug 01, 2020",88.42,92.37,79.54,79.64,75.36,"1,274,800"
21,"Jul 01, 2020",85.51,92.51,81.12,88.17,83.43,"1,154,200"
22,"Jun 01, 2020",86.82,88.87,81.21,85.33,80.74,"1,573,000"
23,"May 26, 2020",1 Dividend,,,,,
24,"May 01, 2020",81.31,91.04,80.36,86.94,81.30,"1,667,000"
25,"Apr 01, 2020",88.88,90.36,78.02,82.13,76.80,"1,830,000"
26,"Mar 01, 2020",72.51,89.47,66.35,89.40,83.60,"2,501,000"
27,"Feb 01, 2020",84.64,84.64,67.07,70.19,65.64,"1,723,700"
28,"Jan 01, 2020",91.30,94.30,82.55,84.30,78.83,"1,807,800"
29,"Dec 01, 2019",97.73,99.63,90.53,91.28,85.36,"1,858,400"
30,"Nov 25, 2019",2 Dividend,,,,,
31,"Nov 01, 2019",106.00,106.13,97.00,97.74,89.59,"1,342,000"
