,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",9.70,9.74,9.67,9.73,9.73,"667,700"
1,"Jan 01, 2022",9.71,9.75,9.68,9.69,9.69,"1,107,200"
2,"Dec 01, 2021",9.71,9.75,9.66,9.69,9.69,"893,700"
3,"Nov 01, 2021",9.72,9.75,9.70,9.75,9.75,"502,500"
4,"Oct 01, 2021",9.73,9.73,9.66,9.71,9.71,"363,100"
5,"Sep 01, 2021",9.63,9.74,9.63,9.73,9.73,"737,000"
6,"Aug 01, 2021",9.65,9.70,9.61,9.63,9.63,"737,700"
7,"Jul 01, 2021",9.67,9.81,9.62,9.64,9.64,"238,900"
8,"Jun 01, 2021",9.76,9.76,9.63,9.67,9.67,"428,600"
9,"May 01, 2021",9.81,9.85,9.61,9.73,9.73,"465,500"
10,"Apr 01, 2021",9.72,9.97,9.69,9.81,9.81,"306,700"
