,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",17.27,17.63,16.00,17.40,17.40,"331,918,300"
1,"Jan 28, 2022",0.27 Dividend,,,,,
2,"Jan 01, 2022",15.95,18.20,15.89,17.36,17.09,"366,541,600"
3,"Dec 01, 2021",15.79,16.39,15.01,15.86,15.62,"340,914,800"
4,"Nov 01, 2021",16.85,17.10,15.45,15.46,15.22,"295,476,500"
5,"Oct 29, 2021",0.27 Dividend,,,,,
6,"Oct 01, 2021",16.77,18.76,16.52,16.75,16.23,"348,707,100"
7,"Sep 01, 2021",16.28,17.21,15.47,16.73,16.22,"283,180,300"
8,"Aug 01, 2021",17.45,17.72,15.77,16.27,15.77,"284,006,600"
9,"Jul 30, 2021",0.27 Dividend,,,,,
10,"Jul 01, 2021",18.38,18.68,16.91,17.38,16.59,"270,173,000"
11,"Jun 01, 2021",18.57,19.29,17.65,18.23,17.40,"302,763,200"
12,"May 01, 2021",17.20,18.97,17.00,18.34,17.51,"328,821,900"
13,"Apr 29, 2021",0.27 Dividend,,,,,
14,"Apr 01, 2021",16.66,17.52,16.30,17.05,16.02,"300,551,000"
15,"Mar 01, 2021",14.86,16.87,14.86,16.65,15.65,"389,341,500"
16,"Feb 01, 2021",14.17,15.86,13.75,14.70,13.82,"317,944,900"
17,"Jan 29, 2021",0.263 Dividend,,,,,
18,"Jan 01, 2021",13.75,16.02,13.48,14.08,13.00,"371,599,300"
19,"Dec 01, 2020",14.67,15.10,13.47,13.67,12.62,"405,383,600"
20,"Nov 01, 2020",12.03,15.12,11.45,14.38,13.27,"379,896,900"
21,"Oct 30, 2020",0.263 Dividend,,,,,
22,"Oct 01, 2020",12.20,13.25,11.50,11.90,10.74,"339,671,900"
23,"Sep 01, 2020",13.78,13.98,11.97,12.33,11.13,"283,175,000"
24,"Aug 01, 2020",14.04,14.82,13.70,13.82,12.48,"243,014,200"
25,"Jul 31, 2020",0.263 Dividend,,,,,
26,"Jul 01, 2020",15.20,15.58,13.80,14.10,12.50,"271,371,500"
27,"Jun 01, 2020",15.77,17.97,14.37,15.17,13.45,"316,944,000"
28,"May 01, 2020",0.263 Dividend,,,,,
29,"May 01, 2020",14.85,16.12,14.16,15.80,13.76,"258,569,500"
30,"Apr 01, 2020",13.05,15.95,12.50,15.23,13.27,"377,998,200"
31,"Mar 01, 2020",19.36,20.69,9.42,13.92,12.12,"631,110,400"
32,"Feb 01, 2020",20.86,22.58,18.40,19.17,16.70,"274,747,200"
33,"Jan 31, 2020",0.25 Dividend,,,,,
34,"Jan 01, 2020",21.25,21.88,20.76,20.87,17.97,"292,591,400"
35,"Dec 01, 2019",19.61,21.36,19.13,21.17,18.22,"241,794,800"
36,"Nov 01, 2019",20.08,20.73,19.50,19.61,16.88,"260,508,100"
37,"Oct 30, 2019",0.25 Dividend,,,,,
38,"Oct 01, 2019",20.70,20.74,19.63,19.98,16.99,"245,958,100"
39,"Sep 01, 2019",20.06,20.99,19.90,20.61,17.52,"216,577,800"
40,"Aug 01, 2019",20.55,20.91,19.50,20.27,17.23,"318,351,700"
41,"Jul 30, 2019",0.25 Dividend,,,,,
42,"Jul 01, 2019",21.01,21.41,20.08,20.62,17.32,"259,590,800"
43,"Jun 01, 2019",20.07,21.50,19.90,20.88,17.54,"284,131,000"
44,"May 01, 2019",19.86,20.57,19.24,19.95,16.76,"298,997,700"
45,"Apr 29, 2019",0.25 Dividend,,,,,
46,"Apr 01, 2019",20.07,20.24,19.15,19.87,16.48,"283,124,700"
47,"Mar 01, 2019",19.20,20.44,19.19,20.01,16.60,"348,624,600"
48,"Feb 01, 2019",18.10,19.47,17.71,19.16,15.90,"262,107,600"
49,"Jan 30, 2019",0.2 Dividend,,,,,
50,"Jan 01, 2019",15.20,18.19,15.10,18.10,14.85,"372,277,100"
51,"Dec 01, 2018",17.22,17.44,14.62,15.38,12.62,"342,827,200"
52,"Nov 01, 2018",17.09,17.79,16.32,17.07,14.00,"285,768,100"
53,"Oct 30, 2018",0.2 Dividend,,,,,
54,"Oct 01, 2018",17.76,18.67,16.24,17.02,13.79,"410,740,900"
