,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 11, 2022",0.31 Dividend,,,,,
1,"Feb 01, 2022",53.00,55.15,48.27,53.47,53.15,"9,608,200"
2,"Jan 01, 2022",59.01,64.36,57.39,59.98,59.62,"6,840,400"
3,"Dec 01, 2021",56.13,59.94,51.39,58.79,58.44,"6,638,800"
4,"Nov 12, 2021",0.31 Dividend,,,,,
5,"Nov 01, 2021",61.89,65.06,54.89,55.32,54.71,"6,412,700"
6,"Oct 01, 2021",67.11,70.65,62.82,63.48,62.78,"5,285,900"
7,"Sep 01, 2021",68.94,69.21,63.37,66.79,66.06,"4,604,800"
8,"Aug 13, 2021",0.31 Dividend,,,,,
9,"Aug 01, 2021",66.16,70.44,60.94,68.60,67.53,"7,197,900"
10,"Jul 01, 2021",74.31,75.16,60.00,66.01,64.98,"4,569,500"
11,"Jun 01, 2021",75.35,75.55,69.54,73.90,72.75,"6,430,100"
12,"May 14, 2021",0.31 Dividend,,,,,
13,"May 01, 2021",78.63,80.78,73.79,74.87,73.41,"5,590,200"
14,"Apr 01, 2021",79.36,83.98,77.71,78.06,76.54,"4,338,100"
15,"Mar 01, 2021",76.64,83.75,75.68,79.72,78.17,"5,838,300"
16,"Feb 12, 2021",0.31 Dividend,,,,,
17,"Feb 01, 2021",70.79,79.11,66.91,75.62,73.84,"6,848,800"
18,"Jan 01, 2021",77.11,81.91,69.89,70.35,68.70,"4,184,600"
19,"Dec 01, 2020",76.41,79.64,74.71,76.83,75.03,"3,703,300"
20,"Nov 13, 2020",0.3 Dividend,,,,,
21,"Nov 01, 2020",62.63,78.46,62.44,74.95,72.87,"4,315,400"
22,"Oct 01, 2020",66.56,69.08,60.89,61.66,59.95,"4,366,900"
23,"Sep 01, 2020",77.37,79.33,64.21,66.83,64.97,"5,209,800"
24,"Aug 14, 2020",0.3 Dividend,,,,,
25,"Aug 01, 2020",78.95,85.70,77.25,77.66,75.23,"4,157,500"
26,"Jul 01, 2020",72.14,80.00,71.03,78.52,76.06,"5,752,000"
