,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",0.7750,0.8000,0.5400,0.5900,0.5900,"3,625,400"
1,"Jan 01, 2022",1.4000,1.4200,0.6300,0.7700,0.7700,"18,685,500"
2,"Dec 01, 2021",1.5200,1.7900,0.8000,1.5100,1.5100,"159,425,000"
3,"Nov 01, 2021",1.9300,2.1260,1.2830,1.5100,1.5100,"10,390,600"
4,"Oct 01, 2021",2.1100,2.3000,1.7300,1.9000,1.9000,"26,279,800"
5,"Sep 01, 2021",1.8800,2.3400,1.5700,2.2500,2.2500,"56,971,800"
6,"Aug 01, 2021",2.5900,2.8000,1.4400,1.8400,1.8400,"38,759,300"
7,"Jul 01, 2021",3.6800,6.4300,2.4800,2.5200,2.5200,"68,500,100"
8,"Jun 01, 2021",4.5600,5.0000,3.6200,3.6400,3.6400,"726,600"
9,"May 01, 2021",4.4900,5.0500,3.7300,4.3900,4.3900,"409,100"
10,"Apr 01, 2021",5.0700,5.2300,4.0100,4.2300,4.2300,"475,600"
11,"Mar 01, 2021",5.5800,6.1070,4.6000,4.9800,4.9800,"859,500"
12,"Feb 01, 2021",6.3100,7.8500,5.5150,5.5400,5.5400,"1,951,000"
13,"Jan 01, 2021",4.8500,7.1210,4.7870,6.3100,6.3100,"2,587,000"
14,"Dec 01, 2020",3.4000,8.1800,3.4000,4.9300,4.9300,"47,574,400"
15,"Nov 01, 2020",3.5100,3.6190,3.2000,3.3100,3.3100,"282,400"
16,"Oct 01, 2020",3.9500,4.1800,3.4500,3.5200,3.5200,"317,200"
17,"Sep 01, 2020",4.0000,4.1200,3.5070,3.9200,3.9200,"534,600"
18,"Aug 01, 2020",4.1200,6.5000,3.3500,4.0600,4.0600,"11,887,500"
19,"Jul 01, 2020",4.8100,5.3000,4.0400,4.0800,4.0800,"645,400"
20,"Jun 01, 2020",5.1000,5.7500,4.8000,4.8100,4.8100,"573,900"
21,"May 01, 2020",5.2200,5.7000,4.6210,5.1000,5.1000,"699,900"
22,"Apr 01, 2020",4.9200,6.2000,4.5300,5.2100,5.2100,"1,198,900"
23,"Mar 01, 2020",5.7500,6.6000,3.5000,5.2000,5.2000,"2,983,700"
24,"Feb 01, 2020",5.7400,7.9300,5.0500,5.7500,5.7500,"1,147,600"
