,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",0.0510,0.0590,0.0500,0.0510,0.0510,"652,800"
1,"Jan 01, 2022",0.0500,0.0590,0.0460,0.0550,0.0550,"1,221,000"
2,"Dec 01, 2021",0.0650,0.0650,0.0400,0.0580,0.0580,"5,365,800"
3,"Nov 01, 2021",0.0710,0.0800,0.0450,0.0650,0.0650,"4,669,900"
4,"Oct 01, 2021",0.0700,0.0950,0.0680,0.0800,0.0800,"1,934,200"
5,"Sep 01, 2021",0.0800,0.0900,0.0600,0.0700,0.0700,"3,613,700"
6,"Aug 01, 2021",0.0820,0.1100,0.0710,0.0820,0.0820,"1,789,000"
7,"Jul 01, 2021",0.1400,0.1520,0.0900,0.0930,0.0930,"2,732,600"
8,"Jun 01, 2021",0.1500,0.1590,0.1260,0.1300,0.1300,"2,790,700"
9,"May 01, 2021",0.1320,0.1500,0.1120,0.1400,0.1400,"3,339,200"
10,"Apr 01, 2021",0.1700,0.1850,0.1300,0.1350,0.1350,"2,682,200"
11,"Mar 01, 2021",0.1890,0.1890,0.1300,0.1500,0.1500,"4,592,600"
12,"Feb 01, 2021",0.1620,0.3000,0.1400,0.1880,0.1880,"16,236,600"
13,"Jan 01, 2021",0.1370,0.1800,0.1250,0.1500,0.1500,"6,885,700"
14,"Dec 01, 2020",0.1540,0.1800,0.1050,0.1370,0.1370,"9,603,600"
15,"Nov 01, 2020",0.0620,0.1700,0.0550,0.1360,0.1360,"7,392,200"
16,"Oct 01, 2020",0.0610,0.0690,0.0500,0.0590,0.0590,"2,726,800"
17,"Sep 01, 2020",0.0610,0.0750,0.0500,0.0600,0.0600,"3,483,000"
18,"Aug 01, 2020",0.0720,0.0790,0.0600,0.0660,0.0660,"3,576,800"
19,"Jul 01, 2020",0.0790,0.0800,0.0700,0.0720,0.0720,"2,326,500"
20,"Jun 01, 2020",0.0800,0.0880,0.0660,0.0790,0.0790,"4,653,700"
21,"May 01, 2020",0.0850,0.0900,0.0690,0.0850,0.0850,"5,318,400"
22,"Apr 01, 2020",0.0850,0.0950,0.0750,0.0830,0.0830,"4,228,900"
23,"Mar 01, 2020",0.0970,0.1210,0.0580,0.0850,0.0850,"7,282,700"
24,"Feb 01, 2020",0.1230,0.1370,0.0810,0.1000,0.1000,"5,403,100"
25,"Jan 01, 2020",0.1200,0.1450,0.1100,0.1250,0.1250,"4,018,800"
26,"Dec 01, 2019",0.1600,0.1600,0.1020,0.1150,0.1150,"5,488,200"
27,"Nov 01, 2019",0.1550,0.1700,0.1300,0.1530,0.1530,"4,617,600"
28,"Oct 01, 2019",0.1150,0.2300,0.0820,0.1550,0.1550,"17,723,500"
29,"Sep 01, 2019",0.1220,0.1890,0.1110,0.1200,0.1200,"14,599,600"
30,"Aug 01, 2019",0.2900,0.2900,0.1060,0.1220,0.1220,"45,930,600"
31,"Jul 01, 2019",0.8500,0.8500,0.2420,0.2740,0.2740,"12,781,700"
32,"Jun 01, 2019",0.8000,0.9200,0.7400,0.7900,0.7900,"2,058,000"
33,"May 01, 2019",1.0400,1.0900,0.7900,0.8500,0.8500,"4,288,600"
34,"Apr 01, 2019",1.2250,1.2800,0.9500,1.0300,1.0300,"4,004,900"
35,"Mar 01, 2019",1.6400,1.6400,1.1500,1.2100,1.2100,"5,073,000"
36,"Feb 01, 2019",0.9100,1.7300,0.9100,1.5800,1.5800,"16,086,300"
37,"Jan 01, 2019",0.4800,0.9500,0.4400,0.8900,0.8900,"10,225,800"
38,"Dec 01, 2018",0.7100,0.7400,0.4260,0.4500,0.4500,"2,617,400"
39,"Nov 01, 2018",0.9600,1.0400,0.6500,0.7200,0.7200,"3,503,000"
40,"Oct 01, 2018",2.1200,2.3300,0.7800,0.9200,0.9200,"12,202,400"
41,"Sep 01, 2018",1.0600,2.4000,0.5510,1.8800,1.8800,"12,697,500"
42,"Aug 01, 2018",1.1500,1.2300,0.9000,1.0500,1.0500,"4,469,300"
43,"Jul 01, 2018",1.1600,1.2800,1.1100,1.1500,1.1500,"3,473,200"
44,"Jun 01, 2018",1.2800,1.4800,1.1100,1.1800,1.1800,"4,217,500"
45,"May 01, 2018",1.5500,1.5700,1.1500,1.2700,1.2700,"3,173,500"
46,"Apr 01, 2018",1.3500,1.8500,1.3400,1.5500,1.5500,"4,758,000"
47,"Mar 01, 2018",1.8500,1.8500,1.1600,1.3400,1.3400,"2,913,000"
48,"Feb 01, 2018",1.9500,2.2300,1.5700,1.8300,1.8300,"3,908,400"
49,"Jan 01, 2018",1.8300,3.1500,1.7980,1.9600,1.9600,"10,088,900"
50,"Dec 01, 2017",1.0200,1.8200,0.8610,1.7800,1.7800,"4,498,600"
51,"Nov 01, 2017",1.1600,1.3400,0.9000,1.0400,1.0400,"3,106,300"
52,"Oct 01, 2017",2.3800,2.4000,1.1200,1.1300,1.1300,"5,337,300"
53,"Sep 01, 2017",2.6200,3.1500,2.2000,2.2800,2.2800,"4,053,600"
54,"Aug 01, 2017",1.5450,3.8200,1.5200,2.5600,2.5600,"8,723,300"
55,"Jul 01, 2017",1.0600,1.6700,1.0000,1.5000,1.5000,"1,736,400"
56,"Jun 01, 2017",1.0500,1.3000,0.9700,1.0500,1.0500,"115,000"
57,"May 05, 2017",92500:10000 Stock Split,,,,,
58,"May 01, 2017",1.1459,2.1622,0.7568,1.0500,1.0500,"44,975"
59,"Apr 01, 2017",0.7568,0.9200,0.7568,0.9189,0.9189,"4,625"
