,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",0.9100,1.1500,0.7160,0.8320,0.8320,"5,361,300"
1,"Jan 01, 2022",1.3500,1.4400,0.8690,0.9370,0.9370,"4,730,000"
2,"Dec 01, 2021",2.0140,2.0300,1.1700,1.3200,1.3200,"5,712,700"
3,"Nov 01, 2021",2.0500,2.3690,1.8000,2.0400,2.0400,"18,744,700"
4,"Oct 01, 2021",1.2500,2.4400,1.2500,2.0000,2.0000,"34,387,600"
5,"Sep 01, 2021",1.4000,1.5600,1.1300,1.2700,1.2700,"13,229,400"
6,"Aug 01, 2021",2.0000,2.1100,1.3310,1.3900,1.3900,"17,069,700"
7,"Jul 01, 2021",2.0600,2.4200,1.9200,1.9800,1.9800,"16,135,100"
8,"Jun 01, 2021",2.3500,2.6700,1.9600,2.0800,2.0800,"23,380,000"
9,"May 01, 2021",2.6300,2.7400,1.8600,2.3400,2.3400,"25,961,000"
10,"Apr 01, 2021",4.3700,4.3750,2.2000,2.6200,2.6200,"77,410,700"
11,"Mar 01, 2021",3.5530,5.2400,2.2500,4.4200,4.4200,"172,885,000"
12,"Feb 01, 2021",3.4800,6.3000,3.0100,3.1200,3.1200,"90,501,000"
13,"Jan 01, 2021",1.9300,5.3900,1.8000,3.6000,3.6000,"46,021,000"
14,"Dec 01, 2020",2.5000,2.6500,1.8800,1.9300,1.9300,"3,016,900"
15,"Nov 01, 2020",2.3430,3.3700,2.1200,2.5500,2.5500,"1,847,200"
16,"Oct 01, 2020",2.2200,3.1400,2.1000,2.2700,2.2700,"1,960,500"
17,"Sep 01, 2020",2.7100,2.9600,2.1300,2.2500,2.2500,"1,160,100"
18,"Aug 01, 2020",3.7700,4.2710,2.3600,2.7100,2.7100,"3,585,700"
19,"Jul 01, 2020",2.7500,8.9300,2.1150,3.8100,3.8100,"38,590,400"
20,"Jun 01, 2020",7.5800,11.7700,1.7450,3.0500,3.0500,"3,625,100"
21,"May 01, 2020",10.1800,10.3490,7.3600,7.7800,7.7800,"1,963,100"
22,"Apr 01, 2020",9.9000,10.4230,9.9000,10.1800,10.1800,"580,800"
23,"Mar 01, 2020",10.1300,10.1400,9.7000,10.0800,10.0800,"2,089,500"
24,"Feb 01, 2020",10.1350,10.1500,10.0800,10.1300,10.1300,"47,800"
25,"Jan 01, 2020",10.0600,10.1500,10.0200,10.1350,10.1350,"85,900"
26,"Dec 01, 2019",10.0400,10.0800,10.0000,10.0600,10.0600,"253,900"
27,"Nov 01, 2019",10.0000,10.0200,9.9500,10.0200,10.0200,"328,900"
28,"Oct 01, 2019",9.9100,10.0200,9.8600,10.0000,10.0000,"1,115,300"
29,"Sep 01, 2019",9.8800,9.9700,9.8700,9.9100,9.9100,"252,400"
30,"Aug 01, 2019",10.1000,10.1000,9.8200,9.9000,9.9000,"455,700"
31,"Jul 01, 2019",9.7400,10.1100,9.7400,9.8800,9.8800,"1,278,100"
32,"Jun 01, 2019",10.0000,10.7500,9.6100,9.7410,9.7410,"1,468,500"
