,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",238.45,240.71,206.24,219.18,219.18,"64,054,500"
1,"Jan 18, 2022",0.8 Dividend,,,,,
2,"Jan 01, 2022",259.20,260.83,220.20,237.35,236.57,"84,263,000"
3,"Dec 01, 2021",248.30,263.31,242.30,258.48,257.63,"75,576,200"
4,"Nov 01, 2021",235.00,256.39,230.21,244.59,243.79,"67,135,200"
5,"Oct 19, 2021",0.8 Dividend,,,,,
6,"Oct 01, 2021",203.73,234.96,201.58,233.82,232.21,"63,768,000"
7,"Sep 01, 2021",204.55,212.25,201.48,202.86,201.46,"64,883,400"
8,"Aug 01, 2021",193.81,209.49,182.08,203.89,202.49,"92,311,500"
9,"Jul 20, 2021",0.8 Dividend,,,,,
10,"Jul 01, 2021",194.50,201.42,190.04,192.69,190.57,"66,190,800"
11,"Jun 01, 2021",195.00,196.10,184.46,193.97,191.84,"84,601,100"
12,"May 01, 2021",198.75,215.22,186.38,194.83,192.69,"89,800,200"
13,"Apr 20, 2021",0.6 Dividend,,,,,
14,"Apr 01, 2021",191.20,208.98,189.69,196.25,193.52,"75,171,000"
15,"Mar 01, 2021",160.76,192.91,150.84,190.18,187.53,"102,104,800"
16,"Feb 01, 2021",167.12,179.46,157.95,159.75,157.53,"71,474,000"
17,"Jan 19, 2021",0.6 Dividend,,,,,
18,"Jan 01, 2021",160.77,175.15,157.13,166.85,163.95,"81,117,500"
19,"Dec 01, 2020",155.82,166.19,149.31,160.51,157.72,"112,753,000"
20,"Nov 01, 2020",159.89,173.56,146.72,155.82,153.11,"119,732,000"
21,"Oct 20, 2020",0.6 Dividend,,,,,
22,"Oct 01, 2020",167.34,180.67,155.77,158.10,154.82,"76,284,400"
23,"Sep 01, 2020",164.41,171.72,151.89,165.86,162.42,"86,104,100"
24,"Aug 01, 2020",149.90,171.32,148.71,164.69,161.28,"84,474,800"
25,"Jul 21, 2020",0.55 Dividend,,,,,
26,"Jul 01, 2020",135.40,149.92,134.05,148.91,145.27,"77,540,100"
27,"Jun 01, 2020",129.89,137.29,123.09,135.12,131.81,"108,753,500"
28,"May 01, 2020",102.50,131.40,102.31,130.35,127.16,"134,518,500"
29,"Apr 21, 2020",0.55 Dividend,,,,,
30,"Apr 01, 2020",80.74,107.80,79.08,104.75,101.60,"132,098,400"
31,"Mar 01, 2020",107.20,113.55,60.00,86.05,83.46,"202,085,300"
32,"Feb 01, 2020",117.00,126.73,102.93,106.57,103.36,"87,816,100"
33,"Jan 21, 2020",0.55 Dividend,,,,,
34,"Jan 01, 2020",120.05,123.14,116.09,116.24,112.23,"76,244,300"
35,"Dec 01, 2019",117.60,121.46,113.61,119.76,115.63,"66,612,000"
36,"Nov 01, 2019",111.92,121.22,110.15,117.31,113.27,"86,957,200"
37,"Oct 22, 2019",0.55 Dividend,,,,,
38,"Oct 01, 2019",110.09,113.81,104.59,111.61,107.23,"75,839,900"
39,"Sep 01, 2019",111.37,115.96,108.81,109.96,105.65,"74,933,600"
40,"Aug 01, 2019",101.74,113.24,91.82,112.20,107.80,"125,947,700"
41,"Jul 23, 2019",0.55 Dividend,,,,,
42,"Jul 01, 2019",102.10,108.31,100.84,101.40,96.90,"92,408,500"
43,"Jun 01, 2019",93.03,102.96,92.90,100.91,96.43,"95,671,900"
44,"May 01, 2019",113.04,113.13,91.60,93.28,89.14,"132,427,600"
45,"Apr 23, 2019",0.48 Dividend,,,,,
46,"Apr 01, 2019",110.21,118.23,105.84,113.14,107.66,"86,340,500"
47,"Mar 01, 2019",105.90,109.94,97.55,109.47,104.17,"99,741,000"
48,"Feb 01, 2019",96.21,109.92,95.84,105.09,100.00,"88,244,000"
49,"Jan 22, 2019",0.48 Dividend,,,,,
50,"Jan 01, 2019",91.22,98.22,90.23,96.16,91.04,"98,822,400"
51,"Dec 01, 2018",95.49,96.06,85.90,92.36,87.44,"106,725,000"
52,"Nov 01, 2018",95.29,100.69,84.75,94.37,89.35,"114,556,600"
53,"Oct 23, 2018",0.48 Dividend,,,,,
54,"Oct 01, 2018",115.58,115.63,91.61,95.22,89.71,"117,775,300"
55,"Sep 01, 2018",108.39,117.70,108.03,114.82,108.18,"94,437,200"
56,"Aug 01, 2018",98.99,109.80,96.24,108.75,102.46,"107,517,700"
57,"Jul 24, 2018",0.48 Dividend,,,,,
58,"Jul 01, 2018",95.36,101.98,93.96,99.34,93.15,"76,344,400"
59,"Jun 01, 2018",95.44,101.33,95.16,95.57,89.62,"91,697,700"
60,"May 01, 2018",81.75,97.98,81.16,95.01,89.09,"143,773,800"
61,"Apr 24, 2018",0.41 Dividend,,,,,
62,"Apr 01, 2018",87.35,89.15,81.31,82.43,76.92,"132,443,800"
63,"Mar 01, 2018",89.57,90.33,83.74,87.75,81.88,"170,855,700"
64,"Feb 01, 2018",103.84,105.08,86.75,89.59,83.60,"151,269,400"
65,"Jan 23, 2018",0.41 Dividend,,,,,
66,"Jan 01, 2018",93.02,108.98,91.17,104.73,97.35,"128,537,300"
67,"Dec 01, 2017",83.24,93.55,82.12,92.94,86.39,"131,002,100"
68,"Nov 01, 2017",79.62,84.68,75.36,83.37,77.50,"142,241,900"
69,"Oct 24, 2017",0.41 Dividend,,,,,
70,"Oct 01, 2017",80.04,82.74,79.40,79.95,73.94,"110,493,800"
71,"Sep 01, 2017",74.19,80.15,73.72,79.94,73.93,"145,099,700"
72,"Aug 01, 2017",77.27,78.91,70.76,73.89,68.34,"149,943,300"
73,"Jul 24, 2017",0.41 Dividend,,,,,
74,"Jul 01, 2017",78.00,78.45,71.58,77.40,71.18,"122,500,900"
75,"Jun 01, 2017",78.77,81.45,75.79,77.53,71.30,"131,718,300"
76,"May 01, 2017",84.84,86.25,78.10,78.77,72.44,"136,012,800"
