,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",0.2000,0.3000,0.1600,0.1999,0.1999,"807,349"
1,"Jan 01, 2022",0.2399,0.2600,0.1300,0.1800,0.1800,"803,338"
2,"Dec 01, 2021",0.5100,0.5200,0.1910,0.2350,0.2350,"1,419,252"
3,"Nov 01, 2021",0.5250,0.5900,0.4300,0.4700,0.4700,"587,127"
4,"Oct 01, 2021",0.6000,0.8500,0.4800,0.5099,0.5099,"1,160,477"
5,"Sep 01, 2021",0.8800,0.8990,0.4800,0.6150,0.6150,"1,309,361"
6,"Aug 01, 2021",1.0600,1.0600,0.6600,0.8520,0.8520,"304,810"
7,"Jul 01, 2021",1:10000 Stock Split,,,,,
8,"Jul 01, 2021",5.0000,5.9900,1.0000,1.0300,1.0300,"1,037,499"
9,"Jun 01, 2021",7.0000,8.0000,5.0000,6.0000,6.0000,"595,286"
10,"May 01, 2021",16.0000,17.0000,7.0000,8.0000,8.0000,"381,861"
11,"Apr 01, 2021",25.0000,28.0000,12.0000,16.0000,16.0000,"858,577"
12,"Mar 01, 2021",25.0000,36.0000,11.0000,23.0000,23.0000,"1,278,072"
13,"Feb 01, 2021",9.0000,249.0000,9.0000,23.5000,23.5000,"1,045,181"
14,"Jan 01, 2021",1.0000,21.0000,1.0000,8.0000,8.0000,"543,812"
15,"Dec 01, 2020",2.0000,3.0000,0.8000,1.0000,1.0000,"372,762"
16,"Nov 01, 2020",1.0000,2.0000,0.5000,2.0000,2.0000,"35,042"
17,"Oct 01, 2020",1.0000,1.0000,0.5000,1.0000,1.0000,"22,998"
18,"Sep 01, 2020",1.0000,2.0000,0.5000,0.5000,0.5000,"83,523"
19,"Aug 01, 2020",1.0000,2.0000,0.5000,1.5000,1.5000,"195,749"
20,"Jul 01, 2020",1.0000,2.0000,0.5000,0.5000,0.5000,"30,017"
21,"Jun 01, 2020",2.0000,2.0000,0.4000,1.0000,1.0000,"50,555"
22,"May 01, 2020",1.0000,1.0000,0.3000,1.0000,1.0000,"14,634"
23,"Apr 01, 2020",1.0000,1.0000,0.5000,1.0000,1.0000,"39,788"
24,"Mar 01, 2020",1.0000,2.0000,0.1000,0.7000,0.7000,"57,326"
25,"Feb 01, 2020",1.0000,1.5000,0.1000,1.0000,1.0000,"29,447"
26,"Jan 01, 2020",1.0000,2.0000,0.5000,1.0000,1.0000,"107,546"
27,"Dec 01, 2019",1.0000,2.0000,0.5000,1.0000,1.0000,"98,897"
28,"Nov 01, 2019",2.0000,2.0000,0.4000,1.0000,1.0000,"178,814"
29,"Oct 01, 2019",2.0000,2.0000,0.5000,2.0000,2.0000,"217,704"
30,"Sep 01, 2019",3.0000,3.0000,0.9000,2.0000,2.0000,"198,210"
31,"Aug 01, 2019",8.0000,8.0000,1.9000,3.0000,3.0000,"135,499"
32,"Jul 01, 2019",35.5000,50.0000,5.0000,8.0000,8.0000,"55,955"
33,"Jun 01, 2019",120.0000,160.0000,27.2000,35.0000,35.0000,"5,690"
34,"May 01, 2019",180.0000,250.0000,85.0000,122.5000,122.5000,"1,834"
35,"Apr 01, 2019",390.0000,420.0000,111.0000,171.0000,171.0000,"1,105"
36,"Mar 01, 2019",460.0000,530.0000,250.0000,390.0000,390.0000,654
37,"Feb 01, 2019",769.0000,"1,000.0000",400.0000,499.0000,499.0000,929
38,"Jan 01, 2019",912.5000,"2,380.0000",500.0000,750.0000,750.0000,"1,169"
39,"Dec 01, 2018",925.0000,"1,050.0000",510.0000,912.5000,912.5000,178
40,"Nov 15, 2018",1:100 Stock Split,,,,,
41,"Nov 01, 2018","2,000.0000","4,000.0000",569.0000,"1,000.0000","1,000.0000",212
42,"Oct 01, 2018","2,000.0000","2,000.0000","1,200.0000","1,850.0000","1,850.0000",299
43,"Sep 01, 2018","2,000.0000","4,800.0000","1,100.0000","1,750.0000","1,750.0000",974
44,"Aug 01, 2018","3,400.0000","3,900.0000","1,500.0000","2,000.0000","2,000.0000",485
45,"Jul 01, 2018","4,050.0000","4,300.0000","3,000.0000","3,400.0000","3,400.0000",169
46,"Jun 01, 2018","4,300.0000","4,500.0000","3,500.0000","3,990.0000","3,990.0000",207
47,"May 01, 2018","3,200.0000","5,200.0000","2,900.0000","4,200.0000","4,200.0000",503
48,"Apr 01, 2018","3,700.0000","5,500.0000","2,400.0000","3,100.0000","3,100.0000",698
49,"Mar 01, 2018","5,900.0000","6,800.0000","3,000.0000","3,300.0000","3,300.0000",519
50,"Feb 01, 2018","5,500.0000","7,600.0000","3,900.0000","5,900.0000","5,900.0000",238
51,"Jan 01, 2018","7,900.0000","8,400.0000","3,600.0000","5,500.0000","5,500.0000",257
52,"Dec 01, 2017","10,800.0000","12,500.0000","7,200.0000","7,900.0000","7,900.0000",180
53,"Nov 01, 2017","14,200.0000","18,200.0000","9,800.0000","10,800.0000","10,800.0000",162
54,"Oct 01, 2017","11,900.0000","18,000.0000","10,100.0000","13,900.0000","13,900.0000",115
55,"Sep 01, 2017","20,650.0000","20,800.0000","9,500.0000","11,900.0000","11,900.0000",164
56,"Aug 01, 2017","8,100.0000","24,900.0000","7,600.0000","20,700.0000","20,700.0000",320
57,"Jul 01, 2017","7,700.0000","9,700.0000","6,000.0000","7,900.0000","7,900.0000",116
