,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",55.64,64.95,53.81,64.55,64.55,"6,708,300"
1,"Jan 01, 2022",62.31,64.41,51.66,55.45,55.45,"4,556,200"
2,"Dec 01, 2021",63.34,67.86,58.12,62.30,62.30,"8,695,400"
3,"Nov 01, 2021",67.37,70.25,62.02,62.86,62.86,"5,124,800"
4,"Oct 01, 2021",71.95,73.44,66.35,67.26,67.26,"6,481,000"
5,"Sep 01, 2021",71.78,73.85,69.31,71.80,71.80,"4,614,900"
6,"Aug 01, 2021",70.55,72.38,64.70,71.77,71.77,"5,033,000"
7,"Jul 01, 2021",64.67,70.90,58.87,70.09,70.09,"4,770,800"
8,"Jun 01, 2021",60.51,65.13,58.55,64.66,64.66,"6,329,000"
9,"May 01, 2021",63.72,65.46,58.29,60.34,60.34,"5,100,900"
10,"Apr 01, 2021",59.94,65.16,58.85,63.60,63.60,"4,736,800"
11,"Mar 01, 2021",56.37,61.74,52.43,59.88,59.88,"7,888,800"
12,"Feb 01, 2021",54.41,61.23,52.85,55.72,55.72,"4,797,500"
13,"Jan 01, 2021",55.61,60.27,53.74,54.15,54.15,"5,524,300"
14,"Dec 01, 2020",55.23,58.70,52.52,55.51,55.51,"8,556,800"
15,"Nov 01, 2020",50.15,56.11,48.58,55.07,55.07,"7,539,900"
16,"Oct 01, 2020",43.86,54.17,41.57,50.05,50.05,"8,290,700"
17,"Sep 01, 2020",49.33,50.38,39.45,43.50,43.50,"10,405,900"
18,"Aug 01, 2020",45.03,50.09,41.33,49.10,49.10,"6,833,400"
19,"Jul 01, 2020",45.59,47.99,40.50,44.72,44.72,"8,411,400"
20,"Jun 01, 2020",45.33,46.27,40.39,45.65,45.65,"9,573,800"
21,"May 01, 2020",39.86,46.00,37.47,44.99,44.99,"8,394,500"
22,"Apr 01, 2020",30.08,43.00,28.06,40.82,40.82,"11,174,700"
23,"Mar 01, 2020",36.36,38.75,25.18,31.25,31.25,"16,411,600"
24,"Feb 01, 2020",38.49,43.44,35.02,36.01,36.01,"9,628,100"
25,"Jan 01, 2020",31.41,39.88,30.56,36.42,36.42,"17,218,500"
26,"Dec 01, 2019",27.90,32.38,27.39,31.22,31.22,"22,996,300"
27,"Nov 01, 2019",20.81,28.42,20.66,28.00,28.00,"15,079,800"
28,"Oct 01, 2019",30.35,31.17,19.50,20.66,20.66,"18,605,900"
29,"Sep 01, 2019",34.57,34.71,25.67,30.46,30.46,"25,556,900"
30,"Aug 01, 2019",40.06,41.47,33.81,34.78,34.78,"14,696,700"
31,"Jul 01, 2019",60.00,60.50,38.80,39.46,39.46,"16,402,500"
32,"Jun 01, 2019",52.00,61.93,51.35,59.56,59.56,"7,414,300"
33,"May 01, 2019",56.30,59.30,50.53,51.63,51.63,"7,898,800"
34,"Apr 01, 2019",62.49,63.64,52.39,56.18,56.18,"9,291,800"
35,"Mar 01, 2019",55.53,61.93,55.11,61.83,61.83,"9,059,600"
36,"Feb 01, 2019",56.32,63.25,54.07,55.73,55.73,"5,828,100"
37,"Jan 01, 2019",54.88,57.18,50.43,56.53,56.53,"7,368,100"
38,"Dec 01, 2018",64.03,64.03,49.40,55.81,55.81,"6,624,100"
39,"Nov 01, 2018",57.46,63.44,57.16,63.05,63.05,"6,319,300"
40,"Oct 01, 2018",61.44,66.34,56.20,57.12,57.12,"13,263,200"
41,"Sep 01, 2018",58.90,63.20,58.10,61.45,61.45,"7,196,300"
42,"Aug 01, 2018",54.30,59.00,49.95,58.85,58.85,"5,970,200"
43,"Jul 01, 2018",51.55,61.18,51.35,54.30,54.30,"11,766,300"
44,"Jun 01, 2018",50.35,53.10,47.30,51.20,51.20,"8,823,600"
45,"May 01, 2018",48.45,55.50,47.35,51.30,51.30,"9,706,900"
46,"Apr 01, 2018",44.80,49.00,43.95,48.50,48.50,"8,211,300"
47,"Mar 01, 2018",46.40,49.50,43.05,45.35,45.35,"8,773,900"
48,"Feb 01, 2018",46.10,47.90,41.55,45.50,45.50,"5,208,600"
49,"Jan 01, 2018",42.95,48.10,42.90,46.45,46.45,"5,812,100"
50,"Dec 01, 2017",43.50,45.90,41.25,43.20,43.20,"6,251,600"
51,"Nov 01, 2017",38.15,45.15,36.21,43.45,43.45,"7,149,600"
52,"Oct 01, 2017",42.55,45.50,36.55,38.05,38.05,"11,979,800"
53,"Sep 01, 2017",41.35,42.60,39.46,42.35,42.35,"5,984,800"
54,"Aug 01, 2017",41.45,42.60,37.80,41.30,41.30,"6,535,300"
55,"Jul 01, 2017",38.25,42.25,36.25,41.00,41.00,"10,582,500"
56,"Jun 01, 2017",35.55,38.55,34.05,38.15,38.15,"8,441,700"
57,"May 01, 2017",34.00,35.60,32.65,35.50,35.50,"6,873,000"
58,"Apr 01, 2017",28.90,34.20,28.00,33.70,33.70,"8,753,600"
59,"Mar 01, 2017",31.30,31.70,27.65,28.90,28.90,"11,559,800"
60,"Feb 01, 2017",25.60,31.10,25.45,30.80,30.80,"6,510,400"
61,"Jan 01, 2017",26.50,26.90,24.23,25.40,25.40,"5,218,400"
62,"Dec 01, 2016",23.60,26.85,23.55,26.50,26.50,"6,011,900"
63,"Nov 01, 2016",21.90,24.50,20.70,23.55,23.55,"5,425,900"
64,"Oct 01, 2016",24.14,25.10,21.60,21.95,21.95,"4,858,300"
65,"Sep 01, 2016",24.29,25.08,23.38,24.29,24.29,"4,831,900"
66,"Aug 01, 2016",23.29,24.52,22.87,24.24,24.24,"5,121,000"
67,"Jul 01, 2016",19.83,23.90,19.61,23.44,23.44,"7,456,300"
68,"Jun 01, 2016",18.66,20.00,18.22,19.83,19.83,"4,548,500"
69,"May 01, 2016",20.35,20.56,18.30,18.77,18.77,"5,065,600"
70,"Apr 01, 2016",18.42,20.59,17.94,20.25,20.25,"5,321,200"
71,"Mar 01, 2016",18.86,19.45,17.13,18.49,18.49,"4,042,600"
72,"Feb 01, 2016",16.50,19.49,15.57,18.81,18.81,"5,201,500"
73,"Jan 01, 2016",18.22,18.83,15.47,16.55,16.55,"5,223,600"
74,"Dec 01, 2015",19.47,19.86,17.93,18.59,18.59,"5,628,800"
75,"Nov 01, 2015",18.62,19.56,17.60,19.37,19.37,"8,791,800"
76,"Oct 01, 2015",23.85,25.50,17.68,18.54,18.54,"12,733,500"
77,"Sep 01, 2015",22.44,25.06,22.12,23.91,23.91,"7,202,100"
78,"Aug 01, 2015",25.54,25.94,21.00,22.75,22.75,"6,950,500"
79,"Jul 01, 2015",21.70,26.42,21.05,25.56,25.56,"8,234,000"
80,"Jun 01, 2015",20.75,22.15,20.14,21.54,21.54,"5,502,100"
81,"May 01, 2015",19.54,21.10,19.40,20.56,20.56,"6,485,500"
82,"Apr 01, 2015",19.18,21.59,18.28,19.41,19.41,"7,187,500"
83,"Mar 01, 2015",19.64,19.91,18.50,19.25,19.25,"5,472,200"
84,"Feb 01, 2015",16.00,19.96,15.82,19.61,19.61,"5,391,900"
85,"Jan 01, 2015",17.44,17.62,15.20,15.33,15.33,"5,509,900"
86,"Dec 01, 2014",14.73,17.69,13.88,17.33,17.33,"4,947,900"
87,"Nov 01, 2014",15.12,15.58,14.45,14.80,14.80,"2,951,700"
88,"Oct 01, 2014",11.82,15.85,11.61,15.15,15.15,"5,830,300"
89,"Sep 01, 2014",12.55,12.94,11.87,11.88,11.88,"3,360,300"
90,"Aug 01, 2014",12.85,12.98,12.07,12.51,12.51,"3,724,700"
91,"Jul 01, 2014",15.18,15.77,11.41,12.84,12.84,"6,058,000"
92,"Jun 01, 2014",14.03,16.76,13.72,15.10,15.10,"5,729,400"
93,"May 01, 2014",12.87,14.29,12.54,14.03,14.03,"4,429,800"
94,"Apr 01, 2014",14.36,15.00,12.45,12.87,12.87,"4,328,600"
95,"Mar 01, 2014",14.89,15.77,13.75,14.30,14.30,"3,590,000"
96,"Feb 01, 2014",14.26,16.49,13.25,15.09,15.09,"4,065,700"
97,"Jan 01, 2014",15.63,15.87,14.29,14.37,14.37,"3,404,300"
98,"Dec 01, 2013",16.32,16.40,14.65,15.74,15.74,"2,751,800"
99,"Nov 01, 2013",15.97,16.60,15.39,16.37,16.37,"3,236,000"
100,"Oct 01, 2013",12.12,17.08,12.12,15.99,15.99,"7,246,300"
101,"Sep 01, 2013",12.96,13.14,12.01,12.13,12.13,"2,837,000"
102,"Aug 01, 2013",13.28,14.30,12.52,12.80,12.80,"4,126,200"
103,"Jul 01, 2013",11.20,13.21,11.15,13.14,13.14,"4,114,600"
104,"Jun 01, 2013",9.90,11.57,9.78,11.15,11.15,"4,509,900"
105,"May 01, 2013",9.67,10.48,9.52,9.87,9.87,"4,472,200"
106,"Apr 01, 2013",12.20,12.36,9.15,9.67,9.67,"6,868,900"
107,"Mar 01, 2013",11.80,12.63,11.71,12.26,12.26,"3,905,100"
108,"Feb 01, 2013",13.92,14.20,10.10,11.92,11.92,"5,827,600"
109,"Jan 01, 2013",14.10,14.35,13.58,13.87,13.87,"2,397,300"
110,"Dec 01, 2012",13.93,13.98,13.13,13.90,13.90,"2,706,500"
111,"Nov 01, 2012",14.50,14.57,12.67,13.87,13.87,"3,172,500"
112,"Oct 01, 2012",14.98,15.24,13.89,14.46,14.46,"2,799,800"
113,"Sep 01, 2012",14.28,15.37,13.00,14.93,14.93,"4,032,200"
114,"Aug 01, 2012",13.57,14.50,13.35,14.25,14.25,"3,147,800"
115,"Jul 01, 2012",13.78,14.48,12.20,13.51,13.51,"3,209,400"
116,"Jun 01, 2012",12.76,13.85,12.21,13.81,13.81,"4,825,300"
117,"May 01, 2012",13.24,13.60,12.66,13.00,13.00,"4,897,700"
