,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 03, 2022",0.705 Dividend,,,,,
1,"Feb 01, 2022",32.96,34.41,30.29,32.78,32.10,"52,122,900"
2,"Jan 01, 2022",29.75,32.98,29.59,32.82,32.14,"42,488,700"
3,"Dec 01, 2021",29.72,30.26,27.65,29.59,28.97,"42,970,100"
4,"Nov 10, 2021",1.28 Dividend,,,,,
5,"Nov 01, 2021",30.30,32.26,29.07,29.31,27.55,"49,927,000"
6,"Oct 01, 2021",28.60,31.53,28.53,30.12,28.31,"37,668,800"
7,"Sep 01, 2021",28.19,29.53,27.43,28.47,26.76,"42,192,500"
8,"Aug 05, 2021",0.688 Dividend,,,,,
9,"Aug 01, 2021",28.52,28.98,26.80,28.12,25.79,"41,259,400"
10,"Jul 01, 2021",29.99,30.10,26.01,28.38,26.02,"39,094,100"
11,"Jun 01, 2021",28.99,31.40,28.41,29.61,27.15,"50,082,500"
12,"May 06, 2021",0.688 Dividend,,,,,
13,"May 01, 2021",27.42,29.87,26.92,28.63,25.62,"48,180,500"
14,"Apr 01, 2021",25.74,27.67,25.63,26.99,24.15,"40,662,000"
15,"Mar 01, 2021",24.28,26.73,24.17,25.63,22.94,"61,122,100"
16,"Feb 05, 2021",0.688 Dividend,,,,,
17,"Feb 01, 2021",23.63,25.21,23.06,23.81,20.70,"50,663,300"
18,"Jan 01, 2021",22.13,25.29,21.66,23.11,20.09,"46,637,600"
19,"Dec 01, 2020",21.30,23.94,21.03,21.65,18.82,"54,467,400"
20,"Nov 05, 2020",0.688 Dividend,,,,,
21,"Nov 01, 2020",17.62,22.95,17.32,21.04,17.61,"57,187,100"
22,"Oct 01, 2020",15.71,17.80,15.05,17.21,14.41,"48,555,500"
23,"Sep 01, 2020",18.10,18.23,15.17,15.74,13.18,"64,660,700"
24,"Aug 06, 2020",0.688 Dividend,,,,,
25,"Aug 01, 2020",18.93,20.15,17.58,18.27,14.75,"57,609,100"
26,"Jul 01, 2020",17.18,19.12,16.85,18.27,14.75,"59,902,400"
27,"Jun 01, 2020",19.00,21.93,16.59,17.28,13.95,"74,440,800"
28,"May 07, 2020",0.688 Dividend,,,,,
29,"May 01, 2020",17.71,20.42,16.52,18.99,14.71,"68,451,300"
30,"Apr 01, 2020",10.93,20.07,10.50,18.10,14.03,"127,935,500"
31,"Mar 01, 2020",20.65,20.65,6.87,11.62,9.00,"163,050,500"
32,"Feb 03, 2020",0.688 Dividend,,,,,
33,"Feb 01, 2020",23.50,24.22,17.68,20.29,15.27,"78,235,400"
34,"Jan 01, 2020",25.66,27.36,23.03,24.05,18.10,"83,343,000"
35,"Dec 01, 2019",23.75,26.13,22.93,25.46,19.16,"76,412,600"
36,"Nov 01, 2019",0.678 Dividend,,,,,
37,"Nov 01, 2019",25.97,26.78,22.60,23.65,17.34,"66,677,100"
38,"Oct 01, 2019",28.01,28.37,26.01,26.37,19.34,"45,964,100"
39,"Sep 01, 2019",27.57,30.53,27.42,28.01,20.54,"51,972,100"
40,"Aug 02, 2019",0.668 Dividend,,,,,
41,"Aug 01, 2019",29.92,30.19,25.85,27.91,20.00,"57,654,400"
42,"Jul 01, 2019",32.50,32.65,28.22,29.35,21.03,"65,559,900"
43,"Jun 01, 2019",30.75,32.53,30.63,32.19,23.07,"32,673,300"
44,"May 08, 2019",0.658 Dividend,,,,,
45,"May 01, 2019",32.34,32.94,30.20,30.58,21.47,"53,245,400"
46,"Apr 01, 2019",33.00,33.65,31.36,32.26,22.65,"28,962,900"
47,"Mar 01, 2019",33.36,34.59,32.29,32.89,23.09,"27,543,100"
48,"Feb 04, 2019",0.648 Dividend,,,,,
49,"Feb 01, 2019",35.20,35.75,32.16,33.16,22.86,"38,788,900"
50,"Jan 01, 2019",29.99,35.85,29.70,35.12,24.21,"36,459,700"
51,"Dec 01, 2018",33.71,35.14,28.32,30.30,20.89,"58,638,800"
52,"Nov 02, 2018",0.638 Dividend,,,,,
53,"Nov 01, 2018",34.00,35.19,31.68,33.13,22.41,"33,535,200"
54,"Oct 01, 2018",35.00,35.90,32.30,33.61,22.74,"33,836,600"
55,"Sep 01, 2018",35.40,37.24,34.04,34.68,23.46,"26,198,300"
56,"Aug 03, 2018",0.628 Dividend,,,,,
57,"Aug 01, 2018",36.31,39.01,35.14,35.47,23.59,"40,183,700"
58,"Jul 01, 2018",34.15,37.05,33.34,36.43,24.23,"30,062,300"
59,"Jun 01, 2018",35.92,36.92,33.51,34.14,22.71,"25,631,700"
60,"May 04, 2018",0.618 Dividend,,,,,
61,"May 01, 2018",35.47,37.48,33.63,35.91,23.47,"33,962,900"
62,"Apr 01, 2018",33.02,35.98,31.66,35.33,23.09,"41,382,000"
63,"Mar 01, 2018",34.62,35.69,31.60,33.04,21.59,"45,451,200"
64,"Feb 02, 2018",0.608 Dividend,,,,,
65,"Feb 01, 2018",37.18,38.30,33.83,34.53,22.20,"32,941,700"
66,"Jan 01, 2018",35.60,39.38,35.46,37.20,23.92,"42,769,400"
67,"Dec 01, 2017",36.08,38.47,35.19,35.47,22.81,"41,844,000"
68,"Nov 03, 2017",0.588 Dividend,,,,,
69,"Nov 01, 2017",35.53,36.27,33.08,35.86,22.67,"26,894,200"
70,"Oct 01, 2017",34.74,36.00,32.00,35.26,22.29,"33,075,400"
71,"Sep 01, 2017",34.38,35.84,33.70,35.01,22.13,"33,889,900"
72,"Aug 03, 2017",0.563 Dividend,,,,,
73,"Aug 01, 2017",36.52,36.74,32.17,34.32,21.36,"26,292,200"
74,"Jul 01, 2017",33.50,36.80,32.77,36.35,22.62,"32,167,600"
75,"Jun 01, 2017",33.14,33.88,30.88,33.40,20.79,"45,059,200"
76,"May 04, 2017",0.54 Dividend,,,,,
77,"May 01, 2017",35.29,36.09,32.91,33.05,20.25,"32,269,600"
78,"Apr 01, 2017",36.09,37.85,35.07,35.23,21.59,"22,002,600"
79,"Mar 01, 2017",37.58,38.42,34.85,36.08,22.11,"23,449,100"
80,"Feb 02, 2017",0.52 Dividend,,,,,
81,"Feb 01, 2017",37.76,39.43,36.67,37.21,22.49,"20,804,900"
82,"Jan 01, 2017",34.81,38.55,34.13,37.85,22.88,"28,605,500"
83,"Dec 01, 2016",33.25,34.64,31.06,34.62,20.92,"42,867,000"
84,"Nov 02, 2016",0.515 Dividend,,,,,
85,"Nov 01, 2016",34.02,35.32,31.25,32.85,19.56,"33,002,700"
86,"Oct 01, 2016",33.61,34.49,30.09,34.02,20.25,"32,399,900"
87,"Sep 01, 2016",33.03,34.36,31.60,33.86,20.16,"20,534,100"
88,"Aug 01, 2016",32.13,34.28,30.36,33.13,19.72,"24,598,400"
89,"Jul 29, 2016",0.51 Dividend,,,,,
90,"Jul 01, 2016",33.38,35.12,31.14,32.45,19.02,"21,131,800"
91,"Jun 01, 2016",31.47,34.92,30.54,33.63,19.72,"26,153,100"
92,"May 01, 2016",32.29,34.17,29.33,31.90,18.70,"23,300,600"
93,"Apr 29, 2016",0.505 Dividend,,,,,
94,"Apr 01, 2016",28.45,33.77,26.75,32.19,18.57,"25,302,400"
95,"Mar 01, 2016",26.15,30.87,24.34,29.69,17.13,"65,551,500"
96,"Feb 02, 2016",0.5 Dividend,,,,,
97,"Feb 01, 2016",30.15,30.65,16.34,25.94,14.72,"68,461,000"
98,"Jan 01, 2016",38.96,39.46,23.92,30.77,17.46,"40,796,600"
99,"Dec 01, 2015",43.04,43.80,26.38,39.33,22.32,"89,830,100"
100,"Nov 01, 2015",38.97,45.63,36.50,42.94,24.37,"11,920,600"
101,"Oct 30, 2015",0.47 Dividend,,,,,
102,"Oct 01, 2015",38.17,43.11,32.08,38.79,21.73,"8,217,700"
103,"Sep 01, 2015",49.17,49.50,35.55,38.21,21.41,"7,534,900"
104,"Aug 01, 2015",55.70,56.68,45.31,49.62,27.80,"8,783,400"
105,"Jul 31, 2015",0.44 Dividend,,,,,
106,"Jul 01, 2015",71.57,71.73,52.58,55.69,30.96,"18,397,600"
107,"Jun 01, 2015",72.92,76.29,70.23,71.38,39.68,"2,499,100"
108,"May 01, 2015",0.41 Dividend,,,,,
109,"May 01, 2015",77.23,78.86,71.40,73.00,40.36,"1,780,800"
110,"Apr 01, 2015",73.26,80.00,71.90,77.75,42.99,"1,870,900"
111,"Mar 01, 2015",82.30,82.87,68.00,73.26,40.51,"3,652,400"
112,"Feb 01, 2015",80.05,83.22,75.27,82.20,45.45,"2,606,400"
113,"Jan 30, 2015",0.383 Dividend,,,,,
114,"Jan 01, 2015",74.71,85.57,65.29,79.54,43.77,"3,762,300"
115,"Dec 01, 2014",65.99,73.76,58.36,73.49,40.44,"9,658,400"
116,"Nov 01, 2014",66.87,73.00,66.02,66.41,36.55,"4,706,900"
117,"Oct 31, 2014",0.358 Dividend,,,,,
118,"Oct 01, 2014",58.69,69.05,46.08,66.68,36.49,"3,971,900"
119,"Sep 01, 2014",61.00,67.97,58.75,58.94,32.26,"2,245,700"
120,"Aug 01, 2014",55.01,64.42,55.01,61.00,33.38,"1,340,900"
121,"Jul 31, 2014",0.343 Dividend,,,,,
122,"Jul 01, 2014",64.48,68.05,55.00,56.75,30.88,"1,787,800"
123,"Jun 01, 2014",57.02,66.49,55.38,64.50,35.09,"1,352,300"
124,"May 01, 2014",0.328 Dividend,,,,,
125,"May 01, 2014",53.70,61.74,53.70,57.16,30.91,"1,335,600"
126,"Apr 01, 2014",49.00,58.07,48.14,54.13,29.27,"1,521,200"
127,"Mar 01, 2014",48.81,50.22,46.27,48.99,26.49,"1,367,700"
128,"Feb 01, 2014",46.55,50.75,44.01,48.81,26.39,"1,336,700"
129,"Jan 31, 2014",0.313 Dividend,,,,,
130,"Jan 01, 2014",44.26,47.46,40.01,46.01,24.71,"2,317,600"
131,"Dec 01, 2013",37.92,44.97,36.62,44.54,23.92,"2,734,200"
132,"Nov 01, 2013",37.29,39.56,35.72,38.06,20.44,"2,063,700"
133,"Oct 31, 2013",0.297 Dividend,,,,,
134,"Oct 01, 2013",36.48,38.59,35.91,36.84,19.63,"1,388,400"
135,"Sep 01, 2013",35.68,37.06,34.95,36.44,19.42,"1,113,300"
136,"Aug 01, 2013",35.50,38.54,34.51,35.70,19.02,"1,219,200"
137,"Jul 31, 2013",0.285 Dividend,,,,,
138,"Jul 01, 2013",37.12,38.04,35.21,35.75,18.90,"1,946,200"
139,"Jun 01, 2013",36.98,39.50,34.40,36.81,19.46,"4,062,000"
140,"May 08, 2013",0.273 Dividend,,,,,
141,"May 01, 2013",38.13,39.69,35.12,37.13,19.49,"2,161,600"
142,"Apr 01, 2013",37.47,39.31,34.50,38.27,20.09,"2,617,900"
143,"Mar 01, 2013",32.78,38.61,32.53,37.45,19.66,"5,020,100"
144,"Feb 01, 2013",34.73,37.04,32.12,32.69,17.16,"2,232,300"
