,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",112.68,121.49,100.60,113.22,113.22,"48,647,900"
1,"Jan 01, 2022",132.90,136.99,105.15,112.70,112.70,"50,199,000"
2,"Dec 01, 2021",133.31,141.40,118.51,132.25,132.25,"59,361,200"
3,"Nov 01, 2021",150.80,164.56,129.14,129.99,129.99,"56,432,700"
4,"Oct 01, 2021",157.25,182.00,149.55,150.78,150.78,"54,842,600"
5,"Sep 01, 2021",139.06,171.52,137.68,156.99,156.99,"156,335,200"
6,"Aug 01, 2021",161.05,163.00,129.75,137.44,137.44,"62,089,100"
7,"Jul 01, 2021",160.60,168.21,152.48,159.27,159.27,"35,860,100"
8,"Jun 01, 2021",143.87,167.46,136.03,161.25,161.25,"46,567,900"
9,"May 01, 2021",156.26,156.59,132.33,143.38,143.38,"45,576,700"
10,"Apr 01, 2021",139.54,160.25,138.30,155.63,155.63,"34,669,000"
11,"Mar 01, 2021",157.87,157.90,129.68,137.38,137.38,"55,737,800"
12,"Feb 01, 2021",142.41,174.68,137.58,152.85,152.85,"66,763,600"
13,"Jan 01, 2021",153.31,159.85,130.00,139.86,139.86,"46,636,800"
14,"Dec 01, 2020",141.21,159.53,137.39,151.19,151.19,"51,743,900"
15,"Nov 01, 2020",117.51,143.09,116.23,139.21,139.21,"47,352,700"
16,"Oct 01, 2020",112.23,127.42,107.05,116.78,116.78,"43,144,600"
17,"Sep 01, 2020",110.87,117.62,100.25,110.65,110.65,"60,570,500"
18,"Aug 01, 2020",103.78,123.00,103.07,111.68,111.68,"63,076,100"
19,"Jul 02, 2020",1:1 Stock Split,,,,,
20,"Jul 01, 2020",3502:1000 Stock Split,,,,,
21,"Jul 01, 2020",106.00,108.45,87.56,102.70,102.70,"113,553,700"
22,"Jun 01, 2020",89.12,107.95,82.57,107.05,107.05,"55,010,400"
23,"May 01, 2020",75.62,91.77,72.28,89.04,89.04,"40,434,900"
24,"Apr 01, 2020",64.13,83.59,60.17,76.96,76.96,"43,104,600"
25,"Mar 01, 2020",65.00,73.25,44.74,66.04,66.04,"79,590,100"
26,"Feb 01, 2020",78.27,83.01,62.23,65.00,65.00,"57,488,100"
27,"Jan 01, 2020",82.77,92.51,78.01,78.22,78.22,"36,400,600"
28,"Dec 01, 2019",70.39,84.21,66.66,82.11,82.11,"43,245,900"
29,"Nov 01, 2019",73.11,74.76,61.50,70.48,70.48,"49,730,900"
30,"Oct 01, 2019",71.29,78.31,69.93,72.99,72.99,"41,072,800"
31,"Sep 01, 2019",84.80,89.38,66.57,71.44,71.44,"50,697,700"
32,"Aug 01, 2019",75.38,95.32,69.86,84.80,84.80,"66,156,900"
33,"Jul 01, 2019",68.60,79.30,67.94,75.29,75.29,"28,391,400"
34,"Jun 01, 2019",68.28,73.91,65.37,67.27,67.27,"33,273,400"
35,"May 01, 2019",60.65,75.28,58.68,68.65,68.65,"45,876,000"
36,"Apr 01, 2019",57.25,63.12,53.83,60.40,60.40,"30,782,500"
37,"Mar 01, 2019",55.98,59.92,52.31,56.61,56.61,"31,213,100"
38,"Feb 01, 2019",53.49,60.91,51.50,55.38,55.38,"43,144,900"
39,"Jan 01, 2019",42.06,54.57,40.47,53.49,53.49,"33,487,800"
40,"Dec 04, 2018",2 Dividend,,,,,
41,"Dec 01, 2018",41.51,43.73,37.00,42.77,40.71,"47,747,000"
42,"Nov 01, 2018",52.05,54.68,33.30,40.27,38.33,"74,938,900"
43,"Oct 01, 2018",58.54,59.32,47.25,51.72,49.23,"49,534,300"
44,"Sep 01, 2018",50.11,60.95,48.72,57.91,55.12,"40,793,900"
45,"Aug 01, 2018",35.97,52.12,35.65,50.05,47.64,"75,787,000"
46,"Jul 01, 2018",38.14,40.45,35.20,36.12,34.38,"38,386,300"
47,"Jun 01, 2018",41.36,44.53,38.29,38.74,36.87,"43,739,400"
48,"May 01, 2018",47.22,47.32,33.48,41.15,39.16,"109,600,300"
49,"Apr 01, 2018",44.45,48.65,40.47,47.12,44.85,"31,254,700"
50,"Mar 01, 2018",39.95,47.10,38.48,44.44,42.30,"40,505,300"
51,"Feb 01, 2018",34.80,43.52,32.40,40.05,38.12,"52,964,900"
52,"Jan 01, 2018",31.50,35.40,30.85,34.94,33.25,"27,391,300"
53,"Dec 01, 2017",29.25,32.15,27.59,31.31,29.80,"27,190,400"
54,"Nov 01, 2017",26.96,32.87,26.33,29.40,27.98,"45,866,800"
55,"Oct 01, 2017",23.23,27.02,23.23,26.74,25.45,"30,615,700"
56,"Sep 01, 2017",21.85,24.40,21.71,23.19,22.07,"39,727,700"
57,"Aug 01, 2017",18.28,22.59,18.00,21.75,20.70,"36,034,100"
58,"Jul 01, 2017",17.45,19.18,17.07,18.25,17.37,"21,266,700"
59,"Jun 01, 2017",19.52,19.71,16.57,17.38,16.54,"22,647,800"
60,"May 01, 2017",18.71,20.75,18.00,19.48,18.54,"38,454,800"
61,"Apr 01, 2017",16.30,18.97,16.26,18.63,17.73,"22,853,800"
62,"Mar 01, 2017",16.31,16.97,15.42,16.33,15.54,"22,595,800"
63,"Feb 01, 2017",16.49,18.09,15.94,16.16,15.38,"26,189,300"
64,"Jan 01, 2017",17.23,18.64,16.57,17.37,16.53,"23,325,600"
65,"Dec 01, 2016",17.90,18.74,16.57,17.10,16.28,"16,716,700"
66,"Nov 01, 2016",18.15,18.97,15.08,17.98,17.11,"31,920,400"
67,"Oct 01, 2016",17.80,19.74,16.96,18.06,17.19,"20,967,900"
68,"Sep 01, 2016",16.24,18.20,15.05,17.79,16.93,"23,210,300"
69,"Aug 01, 2016",15.75,16.99,14.32,16.19,15.41,"28,935,000"
70,"Jul 01, 2016",15.12,17.00,14.28,15.75,14.99,"27,412,600"
71,"Jun 01, 2016",14.00,16.10,13.15,15.07,14.35,"24,795,500"
72,"May 01, 2016",11.50,15.40,10.72,14.00,13.32,"25,095,500"
73,"Apr 01, 2016",11.02,11.97,10.06,11.40,10.85,"18,647,700"
74,"Mar 01, 2016",11.06,12.30,10.48,11.06,10.53,"19,362,600"
75,"Feb 01, 2016",12.11,12.95,8.41,10.89,10.36,"30,114,500"
76,"Jan 01, 2016",13.43,14.25,11.45,12.55,11.94,"20,478,800"
77,"Dec 01, 2015",14.53,14.95,12.82,13.55,12.90,"21,674,600"
78,"Nov 10, 2015",0.09709 Dividend,,,,,
79,"Nov 01, 2015",19.23,19.23,12.63,14.48,13.71,"99,780,632"
80,"Oct 01, 2015",18.70,20.89,17.50,19.13,18.12,"97,072,987"
81,"Sep 01, 2015",19.52,20.51,18.22,18.64,17.65,"63,164,523"
82,"Aug 12, 2015",0.09709 Dividend,,,,,
83,"Aug 01, 2015",21.98,22.39,18.07,19.93,18.79,"69,743,730"
84,"Jul 01, 2015",22.98,24.17,21.80,22.06,20.79,"67,542,022"
85,"Jun 01, 2015",21.44,23.53,21.15,22.75,21.44,"64,721,514"
86,"May 13, 2015",0.09709 Dividend,,,,,
87,"May 01, 2015",19.97,21.76,19.97,21.44,20.11,"51,302,550"
88,"Apr 01, 2015",19.21,20.98,19.03,19.94,18.70,"70,026,690"
89,"Mar 01, 2015",19.32,20.02,18.84,19.27,18.07,"72,599,961"
90,"Feb 11, 2015",0.09709 Dividend,,,,,
91,"Feb 01, 2015",17.51,19.41,16.88,19.25,17.96,"110,893,982"
92,"Jan 01, 2015",17.46,18.45,16.90,17.40,16.24,"55,364,169"
93,"Dec 01, 2014",18.64,18.94,17.11,17.36,16.19,"52,160,888"
94,"Nov 12, 2014",0.09709 Dividend,,,,,
95,"Nov 01, 2014",19.39,19.43,18.22,18.64,17.30,"50,742,930"
96,"Oct 01, 2014",18.83,19.53,16.13,19.33,17.94,"95,491,134"
97,"Sep 01, 2014",19.85,21.11,18.62,18.82,17.46,"63,341,026"
98,"Aug 13, 2014",0.09709 Dividend,,,,,
99,"Aug 01, 2014",19.11,19.88,18.18,19.87,18.34,"97,883,702"
100,"Jul 01, 2014",19.80,20.24,17.99,19.19,17.71,"99,827,660"
101,"Jun 01, 2014",18.94,19.98,18.57,19.77,18.25,"70,710,632"
102,"May 13, 2014",0.06853 Dividend,,,,,
103,"May 01, 2014",18.85,19.13,17.42,18.91,17.39,"92,446,147"
104,"Apr 01, 2014",20.50,20.92,17.94,18.93,17.41,"122,898,488"
105,"Mar 01, 2014",21.91,23.03,20.16,20.39,18.75,"94,746,260"
106,"Feb 12, 2014",0.06853 Dividend,,,,,
107,"Feb 01, 2014",19.88,22.36,18.40,22.14,20.29,"104,385,866"
108,"Jan 01, 2014",19.48,21.10,19.17,20.00,18.33,"88,001,408"
109,"Dec 01, 2013",16.28,20.11,15.92,19.60,17.96,"109,331,390"
110,"Nov 13, 2013",0.06853 Dividend,,,,,
111,"Nov 01, 2013",15.29,16.70,15.27,16.34,14.91,"90,498,683"
112,"Oct 01, 2013",15.56,16.58,14.32,15.25,13.91,"113,589,818"
113,"Sep 01, 2013",14.19,15.62,14.03,15.61,14.25,"48,406,747"
114,"Aug 13, 2013",0.06853 Dividend,,,,,
115,"Aug 01, 2013",14.59,14.69,14.00,14.02,12.73,"61,196,400"
116,"Jul 01, 2013",13.70,15.22,13.27,14.45,13.13,"89,480,302"
117,"Jun 01, 2013",13.84,14.44,13.22,13.59,12.34,"71,688,390"
118,"May 13, 2013",0.06853 Dividend,,,,,
119,"May 01, 2013",13.05,14.93,13.04,13.84,12.51,"95,805,966"
120,"Apr 01, 2013",12.71,13.46,12.36,13.44,12.15,"78,884,299"
121,"Mar 01, 2013",11.60,12.79,11.56,12.76,11.53,"78,067,634"
122,"Feb 13, 2013",0.06853 Dividend,,,,,
123,"Feb 01, 2013",11.89,12.77,11.43,11.64,10.46,"125,167,081"
124,"Jan 01, 2013",13.61,13.91,10.91,11.78,10.59,"120,115,799"
125,"Dec 01, 2012",13.50,13.72,12.05,13.49,12.12,"91,282,431"
126,"Nov 13, 2012",0.06853 Dividend,,,,,
127,"Nov 01, 2012",13.83,14.12,11.95,13.46,12.03,"102,279,062"
128,"Oct 01, 2012",15.10,15.87,12.87,13.81,12.34,"78,311,025"
129,"Sep 01, 2012",14.71,15.71,14.51,14.87,13.29,"55,140,741"
130,"Aug 13, 2012",0.06853 Dividend,,,,,
131,"Aug 01, 2012",15.10,15.35,14.50,14.80,13.17,"58,633,635"
132,"Jul 01, 2012",13.10,15.48,12.90,15.02,13.37,"89,738,752"
133,"Jun 01, 2012",12.66,13.30,12.43,13.02,11.59,"54,655,714"
134,"May 11, 2012",0.03427 Dividend,,,,,
135,"May 01, 2012",13.71,15.07,12.28,12.83,11.38,"96,638,037"
136,"Apr 01, 2012",14.01,14.26,12.96,13.75,12.20,"79,884,823"
137,"Mar 01, 2012",13.30,14.58,13.03,14.02,12.44,"74,347,112"
138,"Feb 13, 2012",0.03427 Dividend,,,,,
139,"Feb 01, 2012",12.85,13.70,12.51,13.02,11.53,"78,695,193"
140,"Jan 01, 2012",12.25,12.44,11.67,12.30,10.89,"61,719,949"
141,"Dec 01, 2011",11.90,12.45,11.21,12.16,10.77,"64,546,763"
142,"Nov 10, 2011",0.03427 Dividend,,,,,
143,"Nov 01, 2011",11.42,12.53,10.98,11.96,10.55,"85,276,851"
144,"Oct 01, 2011",11.27,12.17,10.32,11.66,10.29,"64,074,693"
145,"Sep 01, 2011",11.30,12.28,10.67,11.29,9.97,"80,574,014"
146,"Aug 01, 2011",11.96,12.01,9.74,11.29,9.96,"106,736,759"
147,"Jul 01, 2011",10.57,12.51,10.37,11.82,10.43,"91,473,290"
148,"Jun 01, 2011",10.48,10.96,9.85,10.90,9.62,"84,198,234"
149,"May 01, 2011",10.32,10.55,9.68,10.50,9.27,"67,956,307"
150,"Apr 01, 2011",8.92,10.53,8.60,10.31,9.10,"70,925,656"
151,"Mar 01, 2011",8.90,9.10,8.17,8.83,7.79,"73,969,946"
152,"Feb 01, 2011",8.09,9.17,8.07,8.87,7.83,"91,160,213"
153,"Jan 01, 2011",8.28,8.61,8.01,8.08,7.13,"89,615,830"
154,"Dec 01, 2010",8.16,8.84,8.14,8.20,7.23,"72,671,752"
