,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",0.1490,0.2100,0.1450,0.1920,0.1920,"5,239,700"
1,"Jan 01, 2022",0.1620,0.1750,0.1400,0.1580,0.1580,"911,700"
2,"Dec 01, 2021",0.1610,0.1700,0.1300,0.1560,0.1560,"4,072,700"
3,"Nov 01, 2021",0.1880,0.2070,0.1590,0.1590,0.1590,"2,747,400"
4,"Oct 01, 2021",0.2150,0.2190,0.1820,0.2070,0.2070,"363,000"
5,"Sep 01, 2021",0.2310,0.2390,0.1870,0.2100,0.2100,"384,300"
6,"Aug 01, 2021",0.2150,0.2650,0.1850,0.2350,0.2350,"1,699,900"
7,"Jul 01, 2021",0.1950,0.2290,0.1850,0.2150,0.2150,"1,836,600"
8,"Jun 01, 2021",0.2000,0.2240,0.1760,0.2000,0.2000,"2,548,400"
9,"May 01, 2021",0.1500,0.2150,0.1360,0.2100,0.2100,"3,469,300"
10,"Apr 01, 2021",0.1540,0.1600,0.1270,0.1460,0.1460,"8,789,000"
11,"Mar 01, 2021",0.1510,0.1790,0.1350,0.1600,0.1600,"2,732,800"
12,"Feb 01, 2021",0.1720,0.2200,0.1010,0.1760,0.1760,"2,017,900"
13,"Jan 01, 2021",0.1450,0.2000,0.1360,0.1580,0.1580,"2,066,800"
14,"Dec 01, 2020",0.1500,0.1700,0.1400,0.1450,0.1450,"1,398,200"
15,"Nov 01, 2020",0.1710,0.1800,0.1270,0.1480,0.1480,"1,556,200"
16,"Oct 01, 2020",0.1800,0.2500,0.1660,0.1700,0.1700,"853,800"
17,"Sep 01, 2020",0.1730,0.2100,0.1510,0.1780,0.1780,"1,242,500"
18,"Aug 01, 2020",0.1700,0.2200,0.1500,0.1750,0.1750,"1,669,500"
19,"Jul 01, 2020",0.1240,0.2510,0.1180,0.1670,0.1670,"2,863,800"
20,"Jun 01, 2020",0.1190,0.1340,0.1060,0.1200,0.1200,"1,850,700"
21,"May 01, 2020",0.0900,0.1480,0.0850,0.1200,0.1200,"2,885,000"
22,"Apr 01, 2020",0.0750,0.1010,0.0730,0.0870,0.0870,"4,469,100"
23,"Mar 01, 2020",0.0750,0.0750,0.0400,0.0730,0.0730,"1,083,500"
24,"Feb 01, 2020",0.0700,0.1000,0.0650,0.0690,0.0690,"1,402,100"
25,"Jan 01, 2020",0.0800,0.0840,0.0610,0.0740,0.0740,"1,899,900"
26,"Dec 01, 2019",0.0770,0.1010,0.0660,0.0750,0.0750,"1,223,900"
27,"Nov 01, 2019",0.0390,0.0770,0.0360,0.0680,0.0680,"3,460,600"
28,"Oct 01, 2019",0.0380,0.0420,0.0260,0.0350,0.0350,"708,200"
29,"Sep 01, 2019",0.0420,0.0480,0.0280,0.0380,0.0380,"3,360,500"
30,"Aug 01, 2019",0.0490,0.0500,0.0410,0.0420,0.0420,"400,600"
31,"Jul 01, 2019",0.0470,0.0500,0.0390,0.0500,0.0500,"1,812,800"
32,"Jun 01, 2019",0.0420,0.0530,0.0360,0.0470,0.0470,"853,800"
33,"May 01, 2019",0.0390,0.0460,0.0350,0.0420,0.0420,"1,251,600"
34,"Apr 01, 2019",0.0410,0.0500,0.0340,0.0400,0.0400,"1,364,200"
35,"Mar 01, 2019",0.0420,0.0500,0.0380,0.0410,0.0410,"1,632,900"
36,"Feb 01, 2019",0.0410,0.0680,0.0350,0.0380,0.0380,"2,008,500"
37,"Jan 01, 2019",0.0430,0.2930,0.0340,0.0490,0.0490,"15,059,800"
38,"Dec 01, 2018",0.0450,0.0500,0.0340,0.0360,0.0360,"603,800"
39,"Nov 01, 2018",0.0460,0.0480,0.0330,0.0430,0.0430,"1,997,800"
40,"Oct 01, 2018",0.0460,0.0490,0.0360,0.0430,0.0430,"1,522,900"
41,"Sep 01, 2018",0.0500,0.0600,0.0400,0.0410,0.0410,"1,133,100"
42,"Aug 01, 2018",0.0320,0.0640,0.0320,0.0480,0.0480,"2,428,400"
43,"Jul 01, 2018",0.0420,0.0480,0.0380,0.0450,0.0450,"570,400"
44,"Jun 01, 2018",0.0420,0.0450,0.0320,0.0440,0.0440,"214,100"
45,"May 01, 2018",0.0450,0.0450,0.0300,0.0450,0.0450,"665,100"
46,"Apr 01, 2018",0.0350,0.0480,0.0350,0.0450,0.0450,"1,387,800"
47,"Mar 01, 2018",0.0360,0.0400,0.0260,0.0310,0.0310,"391,200"
48,"Feb 01, 2018",0.0330,0.0400,0.0300,0.0300,0.0300,"438,900"
49,"Jan 01, 2018",0.0390,0.0400,0.0310,0.0330,0.0330,"496,700"
50,"Dec 01, 2017",0.0380,0.1000,0.0280,0.0390,0.0390,"1,144,400"
51,"Nov 01, 2017",0.0390,0.0400,0.0280,0.0280,0.0280,"394,100"
52,"Oct 01, 2017",0.0260,0.0400,0.0260,0.0390,0.0390,"422,100"
53,"Sep 01, 2017",0.0340,0.0350,0.0220,0.0350,0.0350,"193,700"
54,"Aug 01, 2017",0.0330,0.0500,0.0210,0.0250,0.0250,"169,400"
55,"Jul 01, 2017",0.0450,0.0500,0.0330,0.0330,0.0330,"377,500"
56,"Jun 01, 2017",0.0490,0.0500,0.0310,0.0450,0.0450,"916,100"
57,"May 01, 2017",0.0390,0.0500,0.0300,0.0500,0.0500,"322,800"
58,"Apr 01, 2017",0.0220,0.0550,0.0220,0.0390,0.0390,"2,254,100"
59,"Mar 01, 2017",0.0220,0.0300,0.0170,0.0220,0.0220,"590,700"
60,"Feb 01, 2017",0.0280,0.0300,0.0210,0.0280,0.0280,"503,200"
61,"Jan 01, 2017",0.0250,0.0380,0.0130,0.0290,0.0290,"1,451,900"
62,"Dec 01, 2016",0.0100,0.0300,0.0100,0.0250,0.0250,"2,418,000"
63,"Nov 01, 2016",0.0140,0.0160,0.0090,0.0130,0.0130,"1,482,900"
64,"Oct 01, 2016",0.0130,0.0160,0.0100,0.0130,0.0130,"723,500"
65,"Sep 01, 2016",0.0110,0.0140,0.0100,0.0130,0.0130,"397,200"
66,"Aug 01, 2016",0.0120,0.0170,0.0080,0.0110,0.0110,"1,007,700"
67,"Jul 01, 2016",0.0120,0.0180,0.0070,0.0140,0.0140,"2,961,300"
68,"Jun 01, 2016",0.0120,0.0200,0.0110,0.0130,0.0130,"1,299,800"
69,"May 01, 2016",0.0190,0.0280,0.0100,0.0120,0.0120,"1,116,500"
70,"Apr 01, 2016",0.0300,0.0480,0.0150,0.0220,0.0220,"1,860,100"
71,"Mar 01, 2016",0.0140,0.0650,0.0120,0.0260,0.0260,"13,178,600"
72,"Feb 01, 2016",0.0100,0.0780,0.0060,0.0140,0.0140,"31,244,000"
73,"Jan 01, 2016",0.0070,0.0090,0.0060,0.0080,0.0080,"3,367,200"
74,"Dec 01, 2015",0.0110,0.0110,0.0040,0.0070,0.0070,"5,119,200"
75,"Nov 01, 2015",0.0320,0.0360,0.0100,0.0110,0.0110,"1,558,700"
76,"Oct 01, 2015",0.0220,0.0390,0.0220,0.0330,0.0330,"1,394,100"
77,"Sep 01, 2015",0.0100,0.0210,0.0090,0.0200,0.0200,"1,999,100"
78,"Aug 01, 2015",0.0090,0.0120,0.0090,0.0100,0.0100,"472,100"
79,"Jul 01, 2015",0.0100,0.0100,0.0060,0.0090,0.0090,"321,500"
80,"Jun 01, 2015",0.0130,0.0160,0.0070,0.0100,0.0100,"1,741,800"
81,"May 01, 2015",0.0150,0.0150,0.0100,0.0130,0.0130,"354,500"
82,"Apr 01, 2015",0.0250,0.0250,0.0090,0.0150,0.0150,"915,800"
83,"Mar 01, 2015",0.0250,0.0250,0.0250,0.0250,0.0250,"4,400"
84,"Feb 01, 2015",0.0130,0.0470,0.0060,0.0250,0.0250,"1,012,800"
85,"Jan 01, 2015",0.0080,0.0130,0.0070,0.0130,0.0130,"348,900"
86,"Dec 01, 2014",0.0110,0.0110,0.0060,0.0080,0.0080,"1,039,900"
87,"Nov 01, 2014",0.0100,0.0130,0.0100,0.0110,0.0110,"141,800"
88,"Oct 01, 2014",0.0130,0.0130,0.0100,0.0100,0.0100,"64,700"
89,"Sep 01, 2014",0.0200,0.0200,0.0100,0.0130,0.0130,"397,600"
90,"Aug 01, 2014",0.0160,0.0210,0.0160,0.0200,0.0200,"217,800"
91,"Jul 01, 2014",0.0190,0.0190,0.0160,0.0160,0.0160,"46,900"
92,"Jun 01, 2014",0.0190,0.0190,0.0190,0.0190,0.0190,"14,400"
93,"May 01, 2014",0.0170,0.0220,0.0120,0.0190,0.0190,"910,500"
94,"Apr 01, 2014",0.0200,0.0240,0.0110,0.0170,0.0170,"607,100"
95,"Mar 01, 2014",0.0200,0.0700,0.0200,0.0200,0.0200,"123,600"
96,"Feb 01, 2014",0.0200,0.1500,0.0150,0.0200,0.0200,"269,300"
97,"Jan 01, 2014",0.0200,0.0300,0.0120,0.0200,0.0200,"380,400"
98,"Dec 01, 2013",0.0210,0.0250,0.0140,0.0150,0.0150,"155,000"
99,"Nov 01, 2013",0.0200,0.0300,0.0200,0.0210,0.0210,"73,700"
100,"Oct 01, 2013",0.0250,0.0330,0.0170,0.0200,0.0200,"1,129,100"
101,"Sep 01, 2013",0.0250,0.0250,0.0250,0.0250,0.0250,"20,900"
102,"Aug 01, 2013",0.0250,0.0390,0.0250,0.0250,0.0250,"99,900"
