,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",3.7700,3.7900,3.2400,3.5100,3.5100,"57,274,100"
1,"Jan 01, 2022",3.7500,3.8900,3.4200,3.7500,3.7500,"57,926,300"
2,"Dec 01, 2021",3.7800,3.9900,3.5100,3.7200,3.7200,"82,349,100"
3,"Nov 01, 2021",4.4100,4.5000,3.6800,3.7300,3.7300,"62,041,000"
4,"Oct 01, 2021",4.2700,4.4900,4.2500,4.3900,4.3900,"41,861,700"
5,"Sep 01, 2021",4.4500,4.4700,4.2500,4.2600,4.2600,"50,719,200"
6,"Aug 01, 2021",4.4400,4.4800,4.1300,4.4200,4.4200,"50,851,700"
7,"Jul 01, 2021",4.4900,4.5600,4.1700,4.3700,4.3700,"59,465,500"
8,"Jun 23, 2021",0.1 Dividend,,,,,
9,"Jun 01, 2021",4.5300,4.9300,4.4100,4.4700,4.3747,"84,599,500"
10,"May 01, 2021",4.6200,4.6600,4.2400,4.5200,4.4236,"57,336,700"
11,"Apr 01, 2021",4.5000,4.6700,4.2800,4.5900,4.4921,"54,543,700"
12,"Mar 24, 2021",0.1 Dividend,,,,,
13,"Mar 01, 2021",4.2200,4.7800,4.0200,4.4700,4.2777,"95,835,100"
14,"Feb 01, 2021",3.7600,4.4300,3.6800,4.1700,3.9906,"59,642,300"
15,"Jan 01, 2021",3.7100,4.1100,3.5100,3.7300,3.5695,"68,539,400"
16,"Dec 16, 2020",0.1 Dividend,,,,,
17,"Dec 01, 2020",3.5900,3.8800,3.5000,3.6900,3.4388,"73,566,800"
18,"Nov 01, 2020",2.5700,3.8000,2.5500,3.5200,3.2804,"97,554,000"
19,"Oct 01, 2020",2.5700,2.7900,2.4800,2.5400,2.3671,"59,929,100"
20,"Sep 23, 2020",0.075 Dividend,,,,,
21,"Sep 01, 2020",2.6200,2.8200,2.4000,2.5500,2.3097,"73,805,200"
22,"Aug 01, 2020",2.5700,3.0000,2.4900,2.6400,2.3912,"66,055,800"
23,"Jul 01, 2020",2.6000,2.7300,2.2600,2.6200,2.3731,"86,800,700"
24,"Jun 30, 2020",0.05 Dividend,,,,,
25,"Jun 01, 2020",2.0800,3.5600,2.0600,2.6100,2.3199,"242,682,500"
26,"May 01, 2020",2.1100,2.3700,1.5100,2.0800,1.8488,"188,165,800"
27,"Apr 01, 2020",1.4300,2.7900,1.0100,2.1800,1.9377,"351,960,900"
28,"Mar 01, 2020",5.8800,6.1500,0.9800,1.5500,1.3777,"428,717,500"
29,"Feb 01, 2020",6.3500,6.4100,5.5900,5.7000,5.0664,"189,465,000"
30,"Jan 01, 2020",6.2300,6.3900,6.0900,6.3500,5.6442,"131,046,800"
31,"Dec 19, 2019",0.2 Dividend,,,,,
32,"Dec 01, 2019",6.2500,6.4700,6.2000,6.2300,5.3656,"76,539,800"
33,"Nov 01, 2019",6.2600,6.2800,6.0500,6.2300,5.3656,"84,852,400"
34,"Oct 01, 2019",6.0800,6.2600,5.9700,6.2600,5.3914,"44,352,100"
35,"Sep 18, 2019",0.2 Dividend,,,,,
36,"Sep 01, 2019",6.1700,6.3200,5.9400,6.0900,5.0739,"112,557,800"
37,"Aug 01, 2019",6.0900,6.3000,5.8800,6.1500,5.1239,"53,889,700"
38,"Jul 01, 2019",6.2300,6.2900,6.0300,6.1100,5.0905,"77,012,400"
39,"Jun 21, 2019",0.2 Dividend,,,,,
40,"Jun 01, 2019",6.0500,6.4400,6.0500,6.2000,5.0048,"42,684,400"
41,"May 01, 2019",6.3100,6.3300,5.9400,6.0400,4.8757,"61,335,800"
42,"Apr 01, 2019",6.1000,6.3400,6.0600,6.3000,5.0856,"25,246,000"
43,"Mar 28, 2019",0.2 Dividend,,,,,
44,"Mar 01, 2019",6.0000,6.2700,5.9000,6.0900,4.7587,"47,709,200"
45,"Feb 01, 2019",6.2800,6.3700,5.9300,6.0000,4.6884,"45,047,300"
46,"Jan 01, 2019",5.8500,6.2800,5.8000,6.2800,4.9072,"49,570,500"
47,"Dec 13, 2018",0.2 Dividend,,,,,
48,"Dec 01, 2018",6.2300,6.2500,5.5800,5.8900,4.4535,"41,863,600"
49,"Nov 01, 2018",6.1600,6.3400,5.9300,6.2000,4.6879,"52,287,800"
50,"Oct 01, 2018",6.1000,6.1600,5.8100,6.1400,4.6425,"24,641,000"
51,"Sep 26, 2018",0.2 Dividend,,,,,
52,"Sep 01, 2018",6.3900,6.5100,6.0400,6.0800,4.4510,"30,422,700"
53,"Aug 01, 2018",6.2000,6.5400,6.0800,6.4000,4.6853,"52,570,200"
54,"Jul 01, 2018",6.0000,6.2400,5.9800,6.2100,4.5462,"16,004,900"
55,"Jun 27, 2018",0.2 Dividend,,,,,
56,"Jun 01, 2018",6.1600,6.2500,5.9000,6.0100,4.2569,"29,165,500"
57,"May 01, 2018",6.0700,6.2500,5.9700,6.1600,4.3631,"28,713,000"
58,"Apr 01, 2018",5.9000,6.1100,5.8000,6.0600,4.2923,"19,746,300"
59,"Mar 28, 2018",0.2 Dividend,,,,,
60,"Mar 01, 2018",5.5000,6.0900,5.4700,5.9300,4.0600,"61,460,600"
61,"Feb 01, 2018",5.6700,5.8000,5.3500,5.5100,3.7724,"20,537,900"
62,"Jan 01, 2018",6.1700,6.1900,5.6400,5.7000,3.9025,"19,606,200"
63,"Dec 15, 2017",0.2 Dividend,,,,,
64,"Dec 01, 2017",6.3900,6.5400,6.1300,6.1700,4.0925,"18,325,700"
65,"Nov 01, 2017",6.0500,6.5300,5.9000,6.4000,4.2451,"19,778,300"
66,"Oct 01, 2017",6.1400,6.3300,6.0200,6.0300,3.9996,"16,363,000"
67,"Sep 22, 2017",0.2 Dividend,,,,,
68,"Sep 01, 2017",6.2800,6.4300,6.1100,6.1500,3.9514,"17,980,700"
69,"Aug 01, 2017",6.3400,6.3500,6.0900,6.2600,4.0220,"15,967,300"
70,"Jul 01, 2017",6.2300,6.3700,6.1400,6.3200,4.0606,"11,739,600"
71,"Jun 22, 2017",0.2 Dividend,,,,,
72,"Jun 01, 2017",6.2200,6.6900,6.1700,6.2200,3.8734,"18,554,100"
73,"May 01, 2017",6.4500,6.5400,6.0400,6.2200,3.8734,"15,294,400"
74,"Apr 01, 2017",6.1800,6.5900,6.0500,6.4100,3.9917,"16,383,900"
75,"Mar 23, 2017",0.2 Dividend,,,,,
76,"Mar 01, 2017",6.3700,6.5500,6.0500,6.1700,3.7247,"27,873,400"
77,"Feb 01, 2017",6.4700,6.7400,6.0500,6.3300,3.8213,"22,877,100"
78,"Jan 01, 2017",6.6800,6.8500,6.2000,6.4100,3.8696,"21,893,400"
79,"Dec 22, 2016",0.24 Dividend,,,,,
80,"Dec 01, 2016",6.6800,7.0400,6.4800,6.6000,3.8453,"21,628,900"
81,"Nov 01, 2016",5.8800,6.7400,5.7200,6.6800,3.8919,"21,411,500"
82,"Oct 01, 2016",5.9200,6.0900,5.6500,5.9100,3.4433,"12,838,300"
83,"Sep 22, 2016",0.24 Dividend,,,,,
84,"Sep 01, 2016",6.0500,6.2000,5.7600,6.0200,3.3714,"19,918,900"
85,"Aug 01, 2016",6.5200,6.6000,5.8500,6.0400,3.3826,"18,692,100"
86,"Jul 01, 2016",6.1000,6.5700,5.9600,6.5400,3.6626,"12,652,800"
87,"Jun 23, 2016",0.24 Dividend,,,,,
88,"Jun 01, 2016",5.9500,6.6800,5.6400,6.1000,3.2859,"24,526,500"
89,"May 01, 2016",5.2000,5.9700,4.9700,5.9500,3.2051,"15,153,300"
90,"Apr 01, 2016",4.7200,5.2500,4.6200,5.2000,2.8011,"11,099,100"
91,"Mar 23, 2016",0.24 Dividend,,,,,
92,"Mar 01, 2016",4.2400,5.1200,4.1500,4.7400,2.4310,"20,584,600"
93,"Feb 01, 2016",4.8300,5.1000,3.8900,4.1800,2.1438,"18,643,100"
94,"Jan 01, 2016",5.2400,5.5700,3.8200,4.8400,2.4823,"22,714,000"
95,"Dec 23, 2015",0.24 Dividend,,,,,
96,"Dec 01, 2015",5.8400,5.9700,4.9400,5.3300,2.6214,"26,765,200"
97,"Nov 01, 2015",5.6800,5.9300,5.4600,5.8000,2.8526,"14,325,700"
98,"Oct 01, 2015",5.5000,6.0500,5.3500,5.6800,2.7936,"20,417,200"
99,"Sep 24, 2015",0.24 Dividend,,,,,
100,"Sep 01, 2015",6.5000,6.7300,5.3100,5.4900,2.6030,"31,381,800"
101,"Aug 01, 2015",7.5000,7.5900,5.4000,6.5400,3.1008,"39,870,400"
102,"Jul 01, 2015",7.5400,7.8500,7.3800,7.4800,3.5465,"22,294,500"
103,"Jun 26, 2015",0.27 Dividend,,,,,
104,"Jun 25, 2015",0.27 Dividend,,,,,
105,"Jun 01, 2015",7.9500,8.0500,7.4300,7.4800,3.3065,"30,509,600"
106,"May 01, 2015",7.8100,7.9800,7.5300,7.9200,3.5010,"21,780,200"
107,"Apr 01, 2015",7.7700,7.9800,7.7100,7.8100,3.4524,"16,279,900"
108,"Mar 26, 2015",0.27 Dividend,,,,,
109,"Mar 01, 2015",7.9200,8.1200,7.7200,7.7600,3.3142,"31,129,500"
110,"Feb 01, 2015",7.7000,7.9200,7.4300,7.9000,3.3740,"25,587,300"
111,"Jan 01, 2015",7.7500,7.9500,7.6300,7.7400,3.3056,"19,316,700"
112,"Dec 18, 2014",0.27 Dividend,,,,,
113,"Dec 01, 2014",8.0800,8.0800,7.5800,7.7100,3.1817,"33,562,200"
114,"Nov 01, 2014",7.8600,8.2000,7.7000,8.0400,3.3179,"41,208,100"
115,"Oct 01, 2014",7.2300,7.8400,7.2300,7.8100,3.2230,"29,096,000"
116,"Sep 25, 2014",0.27 Dividend,,,,,
117,"Sep 01, 2014",8.0100,8.0100,7.1800,7.2300,2.8799,"30,003,100"
118,"Aug 01, 2014",7.5600,8.0500,7.5500,7.9800,3.1787,"17,434,500"
119,"Jul 01, 2014",7.7900,7.8700,7.5400,7.5500,3.0074,"19,046,100"
120,"Jun 26, 2014",0.27 Dividend,,,,,
121,"Jun 01, 2014",8.0000,8.1700,7.6500,7.8100,3.0064,"23,543,300"
122,"May 01, 2014",7.4200,7.9700,7.3100,7.9600,3.0641,"24,441,600"
