,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",6.51,6.51,4.35,5.14,5.14,"354,100"
1,"Jan 01, 2022",6.10,6.80,5.07,6.50,6.50,"636,500"
2,"Dec 01, 2021",8.10,8.73,6.01,6.18,6.18,"1,071,200"
3,"Nov 01, 2021",9.65,10.88,8.00,8.00,8.00,"731,100"
4,"Oct 01, 2021",10.33,10.49,9.10,9.75,9.75,"561,300"
5,"Sep 01, 2021",9.90,16.00,8.31,10.15,10.15,"6,092,300"
6,"Aug 01, 2021",8.50,10.30,7.10,9.90,9.90,"226,500"
7,"Jul 01, 2021",11.50,11.50,7.90,8.45,8.45,"121,100"
8,"Jun 01, 2021",8.40,11.60,7.80,11.00,11.00,"159,300"
9,"May 01, 2021",8.73,12.00,7.93,8.40,8.40,"168,000"
10,"Apr 01, 2021",10.15,10.20,7.01,8.68,8.68,"176,000"
11,"Mar 01, 2021",7.25,10.25,6.00,9.98,9.98,"243,500"
12,"Feb 01, 2021",4.89,10.00,4.16,8.00,8.00,"316,700"
13,"Jan 01, 2021",4.98,5.00,4.21,4.30,4.30,"87,100"
14,"Dec 01, 2020",4.90,5.50,4.03,5.04,5.04,"151,500"
15,"Nov 01, 2020",5.24,5.30,4.74,4.86,4.86,"75,300"
16,"Oct 01, 2020",5.50,6.86,5.09,5.12,5.12,"166,700"
17,"Sep 01, 2020",5.40,6.06,4.25,5.25,5.25,"255,600"
18,"Aug 01, 2020",5.30,7.25,5.00,5.50,5.50,"56,700"
19,"Jul 01, 2020",6.70,6.70,4.25,5.30,5.30,"110,500"
20,"Jun 01, 2020",6.40,7.39,6.00,6.44,6.44,"154,300"
21,"May 01, 2020",5.50,6.49,4.50,6.25,6.25,"36,600"
22,"Apr 01, 2020",4.75,5.50,3.77,5.50,5.50,"19,300"
23,"Mar 01, 2020",5.63,5.63,2.50,4.75,4.75,"35,800"
24,"Feb 01, 2020",5.75,5.76,4.50,5.50,5.50,"33,600"
25,"Jan 01, 2020",4.70,5.76,4.00,5.70,5.70,"81,300"
26,"Dec 01, 2019",4.25,5.35,3.01,5.00,5.00,"161,000"
27,"Nov 20, 2019",1:20 Stock Split,,,,,
28,"Nov 01, 2019",4.00,8.00,2.62,4.65,4.65,"114,190"
29,"Oct 01, 2019",4.32,4.84,3.04,4.00,4.00,"128,030"
30,"Sep 01, 2019",4.36,5.22,4.32,4.32,4.32,"27,320"
31,"Aug 01, 2019",5.40,5.96,4.00,5.00,5.00,"86,265"
32,"Jul 01, 2019",8.06,8.60,4.42,4.80,4.80,"48,435"
33,"Jun 01, 2019",6.00,9.60,6.00,8.40,8.40,"63,200"
34,"May 01, 2019",9.40,9.80,6.00,6.00,6.00,"18,200"
35,"Apr 01, 2019",8.40,10.00,4.16,9.60,9.60,"34,330"
36,"Mar 01, 2019",10.00,12.00,8.20,8.40,8.40,"33,040"
37,"Feb 01, 2019",12.90,13.00,8.40,9.58,9.58,"21,425"
38,"Jan 01, 2019",3.80,13.00,3.52,12.80,12.80,"78,530"
39,"Dec 01, 2018",3.74,5.20,3.20,4.40,4.40,"30,705"
40,"Nov 01, 2018",5.60,6.20,3.00,4.40,4.40,"163,200"
41,"Oct 01, 2018",4.80,6.20,3.40,5.90,5.90,"113,220"
42,"Sep 01, 2018",4.60,6.20,3.84,4.80,4.80,"15,485"
43,"Aug 01, 2018",5.04,6.00,3.62,4.80,4.80,"35,445"
44,"Jul 01, 2018",5.16,6.00,4.52,5.30,5.30,"22,205"
45,"Jun 01, 2018",5.62,6.80,5.16,6.00,6.00,"31,320"
46,"May 01, 2018",5.80,6.80,4.58,6.68,6.68,"24,875"
47,"Apr 01, 2018",5.10,6.80,3.88,5.78,5.78,"38,620"
48,"Mar 01, 2018",2.00,7.60,1.70,5.20,5.20,"188,775"
49,"Feb 01, 2018",1.80,2.40,1.02,1.98,1.98,"15,205"
50,"Jan 01, 2018",1.98,2.00,1.54,1.68,1.68,"21,525"
