,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",8.84,9.42,7.00,8.05,8.05,"9,818,900"
1,"Jan 01, 2022",8.68,8.96,7.56,8.85,8.85,"20,044,200"
2,"Dec 01, 2021",9.36,9.77,8.25,8.69,8.69,"22,494,800"
3,"Nov 01, 2021",10.66,11.45,8.96,9.33,9.33,"19,441,100"
4,"Oct 01, 2021",11.26,11.59,10.40,10.67,10.67,"12,066,200"
5,"Sep 01, 2021",10.94,13.57,10.33,11.31,11.31,"20,419,900"
6,"Aug 01, 2021",11.76,12.41,10.03,10.95,10.95,"14,759,000"
7,"Jul 01, 2021",10.16,11.94,9.44,11.79,11.79,"22,022,300"
8,"Jun 01, 2021",9.61,10.37,9.02,10.14,10.14,"19,899,500"
9,"May 01, 2021",9.27,10.10,8.58,9.61,9.61,"15,429,800"
10,"Apr 01, 2021",11.78,11.98,8.95,9.15,9.15,"20,519,000"
11,"Mar 01, 2021",10.94,11.95,9.50,11.67,11.67,"30,407,300"
12,"Feb 01, 2021",15.38,15.94,10.11,10.60,10.60,"19,270,900"
13,"Jan 01, 2021",10.73,15.68,10.42,15.23,15.23,"18,880,200"
14,"Dec 01, 2020",12.27,13.77,10.23,10.59,10.59,"25,905,500"
15,"Nov 01, 2020",15.00,15.50,10.78,12.00,12.00,"30,100,700"
16,"Oct 01, 2020",12.28,17.79,12.01,14.94,14.94,"42,521,900"
17,"Sep 01, 2020",11.67,12.71,9.58,12.17,12.17,"52,086,500"
18,"Aug 01, 2020",18.51,19.75,10.51,11.72,11.72,"58,881,100"
19,"Jul 01, 2020",11.53,19.14,10.65,18.15,18.15,"31,414,100"
20,"Jun 01, 2020",14.37,14.48,9.46,11.63,11.63,"48,099,500"
21,"May 01, 2020",15.73,18.27,12.82,14.54,14.54,"27,865,400"
22,"Apr 01, 2020",11.50,16.43,10.01,15.94,15.94,"28,546,200"
23,"Mar 01, 2020",6.07,10.92,5.23,10.76,10.76,"22,457,000"
24,"Feb 01, 2020",7.11,7.27,5.61,6.03,6.03,"10,748,100"
25,"Jan 01, 2020",8.10,8.43,6.97,7.05,7.05,"7,974,500"
26,"Dec 01, 2019",8.12,8.55,7.61,8.03,8.03,"10,646,300"
27,"Nov 01, 2019",8.61,9.33,7.56,8.10,8.10,"12,113,900"
28,"Oct 01, 2019",7.49,8.63,7.08,8.54,8.54,"15,347,100"
29,"Sep 01, 2019",6.52,7.80,6.35,7.47,7.47,"10,333,400"
30,"Aug 01, 2019",8.32,8.41,6.52,6.60,6.60,"14,646,000"
31,"Jul 01, 2019",9.38,9.49,8.08,8.35,8.35,"10,664,900"
32,"Jun 01, 2019",8.30,9.35,8.23,9.28,9.28,"12,844,700"
33,"May 01, 2019",9.49,10.07,8.01,8.30,8.30,"15,607,100"
34,"Apr 01, 2019",11.20,11.25,8.75,9.46,9.46,"18,678,200"
35,"Mar 01, 2019",10.80,11.87,10.64,11.15,11.15,"10,533,700"
36,"Feb 01, 2019",12.86,13.25,9.15,10.75,10.75,"15,074,300"
37,"Jan 01, 2019",11.54,12.94,11.21,12.85,12.85,"11,226,500"
38,"Dec 01, 2018",12.80,12.99,10.27,11.68,11.68,"10,973,100"
39,"Nov 01, 2018",13.98,14.89,12.27,12.70,12.70,"16,950,200"
40,"Oct 01, 2018",15.48,15.64,13.45,13.90,13.90,"9,050,100"
41,"Sep 01, 2018",16.02,16.24,15.00,15.45,15.45,"10,361,200"
42,"Aug 01, 2018",16.74,17.20,14.88,16.01,16.01,"8,826,400"
43,"Jul 01, 2018",16.42,17.76,14.41,16.79,16.79,"9,044,700"
44,"Jun 01, 2018",17.07,17.97,16.45,16.47,16.47,"8,382,300"
45,"May 01, 2018",17.75,18.45,14.39,17.01,17.01,"15,490,400"
46,"Apr 01, 2018",16.93,18.29,16.30,17.73,17.73,"9,206,400"
47,"Mar 01, 2018",17.25,18.71,16.15,16.89,16.89,"12,632,000"
48,"Feb 01, 2018",21.72,22.03,16.43,17.26,17.26,"15,397,600"
49,"Jan 01, 2018",18.90,22.22,18.15,21.76,21.76,"12,599,900"
50,"Dec 01, 2017",16.45,19.03,16.19,18.86,18.86,"12,779,400"
51,"Nov 01, 2017",19.82,20.00,12.86,16.55,16.55,"35,605,600"
52,"Oct 01, 2017",22.60,23.01,18.36,19.75,19.75,"16,746,800"
53,"Sep 01, 2017",20.41,22.79,20.27,22.50,22.50,"10,593,800"
54,"Aug 01, 2017",17.63,21.59,17.06,20.41,20.41,"19,842,200"
