,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",2.5200,2.5200,2.2000,2.4900,2.4900,"2,700"
1,"Jan 01, 2022",2.6100,2.8700,2.2200,2.5200,2.5200,"5,800"
2,"Dec 01, 2021",2.5250,2.8800,2.2100,2.6100,2.6100,"42,200"
3,"Nov 01, 2021",2.3500,2.8700,2.3000,2.6500,2.6500,"21,700"
4,"Oct 01, 2021",2.8000,2.8600,2.3500,2.3500,2.3500,"10,100"
5,"Sep 01, 2021",2.4000,2.9500,2.3700,2.8000,2.8000,"11,000"
6,"Aug 01, 2021",2.7500,2.9400,2.3600,2.4000,2.4000,"9,800"
7,"Jul 01, 2021",2.6000,2.8500,2.2600,2.7500,2.7500,"6,300"
8,"Jun 01, 2021",2.5700,2.7700,2.0700,2.4300,2.4300,"9,900"
9,"May 01, 2021",2.5900,2.8400,2.3000,2.5700,2.5700,"14,600"
10,"Apr 01, 2021",2.2500,2.8500,2.2000,2.5900,2.5900,"13,800"
11,"Mar 01, 2021",2.7900,3.1000,1.8500,1.8500,1.8500,"29,700"
12,"Feb 01, 2021",2.7100,3.2700,2.2600,3.0000,3.0000,"15,800"
13,"Jan 01, 2021",2.0500,3.0000,2.0500,2.9800,2.9800,"26,700"
14,"Dec 01, 2020",2.9300,2.9300,2.0200,2.0700,2.0700,"25,000"
15,"Nov 01, 2020",2.7000,3.3600,2.6100,3.2500,3.2500,"5,000"
16,"Oct 01, 2020",3.0000,3.3000,2.6500,2.8500,2.8500,"8,900"
17,"Sep 01, 2020",2.9700,5.4500,2.4150,3.3200,3.3200,"21,000"
18,"Aug 01, 2020",2.9800,3.0000,2.3300,2.7000,2.7000,"18,500"
19,"Jul 01, 2020",2.6900,2.9900,2.4600,2.9800,2.9800,"6,100"
20,"Jun 01, 2020",2.5000,3.2500,2.5000,2.8100,2.8100,"6,200"
21,"May 01, 2020",2.5700,2.5700,2.1200,2.5000,2.5000,"5,500"
22,"Apr 01, 2020",2.8000,2.8000,2.1000,2.4400,2.4400,"12,900"
23,"Mar 01, 2020",2.5500,2.9400,2.4900,2.8000,2.8000,"7,100"
24,"Feb 01, 2020",2.9000,2.9500,2.5600,2.9400,2.9400,"10,500"
25,"Jan 01, 2020",2.9000,2.9300,2.6000,2.9000,2.9000,"2,100"
26,"Dec 01, 2019",3.1550,3.3000,2.5200,2.9000,2.9000,"32,900"
27,"Nov 01, 2019",3.2450,3.5000,2.6300,2.9900,2.9900,"5,800"
28,"Oct 01, 2019",3.4800,3.4800,2.8800,3.2450,3.2450,"7,800"
29,"Sep 01, 2019",3.3000,3.5000,2.9000,3.4800,3.4800,"6,100"
30,"Aug 01, 2019",3.0250,3.5500,2.8500,3.3000,3.3000,"8,000"
31,"Jul 01, 2019",2.8750,3.2000,2.6850,3.0250,3.0250,"6,900"
32,"Jun 01, 2019",3.2000,3.2600,2.8000,2.9800,2.9800,"5,200"
33,"May 01, 2019",2.9500,3.2000,2.5500,3.2000,3.2000,"9,700"
34,"Apr 01, 2019",2.5700,3.0000,2.5700,2.9500,2.9500,"5,500"
35,"Mar 01, 2019",3.1900,3.1900,2.6900,2.8500,2.8500,"31,900"
36,"Feb 01, 2019",3.1500,3.5000,2.7500,3.1900,3.1900,"11,600"
37,"Jan 01, 2019",3.0410,3.3000,2.8500,3.1000,3.1000,"5,600"
38,"Dec 01, 2018",3.2500,3.3900,2.5000,3.1100,3.1100,"11,900"
39,"Nov 01, 2018",2.8000,3.6500,2.3000,3.2500,3.2500,"32,100"
40,"Oct 01, 2018",3.5000,3.7000,2.3000,3.7000,3.7000,"20,200"
41,"Sep 01, 2018",3.9500,3.9500,3.2500,3.5000,3.5000,"4,400"
42,"Aug 01, 2018",3.5500,3.9500,3.3000,3.9500,3.9500,"4,100"
43,"Jul 01, 2018",4.0000,4.0000,3.2500,3.5500,3.5500,"7,400"
44,"Jun 01, 2018",3.6500,4.0000,3.2700,4.0000,4.0000,"10,000"
45,"May 01, 2018",3.6800,3.9400,3.0000,3.7500,3.7500,"15,500"
46,"Apr 01, 2018",4.0000,4.0000,3.4500,3.8800,3.8800,"5,000"
47,"Mar 01, 2018",4.1000,4.1000,3.3000,4.0000,4.0000,"5,100"
48,"Feb 01, 2018",3.5000,4.1000,3.0500,4.1000,4.1000,"8,000"
49,"Jan 01, 2018",3.5000,3.7500,2.8300,3.7500,3.7500,"15,500"
50,"Dec 01, 2017",3.5500,3.5800,2.8000,3.4700,3.4700,"19,000"
51,"Nov 01, 2017",3.4000,3.5000,2.7000,3.3500,3.3500,"17,200"
52,"Oct 01, 2017",3.3000,3.4000,2.6500,3.4000,3.4000,"26,300"
53,"Sep 01, 2017",3.5000,3.6000,2.7000,3.3000,3.3000,"16,700"
54,"Aug 01, 2017",3.6300,3.7000,2.7000,3.5000,3.5000,"34,000"
55,"Jul 01, 2017",3.5700,3.8050,3.0700,3.6300,3.6300,"24,200"
56,"Jun 01, 2017",3.6500,3.9500,2.8300,3.5700,3.5700,"21,100"
57,"May 01, 2017",4.4000,4.4000,3.6500,3.9000,3.9000,"12,800"
58,"Apr 01, 2017",3.7800,5.1000,3.5950,4.4000,4.4000,"14,300"
59,"Mar 01, 2017",4.6500,4.6500,2.1100,3.7800,3.7800,"32,500"
60,"Feb 01, 2017",4.6960,5.0900,4.5000,4.8500,4.8500,"20,900"
61,"Jan 01, 2017",6.0000,6.0000,3.6000,4.9900,4.9900,"8,500"
