,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",0.0181,0.0211,0.0181,0.0187,0.0187,"13,546,910"
1,"Jan 01, 2022",0.0249,0.0260,0.0181,0.0215,0.0215,"30,842,279"
2,"Dec 01, 2021",0.0116,0.0319,0.0116,0.0249,0.0249,"96,009,542"
3,"Nov 01, 2021",0.0114,0.0185,0.0075,0.0119,0.0119,"152,139,117"
4,"Oct 01, 2021",0.0126,0.0129,0.0101,0.0115,0.0115,"62,012,469"
5,"Sep 01, 2021",0.0156,0.0163,0.0102,0.0119,0.0119,"46,813,989"
6,"Aug 01, 2021",0.0166,0.0170,0.0120,0.0156,0.0156,"40,569,389"
7,"Jul 01, 2021",0.0159,0.0186,0.0124,0.0162,0.0162,"76,425,485"
8,"Jun 01, 2021",0.0210,0.0279,0.0160,0.0172,0.0172,"56,570,651"
9,"May 01, 2021",0.0249,0.0279,0.0142,0.0180,0.0180,"124,676,056"
10,"Apr 01, 2021",0.0227,0.0320,0.0144,0.0216,0.0216,"293,450,368"
11,"Mar 01, 2021",0.0270,0.0279,0.0180,0.0240,0.0240,"73,684,404"
12,"Feb 01, 2021",0.0241,0.0314,0.0220,0.0240,0.0240,"100,466,128"
13,"Jan 01, 2021",0.0220,0.0342,0.0200,0.0259,0.0259,"120,931,848"
14,"Dec 01, 2020",0.0187,0.0235,0.0121,0.0220,0.0220,"162,701,356"
15,"Nov 01, 2020",0.0290,0.0310,0.0175,0.0189,0.0189,"96,197,299"
16,"Oct 01, 2020",0.0377,0.0377,0.0245,0.0290,0.0290,"71,189,986"
17,"Sep 01, 2020",0.0429,0.0489,0.0253,0.0334,0.0334,"100,834,026"
18,"Aug 01, 2020",0.0400,0.0520,0.0337,0.0393,0.0393,"66,343,023"
19,"Jul 01, 2020",0.0370,0.0535,0.0325,0.0379,0.0379,"84,194,540"
20,"Jun 01, 2020",0.0526,0.0590,0.0292,0.0356,0.0356,"106,555,215"
21,"May 01, 2020",0.0549,0.0789,0.0431,0.0553,0.0553,"143,406,696"
22,"Apr 01, 2020",0.0309,0.0980,0.0185,0.0520,0.0520,"511,619,373"
23,"Mar 01, 2020",0.0135,0.0940,0.0135,0.0329,0.0329,"659,211,556"
24,"Feb 01, 2020",0.0108,0.0139,0.0090,0.0132,0.0132,"114,712,544"
25,"Jan 01, 2020",0.0066,0.0167,0.0066,0.0102,0.0102,"393,540,895"
26,"Dec 01, 2019",0.0016,0.0072,0.0016,0.0066,0.0066,"235,376,719"
27,"Nov 01, 2019",0.0023,0.0032,0.0013,0.0018,0.0018,"295,218,820"
28,"Oct 01, 2019",0.0067,0.0070,0.0016,0.0022,0.0022,"438,148,539"
29,"Sep 01, 2019",0.0207,0.0207,0.0050,0.0064,0.0064,"173,193,235"
30,"Aug 01, 2019",0.0127,0.0416,0.0085,0.0207,0.0207,"597,366,602"
31,"Jul 01, 2019",0.0055,0.0290,0.0018,0.0125,0.0125,"742,514,687"
32,"Jun 01, 2019",0.0731,0.0900,0.0042,0.0050,0.0050,"65,310,163"
33,"May 01, 2019",0.1400,0.1700,0.0510,0.0530,0.0530,"972,711"
34,"Apr 01, 2019",0.1500,0.2000,0.1120,0.1480,0.1480,"686,993"
35,"Mar 01, 2019",0.1750,0.1900,0.1300,0.1300,0.1300,"322,453"
36,"Feb 01, 2019",0.2200,0.3700,0.1525,0.1750,0.1750,"286,139"
37,"Jan 01, 2019",0.1600,0.2100,0.1200,0.1600,0.1600,"1,065,077"
38,"Dec 01, 2018",0.1800,0.1800,0.1500,0.1600,0.1600,"39,327"
39,"Nov 01, 2018",0.3200,1.3000,0.1100,0.1750,0.1750,"685,598"
40,"Oct 01, 2018",0.4250,0.4250,0.2950,0.3200,0.3200,"57,500"
41,"Sep 01, 2018",0.4450,0.4900,0.2900,0.4250,0.4250,"61,400"
42,"Aug 01, 2018",0.4500,0.5100,0.4200,0.4450,0.4450,"21,040"
43,"Jul 01, 2018",0.4300,0.6100,0.3550,0.4500,0.4500,"49,122"
44,"Jun 01, 2018",0.4500,0.7490,0.3600,0.4256,0.4256,"51,012"
45,"May 01, 2018",0.5000,0.7000,0.3100,0.4500,0.4500,"306,687"
46,"Apr 01, 2018",0.5000,0.5000,0.4000,0.5000,0.5000,"25,100"
47,"Mar 01, 2018",0.4500,0.5200,0.3700,0.5000,0.5000,"10,450"
48,"Feb 01, 2018",0.5500,0.6000,0.4100,0.4500,0.4500,"17,351"
49,"Jan 01, 2018",0.5500,0.5500,0.4000,0.5500,0.5500,"56,100"
50,"Dec 01, 2017",0.8000,0.8000,0.5000,0.5500,0.5500,"40,108"
51,"Nov 01, 2017",1.0000,1.0000,0.7500,0.7540,0.7540,"16,014"
52,"Oct 01, 2017",1.4500,1.4500,1.1000,1.1000,1.1000,"1,450"
53,"Sep 01, 2017",1.4500,1.4500,1.4500,1.4500,1.4500,"2,200"
54,"Aug 01, 2017",1.7500,1.7500,1.4500,1.4500,1.4500,"3,100"
55,"Jul 01, 2017",1.9000,2.0000,1.7000,1.8000,1.8000,"2,740"
56,"Jun 01, 2017",2.0000,2.0000,1.9000,1.9000,1.9000,"6,712"
57,"May 01, 2017",2.0000,2.0000,1.8500,1.9000,1.9000,"6,752"
58,"Apr 01, 2017",1.8500,2.0000,1.8500,2.0000,2.0000,"9,785"
59,"Mar 01, 2017",1.6000,1.9000,1.6000,1.8500,1.8500,"21,055"
60,"Feb 01, 2017",2.0000,2.0000,1.6000,1.6000,1.6000,"9,840"
61,"Jan 01, 2017",2.2000,2.2000,1.6500,1.7000,1.7000,"7,546"
62,"Dec 01, 2016",2.0000,2.5000,1.9000,2.2000,2.2000,"17,209"
63,"Nov 01, 2016",1.9000,2.2500,1.6500,2.2500,2.2500,"6,594"
64,"Oct 01, 2016",1.7500,2.2500,1.6925,1.9000,1.9000,"23,260"
65,"Sep 01, 2016",1.5000,2.0000,1.5000,1.8500,1.8500,"31,590"
