,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",45.92,51.71,43.63,50.24,50.24,"91,364,000"
1,"Jan 01, 2022",52.24,53.36,37.76,45.61,45.61,"91,581,300"
2,"Dec 01, 2021",51.71,53.37,43.36,51.85,51.85,"96,281,100"
3,"Nov 01, 2021",72.15,75.19,49.20,51.23,51.23,"167,253,100"
4,"Oct 01, 2021",73.18,81.66,70.35,71.60,71.60,"94,457,300"
5,"Sep 01, 2021",81.67,86.40,70.08,72.46,72.46,"93,956,900"
6,"Aug 01, 2021",69.01,84.23,61.02,81.10,81.10,"114,225,000"
7,"Jul 01, 2021",77.96,79.20,63.15,68.38,68.38,"78,233,800"
8,"Jun 01, 2021",82.80,85.69,72.90,76.49,76.49,"100,342,300"
9,"May 01, 2021",90.77,93.02,73.43,81.97,81.97,"95,672,100"
10,"Apr 01, 2021",106.78,110.17,85.94,89.12,89.12,"90,196,600"
11,"Mar 01, 2021",119.20,142.00,95.38,104.84,104.84,"146,541,700"
12,"Feb 01, 2021",104.45,129.00,102.56,115.78,115.78,"83,355,000"
13,"Jan 01, 2021",85.26,111.02,80.15,103.72,103.72,"88,697,800"
14,"Dec 01, 2020",70.96,99.24,67.18,86.37,86.37,"95,393,400"
15,"Nov 01, 2020",54.66,76.59,52.09,70.00,70.00,"88,731,100"
16,"Oct 01, 2020",74.38,74.93,52.27,53.98,53.98,"131,378,900"
17,"Sep 01, 2020",53.31,76.62,51.19,72.70,72.70,"256,148,900"
18,"Aug 01, 2020",34.27,57.93,33.27,51.10,51.10,"177,194,100"
19,"Jul 01, 2020",32.18,38.25,26.96,33.85,33.85,"200,167,100"
20,"Jun 01, 2020",32.70,40.14,27.52,30.54,30.54,"313,411,200"
21,"May 01, 2020",16.65,34.78,14.31,32.81,32.81,"403,445,900"
22,"Apr 01, 2020",11.55,18.74,8.69,17.82,17.82,"199,387,300"
23,"Mar 01, 2020",29.70,29.80,3.75,12.65,12.65,"268,241,400"
24,"Feb 01, 2020",30.15,39.18,27.46,29.57,29.57,"72,949,800"
25,"Jan 01, 2020",25.97,31.99,24.74,29.83,29.83,"48,851,400"
26,"Dec 01, 2019",23.03,26.26,22.15,25.56,25.56,"29,974,700"
27,"Nov 01, 2019",20.78,23.43,20.50,23.03,23.03,"21,005,300"
28,"Oct 01, 2019",18.69,22.11,18.01,21.32,21.32,"42,548,900"
29,"Sep 01, 2019",19.05,21.25,18.10,18.63,18.63,"29,147,200"
30,"Aug 01, 2019",21.00,21.16,16.72,19.17,19.17,"42,446,600"
31,"Jul 01, 2019",19.46,19.95,17.50,19.52,19.52,"28,604,500"
32,"Jun 01, 2019",18.62,20.42,17.46,19.26,19.26,"35,954,200"
33,"May 01, 2019",21.98,21.98,18.40,18.85,18.85,"58,985,100"
34,"Apr 01, 2019",20.38,22.37,20.25,21.67,21.67,"32,660,300"
35,"Mar 01, 2019",25.11,25.21,19.45,20.10,20.10,"39,109,700"
36,"Feb 01, 2019",24.48,26.45,23.88,24.85,24.85,"32,985,500"
37,"Jan 01, 2019",18.50,24.97,18.28,24.24,24.24,"42,400,500"
38,"Dec 01, 2018",22.62,23.44,17.30,18.83,18.83,"52,599,700"
39,"Nov 01, 2018",22.50,25.37,18.76,22.11,22.11,"52,884,400"
40,"Oct 01, 2018",33.15,34.72,21.91,24.28,24.28,"82,216,800"
41,"Sep 01, 2018",34.47,34.87,31.17,32.92,32.92,"20,882,600"
42,"Aug 01, 2018",32.16,35.36,30.09,34.46,34.46,"24,631,000"
43,"Jul 01, 2018",33.39,36.90,30.71,32.05,32.05,"25,842,500"
44,"Jun 01, 2018",34.22,35.18,30.82,33.59,33.59,"28,332,600"
45,"May 01, 2018",30.30,36.29,29.78,34.08,34.08,"30,973,300"
46,"Apr 01, 2018",26.24,30.95,24.78,30.31,30.31,"34,383,300"
47,"Mar 01, 2018",26.54,28.20,25.36,26.26,26.26,"30,467,600"
48,"Feb 01, 2018",31.56,32.45,25.83,26.61,26.61,"30,690,200"
49,"Jan 01, 2018",31.46,33.30,30.02,31.91,31.91,"19,104,900"
50,"Dec 01, 2017",28.94,31.65,27.59,31.33,31.33,"32,788,600"
51,"Nov 01, 2017",26.26,29.25,25.68,28.76,28.76,"18,587,100"
52,"Oct 01, 2017",23.29,26.11,22.74,26.09,26.09,"24,121,400"
53,"Sep 01, 2017",22.24,23.55,22.07,23.39,23.39,"15,843,200"
54,"Aug 01, 2017",20.19,22.32,19.98,22.19,22.19,"19,847,200"
55,"Jul 01, 2017",21.46,21.80,20.03,20.16,20.16,"19,625,300"
56,"Jun 14, 2017",0.62 Dividend,,,,,
57,"Jun 01, 2017",19.38,22.19,18.95,21.40,20.79,"31,538,900"
58,"May 01, 2017",18.60,20.02,18.07,19.33,18.78,"25,200,400"
59,"Apr 01, 2017",18.59,19.13,17.56,18.48,17.96,"29,025,800"
60,"Mar 09, 2017",0.62 Dividend,,,,,
