,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",24.31,24.48,21.80,22.83,22.83,"1,630,000"
1,"Jan 01, 2022",26.01,26.03,23.62,24.27,24.27,"959,400"
2,"Dec 01, 2021",25.85,26.12,25.82,26.04,26.04,"970,300"
3,"Nov 01, 2021",25.85,26.24,25.53,25.81,25.81,"1,181,400"
4,"Oct 01, 2021",25.97,26.14,25.56,25.85,25.85,"1,137,100"
5,"Sep 01, 2021",26.15,26.25,25.75,25.86,25.86,"952,400"
6,"Aug 01, 2021",26.25,26.38,25.82,26.05,26.05,"756,000"
7,"Jul 01, 2021",26.12,26.34,25.90,26.25,26.25,"724,700"
8,"Jun 01, 2021",25.79,26.14,25.72,26.11,26.11,"1,051,000"
9,"May 13, 2021",0.261 Dividend,,,,,
10,"May 01, 2021",25.74,25.85,25.26,25.75,25.49,"954,200"
11,"Apr 01, 2021",25.40,25.90,25.38,25.67,25.41,"1,152,400"
12,"Mar 01, 2021",24.97,25.42,24.83,25.33,25.07,"2,664,800"
13,"Feb 11, 2021",0.252 Dividend,,,,,
14,"Feb 01, 2021",25.87,26.10,24.51,24.74,24.25,"1,722,200"
15,"Jan 01, 2021",26.40,26.40,25.06,25.71,25.20,"2,124,000"
16,"Dec 01, 2020",25.74,26.49,25.72,26.48,25.95,"1,785,300"
17,"Nov 12, 2020",0.286 Dividend,,,,,
18,"Nov 01, 2020",25.26,25.79,25.15,25.66,24.87,"3,109,600"
19,"Oct 01, 2020",25.51,25.60,25.16,25.24,24.46,"3,734,900"
20,"Sep 01, 2020",25.54,25.90,25.20,25.45,24.66,"9,485,700"
