,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",6.25,6.73,4.46,5.28,5.28,"46,886,500"
1,"Jan 01, 2022",6.20,7.21,4.95,6.10,6.10,"97,288,100"
2,"Dec 01, 2021",10.18,11.65,5.81,6.15,6.15,"101,592,600"
3,"Nov 01, 2021",10.18,12.15,9.80,10.00,10.00,"60,028,200"
4,"Oct 01, 2021",9.95,10.19,9.91,10.13,10.13,"7,780,400"
5,"Sep 01, 2021",9.93,10.05,9.88,9.91,9.91,"4,529,300"
6,"Aug 01, 2021",9.94,9.96,9.84,9.91,9.91,"4,356,300"
7,"Jul 01, 2021",9.76,10.06,9.76,9.86,9.86,"13,746,000"
8,"Jun 01, 2021",9.85,10.45,9.76,9.77,9.77,"622,000"
9,"May 01, 2021",9.92,10.48,9.57,9.85,9.85,"968,300"
10,"Apr 01, 2021",9.80,10.25,9.80,9.92,9.92,"278,600"
