,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",1.1100,1.1900,0.8860,0.9800,0.9800,"719,300"
1,"Jan 01, 2022",1.3300,1.7300,1.0200,1.1000,1.1000,"4,073,400"
2,"Dec 01, 2021",1.7400,1.8000,1.1600,1.3300,1.3300,"4,004,600"
3,"Nov 01, 2021",2.3890,2.8200,1.7200,1.7900,1.7900,"24,853,100"
4,"Oct 01, 2021",2.7500,2.9100,2.3250,2.3500,2.3500,"1,761,200"
5,"Sep 01, 2021",2.9500,3.3180,2.5000,2.7700,2.7700,"4,379,400"
6,"Aug 01, 2021",2.9650,3.4700,2.4100,2.9500,2.9500,"14,878,900"
7,"Jul 01, 2021",2.8000,7.8400,2.4710,2.8800,2.8800,"86,232,200"
8,"Jun 01, 2021",2.9700,3.4400,2.6700,2.8200,2.8200,"3,075,100"
9,"May 01, 2021",3.2400,3.5500,2.1800,3.0000,3.0000,"7,955,500"
10,"Apr 01, 2021",4.4200,4.7500,2.8500,3.1600,3.1600,"2,585,200"
11,"Mar 01, 2021",6.6500,7.2400,4.0200,4.4200,4.4200,"3,847,200"
12,"Feb 01, 2021",4.5500,7.2500,4.2200,6.4900,6.4900,"7,759,300"
13,"Jan 01, 2021",4.4900,5.2280,3.8200,4.5200,4.5200,"1,588,200"
14,"Dec 01, 2020",4.8000,6.7000,4.0600,4.4700,4.4700,"8,339,200"
15,"Nov 01, 2020",4.5900,5.4300,4.0300,4.8300,4.8300,"3,611,300"
16,"Oct 01, 2020",4.7200,5.5800,4.1800,4.5930,4.5930,"397,600"
17,"Sep 01, 2020",7.7500,7.8500,4.5000,4.6000,4.6000,"1,538,500"
