,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",34.19,37.94,30.04,35.32,35.32,"8,099,700"
1,"Jan 01, 2022",49.77,49.77,30.93,34.08,34.08,"10,401,700"
2,"Dec 01, 2021",50.69,51.58,40.50,49.40,49.40,"10,294,300"
3,"Nov 01, 2021",55.14,61.19,46.12,50.15,50.15,"6,725,100"
4,"Oct 01, 2021",70.44,74.32,54.54,55.35,55.35,"6,368,400"
5,"Sep 01, 2021",67.00,79.75,66.37,71.23,71.23,"7,172,300"
6,"Aug 01, 2021",50.39,71.77,50.39,67.12,67.12,"8,801,100"
7,"Jul 01, 2021",51.19,67.08,45.09,50.10,50.10,"9,596,500"
8,"Jun 01, 2021",29.13,59.74,27.16,51.41,51.41,"15,244,400"
9,"May 01, 2021",27.04,31.05,21.30,29.17,29.17,"6,815,300"
10,"Apr 01, 2021",24.82,27.52,21.55,26.54,26.54,"4,904,800"
11,"Mar 01, 2021",22.76,28.66,19.67,25.12,25.12,"12,356,300"
12,"Feb 01, 2021",11.40,27.20,10.72,22.32,22.32,"14,249,500"
13,"Jan 01, 2021",12.19,14.53,11.05,11.21,11.21,"3,549,100"
14,"Dec 01, 2020",11.35,13.98,10.82,12.01,12.01,"7,027,400"
15,"Nov 01, 2020",10.95,14.14,10.78,11.32,11.32,"5,225,400"
16,"Oct 01, 2020",10.04,12.85,9.86,10.91,10.91,"4,986,500"
17,"Sep 01, 2020",12.93,13.36,9.67,9.99,9.99,"7,311,900"
18,"Aug 01, 2020",12.32,13.65,12.05,12.96,12.96,"3,548,600"
19,"Jul 01, 2020",10.47,13.78,10.27,12.24,12.24,"6,825,700"
20,"Jun 01, 2020",10.66,11.98,9.25,10.46,10.46,"7,881,800"
21,"May 01, 2020",10.95,12.72,9.69,10.66,10.66,"4,952,000"
22,"Apr 01, 2020",10.20,12.98,9.50,11.22,11.22,"5,917,200"
23,"Mar 01, 2020",10.76,11.50,7.10,10.70,10.70,"5,942,400"
24,"Feb 01, 2020",12.30,14.72,9.80,10.66,10.66,"2,927,900"
25,"Jan 01, 2020",15.97,16.05,11.81,12.17,12.17,"3,527,200"
26,"Dec 01, 2019",12.82,17.63,12.02,15.83,15.83,"6,394,300"
27,"Nov 01, 2019",9.18,13.12,8.84,12.82,12.82,"4,628,100"
28,"Oct 01, 2019",7.84,9.26,7.40,9.10,9.10,"3,028,800"
29,"Sep 01, 2019",8.32,9.25,7.57,7.84,7.84,"4,415,900"
30,"Aug 01, 2019",9.36,9.71,6.71,8.41,8.41,"4,624,800"
31,"Jul 01, 2019",10.70,10.70,9.35,9.36,9.36,"3,343,600"
32,"Jun 01, 2019",9.34,10.66,8.67,10.57,10.57,"6,590,500"
33,"May 01, 2019",10.41,11.04,8.68,9.32,9.32,"6,880,300"
34,"Apr 01, 2019",12.02,12.54,10.38,10.40,10.40,"5,061,800"
35,"Mar 01, 2019",13.52,14.77,11.65,12.13,12.13,"6,605,800"
36,"Feb 01, 2019",11.75,13.98,11.55,13.40,13.40,"8,184,300"
37,"Jan 01, 2019",10.16,12.34,9.97,11.75,11.75,"8,696,900"
38,"Dec 01, 2018",12.33,12.33,8.63,10.30,10.30,"8,457,600"
39,"Nov 01, 2018",12.46,13.74,10.84,12.01,12.01,"9,223,300"
40,"Oct 01, 2018",13.15,13.83,11.54,12.40,12.40,"10,940,900"
41,"Sep 01, 2018",15.15,15.91,12.23,13.08,13.08,"10,536,200"
42,"Aug 01, 2018",14.85,15.77,13.02,15.22,15.22,"7,612,000"
43,"Jul 01, 2018",14.46,15.60,14.07,14.86,14.86,"8,132,800"
44,"Jun 01, 2018",13.64,15.68,13.23,14.58,14.58,"16,849,400"
45,"May 01, 2018",12.02,17.60,11.92,13.49,13.49,"18,988,400"
46,"Apr 01, 2018",36.83,44.75,10.43,12.00,12.00,"35,354,600"
47,"Mar 01, 2018",33.67,41.50,32.05,36.71,36.71,"11,792,300"
48,"Feb 01, 2018",41.63,42.00,27.19,33.69,33.69,"13,972,400"
49,"Jan 01, 2018",38.13,46.14,35.11,41.80,41.80,"7,383,300"
50,"Dec 01, 2017",46.42,47.84,34.85,37.49,37.49,"7,257,700"
51,"Nov 01, 2017",58.73,62.99,44.03,46.49,46.49,"10,034,000"
52,"Oct 01, 2017",64.77,64.96,54.66,58.05,58.05,"4,444,900"
53,"Sep 01, 2017",61.43,70.00,58.10,64.77,64.77,"4,777,700"
54,"Aug 01, 2017",62.36,64.43,52.92,61.44,61.44,"5,211,800"
55,"Jul 01, 2017",54.03,69.53,53.56,61.76,61.76,"6,084,700"
56,"Jun 01, 2017",51.19,59.10,49.63,54.12,54.12,"7,646,400"
57,"May 01, 2017",54.23,58.45,48.27,51.01,51.01,"5,556,300"
58,"Apr 01, 2017",56.00,57.00,48.23,54.13,54.13,"5,372,300"
59,"Mar 01, 2017",59.53,63.14,49.71,55.79,55.79,"8,135,700"
60,"Feb 01, 2017",49.30,60.00,46.60,58.65,58.65,"5,595,300"
61,"Jan 01, 2017",50.07,56.99,45.13,48.96,48.96,"5,728,200"
62,"Dec 01, 2016",59.54,59.93,47.75,49.19,49.19,"7,367,000"
63,"Nov 01, 2016",48.28,68.18,40.58,59.02,59.02,"10,084,900"
64,"Oct 01, 2016",60.11,64.85,47.03,47.82,47.82,"7,240,400"
65,"Sep 01, 2016",50.04,64.50,49.77,59.97,59.97,"7,180,700"
66,"Aug 01, 2016",54.76,59.99,47.89,49.98,49.98,"7,761,900"
67,"Jul 01, 2016",35.25,56.21,35.04,55.05,55.05,"9,640,200"
68,"Jun 01, 2016",48.66,51.45,33.53,34.96,34.96,"12,745,800"
69,"May 01, 2016",43.37,48.71,36.14,48.54,48.54,"9,134,900"
70,"Apr 01, 2016",40.83,48.73,40.42,43.19,43.19,"7,398,900"
71,"Mar 01, 2016",32.24,44.43,30.37,41.16,41.16,"12,751,500"
72,"Feb 01, 2016",38.76,39.96,28.20,31.84,31.84,"14,609,900"
73,"Jan 01, 2016",66.92,67.32,35.48,38.95,38.95,"15,212,400"
74,"Dec 01, 2015",71.06,73.47,62.34,68.11,68.11,"7,572,600"
75,"Nov 01, 2015",52.10,76.42,51.16,70.54,70.54,"6,558,400"
76,"Oct 01, 2015",45.22,56.00,40.47,51.51,51.51,"6,365,500"
77,"Sep 01, 2015",56.16,65.40,42.19,45.34,45.34,"7,461,000"
78,"Aug 01, 2015",66.50,70.52,48.85,57.53,57.53,"9,289,900"
79,"Jul 01, 2015",52.96,69.88,48.38,65.97,65.97,"9,368,000"
80,"Jun 01, 2015",40.56,55.97,38.00,52.67,52.67,"12,402,200"
81,"May 01, 2015",32.90,40.12,30.14,39.44,39.44,"6,587,300"
82,"Apr 01, 2015",37.96,39.85,31.71,32.41,32.41,"10,840,100"
83,"Mar 01, 2015",26.66,45.00,24.99,38.14,38.14,"17,327,400"
84,"Feb 01, 2015",22.82,31.15,20.00,26.58,26.58,"4,326,600"
85,"Jan 01, 2015",21.00,23.98,18.76,22.63,22.63,"4,020,600"
86,"Dec 01, 2014",23.96,24.67,17.52,20.76,20.76,"7,392,900"
87,"Nov 01, 2014",22.07,24.40,20.00,24.24,24.24,"4,226,600"
88,"Oct 01, 2014",22.23,23.24,17.00,21.93,21.93,"4,651,800"
89,"Sep 01, 2014",23.14,24.31,21.68,22.16,22.16,"5,143,000"
90,"Aug 01, 2014",17.45,23.07,16.71,22.90,22.90,"5,714,200"
91,"Jul 01, 2014",22.67,23.63,17.01,17.36,17.36,"7,062,400"
92,"Jun 01, 2014",20.82,24.99,20.02,22.55,22.55,"9,659,900"
93,"May 01, 2014",21.79,23.48,18.52,20.82,20.82,"7,995,000"
94,"Apr 01, 2014",38.44,41.33,20.79,22.00,22.00,"11,844,700"
95,"Mar 01, 2014",35.82,49.24,35.68,38.31,38.31,"7,297,000"
96,"Feb 01, 2014",30.92,37.43,25.91,36.01,36.01,"3,394,500"
97,"Jan 01, 2014",26.52,32.81,24.42,30.94,30.94,"6,805,700"
98,"Dec 01, 2013",28.23,30.55,26.00,26.52,26.52,"4,132,700"
99,"Nov 01, 2013",24.02,28.49,23.27,28.23,28.23,"1,580,600"
100,"Oct 01, 2013",20.17,25.26,18.93,24.04,24.04,"6,640,000"
101,"Sep 01, 2013",20.06,21.82,19.04,20.23,20.23,"1,340,000"
102,"Aug 01, 2013",17.34,22.48,15.00,20.04,20.04,"2,402,300"
103,"Jul 01, 2013",13.00,18.20,12.14,17.37,17.37,"1,756,600"
104,"Jun 01, 2013",10.03,14.00,9.14,12.91,12.91,"2,703,600"
105,"May 01, 2013",8.27,11.36,8.00,9.94,9.94,"1,663,900"
106,"Apr 01, 2013",6.59,8.45,6.49,8.26,8.26,"839,000"
107,"Mar 01, 2013",6.10,6.79,6.03,6.69,6.69,"830,300"
108,"Feb 01, 2013",6.01,7.00,5.90,6.17,6.17,"1,296,200"
109,"Jan 01, 2013",7.50,7.50,5.64,6.01,6.01,"5,092,000"
110,"Dec 01, 2012",8.10,8.10,0.00,7.33,7.33,"1,610,900"
