,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 14, 2022",1.2 Dividend,,,,,
1,"Feb 01, 2022",111.57,124.22,105.15,112.80,111.67,"42,028,400"
2,"Jan 01, 2022",108.82,117.96,104.81,111.57,110.45,"38,591,400"
3,"Dec 01, 2021",104.54,110.10,100.01,108.24,107.16,"40,685,200"
4,"Nov 22, 2021",1.15 Dividend,,,,,
5,"Nov 01, 2021",111.05,115.52,101.55,102.26,100.14,"38,039,200"
6,"Oct 01, 2021",105.50,114.74,104.55,110.05,107.77,"29,633,700"
7,"Sep 01, 2021",106.11,107.87,97.05,105.20,103.02,"40,528,100"
8,"Aug 23, 2021",1.15 Dividend,,,,,
9,"Aug 01, 2021",101.00,108.54,98.74,105.88,102.55,"39,155,500"
10,"Jul 01, 2021",103.29,103.63,94.51,100.28,97.12,"36,183,100"
11,"Jun 01, 2021",107.91,109.17,97.38,102.47,99.24,"40,462,400"
12,"May 24, 2021",1.15 Dividend,,,,,
13,"May 01, 2021",101.35,108.56,100.18,106.97,102.49,"43,727,100"
14,"Apr 01, 2021",90.90,101.55,90.81,100.36,96.15,"41,378,700"
15,"Mar 01, 2021",88.52,95.49,86.41,91.10,87.28,"62,769,100"
16,"Feb 12, 2021",1.15 Dividend,,,,,
17,"Feb 01, 2021",78.86,91.61,77.27,86.72,81.91,"51,051,900"
18,"Jan 01, 2021",78.40,85.65,75.71,78.28,73.94,"38,205,600"
19,"Dec 01, 2020",77.77,81.64,74.58,78.07,73.74,"40,149,300"
20,"Nov 23, 2020",1.1 Dividend,,,,,
21,"Nov 01, 2020",65.19,80.01,63.05,75.62,70.39,"54,344,300"
22,"Oct 01, 2020",63.91,69.39,60.39,64.02,59.59,"41,101,100"
23,"Sep 01, 2020",67.29,71.19,60.16,63.52,59.12,"52,247,800"
24,"Aug 24, 2020",1.1 Dividend,,,,,
25,"Aug 01, 2020",63.69,72.65,63.16,67.77,62.05,"44,350,000"
26,"Jul 01, 2020",61.02,66.25,57.83,63.37,58.02,"52,972,500"
27,"Jun 01, 2020",60.78,74.76,57.11,60.90,55.76,"95,054,700"
28,"May 22, 2020",1.1 Dividend,,,,,
29,"May 01, 2020",60.38,64.96,48.52,60.96,54.75,"59,923,100"
30,"Apr 01, 2020",48.50,64.93,45.04,62.37,56.02,"76,321,200"
31,"Mar 01, 2020",76.02,80.13,38.62,52.14,46.83,"128,853,600"
32,"Feb 14, 2020",1.1 Dividend,,,,,
33,"Feb 01, 2020",91.65,97.24,73.19,75.45,66.99,"42,344,500"
34,"Jan 01, 2020",94.04,97.10,90.17,91.06,80.84,"41,094,700"
35,"Dec 01, 2019",94.06,95.64,89.84,93.74,83.22,"37,928,100"
36,"Nov 25, 2019",1 Dividend,,,,,
37,"Nov 01, 2019",91.85,95.29,89.85,93.62,82.24,"48,049,400"
38,"Oct 01, 2019",90.73,93.94,83.46,91.14,80.06,"42,889,200"
39,"Sep 01, 2019",79.11,91.06,77.89,89.95,79.02,"48,416,800"
40,"Aug 19, 2019",1 Dividend,,,,,
41,"Aug 01, 2019",94.81,95.00,77.65,80.09,69.50,"59,944,200"
42,"Jul 01, 2019",102.33,103.56,99.75,101.31,87.91,"32,013,800"
43,"Jun 01, 2019",92.36,101.48,91.71,101.00,87.64,"36,489,100"
44,"May 24, 2019",1 Dividend,,,,,
45,"May 01, 2019",105.65,106.40,92.29,92.38,79.34,"44,769,100"
46,"Apr 01, 2019",92.70,105.96,92.64,105.71,90.79,"38,028,400"
47,"Mar 01, 2019",96.89,98.42,89.27,91.88,78.91,"46,958,600"
