,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",56.95,58.98,53.36,56.38,56.38,"907,200"
1,"Jan 01, 2022",56.07,62.34,54.21,57.04,57.04,"1,238,100"
2,"Dec 16, 2021",0.06 Dividend,,,,,
3,"Dec 01, 2021",55.27,57.09,52.03,56.00,55.94,"1,089,400"
4,"Nov 01, 2021",55.25,61.19,53.39,53.94,53.88,"1,450,900"
5,"Oct 01, 2021",51.68,55.33,50.28,55.14,55.08,"1,107,500"
6,"Sep 16, 2021",0.06 Dividend,,,,,
7,"Sep 01, 2021",52.20,53.35,49.25,51.44,51.32,"1,130,200"
8,"Aug 01, 2021",49.37,52.03,47.36,51.95,51.83,"1,128,700"
9,"Jul 01, 2021",48.45,50.20,44.75,49.09,48.98,"1,095,100"
10,"Jun 17, 2021",0.06 Dividend,,,,,
11,"Jun 01, 2021",48.00,50.19,44.76,48.09,47.92,"1,671,600"
12,"May 01, 2021",48.50,48.93,45.49,47.81,47.64,"793,600"
13,"Apr 01, 2021",47.00,49.13,46.33,48.22,48.05,"1,008,300"
14,"Mar 18, 2021",0.06 Dividend,,,,,
15,"Mar 01, 2021",42.34,49.49,41.62,47.22,46.99,"1,615,200"
16,"Feb 01, 2021",39.57,44.00,38.68,41.40,41.20,"1,059,500"
17,"Jan 01, 2021",39.96,42.00,37.71,38.78,38.59,"1,560,800"
18,"Dec 17, 2020",0.06 Dividend,,,,,
19,"Dec 01, 2020",35.80,41.71,34.83,39.59,39.34,"1,137,700"
20,"Nov 01, 2020",31.47,38.67,31.38,34.87,34.65,"858,900"
21,"Oct 01, 2020",27.54,31.98,27.00,31.03,30.84,"798,300"
22,"Sep 17, 2020",0.06 Dividend,,,,,
23,"Sep 01, 2020",29.91,30.77,25.54,27.41,27.18,"983,900"
24,"Aug 01, 2020",30.10,34.00,29.38,29.97,29.72,"1,079,900"
25,"Jul 01, 2020",31.37,31.37,26.71,29.88,29.63,"1,524,600"
