,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",129.31,136.45,108.10,122.82,122.82,"6,750,600"
1,"Jan 01, 2022",137.55,137.55,118.46,128.14,128.14,"5,920,700"
2,"Dec 01, 2021",131.80,142.94,124.28,137.22,137.22,"6,676,400"
3,"Nov 01, 2021",124.19,140.64,121.69,130.29,130.29,"7,323,700"
4,"Oct 01, 2021",111.92,125.00,106.48,124.48,124.48,"5,233,500"
5,"Sep 01, 2021",117.21,121.07,110.42,111.29,111.29,"5,372,200"
6,"Aug 01, 2021",101.70,117.80,100.44,117.38,117.38,"6,568,600"
7,"Jul 01, 2021",100.69,108.46,97.02,101.56,101.56,"6,021,900"
8,"Jun 01, 2021",96.92,108.98,95.00,100.69,100.69,"7,626,400"
9,"May 01, 2021",101.51,103.00,92.00,96.68,96.68,"8,736,700"
10,"Apr 01, 2021",106.03,108.98,101.19,101.36,101.36,"7,247,900"
11,"Mar 01, 2021",98.55,108.20,90.26,104.78,104.78,"11,763,000"
12,"Feb 01, 2021",141.63,145.18,94.62,97.16,97.16,"12,983,500"
13,"Jan 01, 2021",122.46,148.84,111.43,138.47,138.47,"8,807,800"
14,"Dec 01, 2020",95.32,126.30,91.30,121.87,121.87,"12,413,400"
15,"Nov 01, 2020",88.76,102.53,87.75,95.01,95.01,"8,835,100"
16,"Oct 01, 2020",98.52,105.04,86.65,87.85,87.85,"6,170,400"
17,"Sep 01, 2020",107.28,111.13,90.93,98.01,98.01,"9,113,700"
18,"Aug 01, 2020",124.90,125.22,100.46,106.14,106.14,"8,779,100"
19,"Jul 01, 2020",104.30,123.93,102.80,123.48,123.48,"8,306,300"
20,"Jun 01, 2020",115.43,119.20,97.10,104.02,104.02,"17,859,200"
21,"May 01, 2020",101.93,117.54,98.24,115.32,115.32,"11,007,100"
22,"Apr 01, 2020",84.91,110.89,81.80,105.44,105.44,"11,704,000"
23,"Mar 01, 2020",80.32,89.55,63.37,86.99,86.99,"11,859,100"
24,"Feb 01, 2020",85.91,94.72,75.17,80.18,80.18,"7,400,600"
25,"Jan 01, 2020",83.76,88.49,82.59,85.74,85.74,"5,631,900"
26,"Dec 01, 2019",87.38,87.45,82.01,83.37,83.37,"6,553,700"
27,"Nov 01, 2019",85.98,88.91,82.34,87.51,87.51,"6,005,600"
28,"Oct 01, 2019",76.04,87.55,73.76,85.33,85.33,"8,463,400"
29,"Sep 01, 2019",78.76,83.02,72.76,75.57,75.57,"5,955,700"
30,"Aug 01, 2019",84.75,88.00,78.77,79.62,79.62,"7,429,100"
31,"Jul 01, 2019",88.57,92.19,85.67,86.56,86.56,"6,724,700"
32,"Jun 01, 2019",88.53,91.09,81.01,87.08,87.08,"6,489,800"
33,"May 01, 2019",90.77,95.99,83.68,88.61,88.61,"8,513,800"
34,"Apr 01, 2019",83.68,91.16,78.10,90.26,90.26,"5,038,700"
35,"Mar 01, 2019",84.40,87.42,79.82,82.74,82.74,"7,324,400"
36,"Feb 01, 2019",86.41,97.12,79.44,83.63,83.63,"11,686,800"
37,"Jan 01, 2019",73.18,87.31,69.35,86.53,86.53,"6,940,700"
38,"Dec 01, 2018",80.68,82.99,65.94,74.74,74.74,"7,638,100"
39,"Nov 01, 2018",72.26,79.53,66.59,78.76,78.76,"6,893,900"
40,"Oct 01, 2018",89.35,89.35,70.69,71.24,71.24,"9,410,300"
41,"Sep 01, 2018",90.80,96.70,85.65,89.10,89.10,"5,362,100"
42,"Aug 01, 2018",89.10,93.60,82.91,91.05,91.05,"8,243,700"
43,"Jul 01, 2018",84.85,98.30,83.05,87.10,87.10,"6,438,300"
44,"Jun 01, 2018",77.55,97.75,76.85,84.30,84.30,"9,789,600"
45,"May 01, 2018",76.55,79.00,68.20,76.95,76.95,"5,944,800"
46,"Apr 01, 2018",72.75,85.00,71.20,76.95,76.95,"6,338,900"
47,"Mar 01, 2018",74.40,79.40,70.85,72.75,72.75,"7,342,800"
48,"Feb 01, 2018",62.30,77.10,57.20,74.05,74.05,"6,938,200"
49,"Jan 01, 2018",59.90,65.25,59.50,62.50,62.50,"3,804,500"
50,"Dec 01, 2017",58.95,60.60,55.05,59.35,59.35,"4,778,400"
51,"Nov 01, 2017",57.35,62.35,53.20,58.90,58.90,"8,307,700"
52,"Oct 01, 2017",52.00,54.15,50.00,52.90,52.90,"5,209,800"
53,"Sep 01, 2017",47.70,53.55,45.85,51.80,51.80,"5,030,900"
54,"Aug 01, 2017",40.45,47.75,39.45,47.50,47.50,"6,080,500"
55,"Jul 01, 2017",41.15,43.50,39.60,40.15,40.15,"4,203,500"
56,"Jun 01, 2017",42.35,43.70,39.25,40.80,40.80,"5,923,800"
57,"May 01, 2017",38.45,44.35,38.30,42.00,42.00,"8,500,500"
58,"Apr 01, 2017",38.00,38.75,34.80,38.40,38.40,"5,080,300"
59,"Mar 01, 2017",35.20,38.38,33.75,37.90,37.90,"6,779,900"
60,"Feb 01, 2017",36.30,37.53,32.40,34.95,34.95,"7,563,100"
61,"Jan 01, 2017",31.85,37.00,31.80,35.90,35.90,"4,735,000"
62,"Dec 01, 2016",33.20,34.35,30.61,31.65,31.65,"6,370,900"
63,"Nov 01, 2016",37.30,37.80,32.90,33.20,33.20,"7,814,900"
64,"Oct 01, 2016",38.13,39.67,35.65,37.25,37.25,"6,007,500"
65,"Sep 01, 2016",34.38,38.32,34.30,38.19,38.19,"6,024,500"
66,"Aug 01, 2016",31.41,36.03,30.00,34.40,34.40,"9,049,400"
67,"Jul 01, 2016",29.79,31.91,29.69,31.39,31.39,"4,595,000"
68,"Jun 01, 2016",31.15,32.65,28.35,29.81,29.81,"7,396,900"
69,"May 01, 2016",25.22,31.45,24.47,31.19,31.19,"13,800,200"
70,"Apr 01, 2016",25.16,26.44,23.77,25.18,25.18,"5,498,200"
71,"Mar 01, 2016",26.60,27.10,23.97,25.31,25.31,"14,189,000"
72,"Feb 01, 2016",25.66,27.42,16.96,24.97,24.97,"13,170,400"
73,"Jan 01, 2016",32.43,32.48,23.70,25.99,25.99,"8,224,100"
74,"Dec 01, 2015",38.66,39.74,32.13,33.09,33.09,"7,559,000"
