,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",13.51,13.87,12.42,13.44,13.44,"44,934,800"
1,"Jan 01, 2022",13.61,14.50,12.59,13.61,13.61,"43,842,700"
2,"Dec 01, 2021",13.12,13.83,12.31,13.54,13.54,"51,741,100"
3,"Nov 01, 2021",14.20,15.09,12.71,12.93,12.93,"56,254,800"
4,"Oct 01, 2021",14.91,15.56,14.06,14.15,14.15,"51,778,100"
5,"Sep 01, 2021",16.11,16.91,14.71,14.72,14.72,"41,231,100"
6,"Aug 01, 2021",18.64,19.02,15.20,16.00,16.00,"36,604,200"
7,"Jul 01, 2021",18.29,18.98,17.51,18.59,18.59,"26,525,000"
8,"Jun 01, 2021",17.52,18.72,17.29,18.20,18.20,"47,012,400"
9,"May 14, 2021",0.3 Dividend,,,,,
10,"May 01, 2021",18.28,18.38,16.67,17.47,17.16,"35,433,400"
11,"Apr 01, 2021",17.47,18.59,17.31,18.17,17.85,"30,346,500"
12,"Mar 01, 2021",17.59,18.54,17.03,17.36,17.06,"59,438,500"
13,"Feb 11, 2021",0.3 Dividend,,,,,
14,"Feb 01, 2021",16.91,18.95,16.70,17.22,16.64,"29,771,900"
15,"Jan 01, 2021",17.47,17.81,16.59,16.79,16.22,"25,533,300"
16,"Dec 01, 2020",16.77,18.28,16.57,17.37,16.78,"32,736,400"
17,"Nov 13, 2020",0.3 Dividend,,,,,
18,"Nov 01, 2020",13.29,17.56,13.12,16.48,15.62,"45,389,300"
19,"Oct 01, 2020",13.87,15.17,12.86,13.16,12.48,"38,177,600"
20,"Sep 01, 2020",14.71,16.22,13.52,13.79,13.07,"29,947,600"
21,"Aug 14, 2020",0.3 Dividend,,,,,
22,"Aug 01, 2020",14.76,16.04,14.15,14.83,13.78,"21,616,500"
23,"Jul 01, 2020",14.40,15.10,13.40,14.74,13.70,"30,596,200"
24,"Jun 01, 2020",13.43,17.37,12.90,14.43,13.41,"48,858,700"
25,"May 15, 2020",0.3 Dividend,,,,,
26,"May 01, 2020",12.29,14.49,10.65,13.46,12.19,"46,896,000"
27,"Apr 01, 2020",10.31,13.79,8.58,12.82,11.61,"51,549,200"
28,"Mar 01, 2020",19.72,20.83,5.55,10.92,9.89,"103,899,300"
29,"Feb 13, 2020",0.45 Dividend,,,,,
30,"Feb 01, 2020",21.61,22.47,18.69,19.55,17.34,"45,759,000"
31,"Jan 01, 2020",21.44,22.55,20.58,21.50,19.07,"34,431,400"
32,"Dec 01, 2019",22.25,22.38,20.46,21.34,18.93,"42,622,500"
33,"Nov 14, 2019",0.45 Dividend,,,,,
34,"Nov 01, 2019",24.59,24.82,21.50,22.28,19.37,"45,563,600"
35,"Oct 01, 2019",22.96,24.95,22.28,24.60,21.39,"30,239,200"
